"행정구역(시·군)별","경제활동별","항목","단위","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년",
"합계","총부가가치(기초가격)","산출액(당해년가격)","","833211458","805590353","774676571","756259343","724647395","702409825","643180494",
"합계","총부가가치(기초가격)","중간소비","","489945160","479720998","470036039","466523567","458668649","448667652","399910664",
"합계","총부가가치(기초가격)","지역내총부가가치(당해년가격)","","343266298","325869355","304640532","289735776","265978746","253742173","243269830",
"합계","총부가가치(기초가격)","고정자본소모","","77321014","75221300","70635211","65329588","59810359","56596461","54533219",
"합계","총부가가치(기초가격)","지역내순생산","","265945284","250648055","234005321","224406188","206168387","197145712","188736611",
"합계","총부가가치(기초가격)","기타생산세(기타생산보조금 공제)","","4861693","4642305","4165174","4180043","3947398","3754784","3208599",
"합계","총부가가치(기초가격)","지역내요소소득","","261083591","246005750","229840147","220226145","202220989","193390928","185528012",
"합계","총부가가치(기초가격)","2010년 기준년 고정가격_산출액","","872554386","820404903","789577085","747494479","719458926","696041175","643180494",
"합계","총부가가치(기초가격)","2010년 기준년 고정가격_지역내","","314628666","300372349","289914669","274059440","261985088","254039845","243269830",
"합계","농림어업","산출액(당해년가격)","","6445978","6845540","6973022","6461324","5912923","6067445","6091089",
"합계","농림어업","중간소비","","2967605","3140873","3337960","3368884","3011078","3091970","3261909",
"합계","농림어업","지역내총부가가치(당해년가격)","","3478373","3704667","3635062","3092440","2901845","2975475","2829180",
"합계","농림어업","고정자본소모","","555890","587332","612570","590044","566907","625360","615470",
"합계","농림어업","지역내순생산","","2922483","3117335","3022492","2502396","2334938","2350115","2213710",
"합계","농림어업","기타생산세(기타생산보조금 공제)","","534657","499431","477015","482230","455487","429408","405479",
"합계","농림어업","지역내요소소득","","2387826","2617904","2545477","2020166","1879451","1920707","1808231",
"합계","농림어업","2010년 기준년 고정가격_산출액","","6348663","6654128","6859488","6606405","5808931","5723501","6091089",
"합계","농림어업","2010년 기준년 고정가격_지역내","","2883313","3037768","3170115","2965455","2657198","2732337","2829180",
"합계","광업","산출액(당해년가격)","","566233","520013","508997","426883","362140","422026","531234",
"합계","광업","중간소비","","260617","239453","221851","183608","157836","193744","244724",
"합계","광업","지역내총부가가치(당해년가격)","","305616","280560","287146","243275","204304","228282","286510",
"합계","광업","고정자본소모","","65769","59889","56237","47677","48003","61499","72300",
"합계","광업","지역내순생산","","239847","220671","230909","195598","156301","166783","214210",
"합계","광업","기타생산세(기타생산보조금 공제)","","10662","10153","8634","8125","7675","7283","5825",
