"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 동구","인구",출생아수 (명),2806,2441,2202,2001
"대구 동구","인구",평균연령,43,43,44,44
"대구 동구","인구",사망자수 (명),2287,2230,2325,-
"대구 동구","인구",전출인구 (명),46500,44043,49531,47632
"대구 동구","인구",전입인구 (명),47440,41816,51504,41943
"대구 동구","인구",순이동인구 (명),940,-2227,1973,-5689
"대구 동구","인구",주민등록인구 (명),351352,349379,351291,345469
"대구 동구","인구",등록외국인 현황 (명),1788,1827,1887,1907
"대구 동구","인구",합계출산율,1.239,1.123,1.024,0.963
"대구 동구","인구",인구총조사 인구,341583,340396,342396,337439
"대구 동구","가족",혼인건수 (건),1978,1753,1725,1510
"대구 동구","가족",조이혼율,1.9,1.8,2.0,2.0
"대구 동구","가족",조혼인율,5.7,5.0,5.0,4.4
"대구 동구","건강",스트레스 인지율 (%),24.3,27.4,21.3,30.7
"대구 동구","건강",비만율 (%),24.4,27.5,30.8,-
"대구 동구","건강",고위험음주율 (%),15.0,16.4,17.2,19.1
"대구 동구","건강",EQ-5D (점),0.965,0.956,0.966,0.952
"대구 동구","건강",흡연율 (%),19.3,21.7,25.9,18.9
"대구 동구","건강",주관적 건강수준인지율 (%),43.6,39.1,41.4,34.3
"대구 동구","건강",음주율 (%),60.1,63.4,60.1,56.9
"대구 동구","교육",학급당 학생수 (명),23.00,22.41,21.91,21.73
"대구 동구","교육",초등학교수 (개),32,32,32,32
"대구 동구","교육",유치원 교원수 (명),474,434,446,418
"대구 동구","교육",유치원수 (개),63,62,61,58
"대구 동구","교육",유치원 원아수 (명),5631,5567,5435,5143
"대구 동구","교육",초등학교 학생수 (명),16891,17060,17150,17437
"대구 동구","교육",초등학교 교원수 (명),1195,1207,1231,1223
"대구 동구","주거와 교통",도시지역면적,146895864,146866012,146864970,146850444
"대구 동구","주거와 교통",토지거래면적 (천㎡),4795,4279,3180,3694
"대구 동구","주거와 교통",주택수 (호),115006,118194,121847,120976
"대구 동구","성장과 안정",친환경인증 축산물 출하량 (톤),17,287,26,24
"대구 동구","성장과 안정",친환경인증 농산물 출하량 (톤),148,241,243,333
"대구 동구","성장과 안정",종사자수 (명),-,112060,114799,-
"대구 동구","성장과 안정",서비스업사업체수 (개),-,18705,18948,-
"대구 동구","성장과 안정",제조업종사자수 (명),-,7606,7475,-
"대구 동구","성장과 안정",제조업사업체수 (개),-,1363,1341,-
"대구 동구","성장과 안정",운수업종사자수 (명),-,9645,9736,-
"대구 동구","성장과 안정",운수업사업체수 (개),-,3417,3448,-
"대구 동구","성장과 안정",도소매업종사자수 (명),-,20370,20868,-
"대구 동구","성장과 안정",도소매업사업체수 (개),-,6715,6705,-
"대구 동구","성장과 안정",사업체수 (개),-,25696,25936,-
"대구 동구","성장과 안정",가구수 (가구),134469,136701,139492,139879
"대구 동구","안전",화재발생건수 (건),207,246,196,184
"대구 동구","환경",폐수배출업소수 (개),170,167,167,-
"대구 동구","환경",하수도보급률 (%),98.7,98.7,98.9,-
"대구 동구","환경",상수도보급률 (%),99.7,99.8,-,-
"대구 동구","사회통합",건강보험 적용인구 현황,335425,334221,336143,-
"대구 동구","사회통합",인구십만명당 자살률 (십만명당),27.6,29.4,26.2,-
