"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 북구","인구",출생아수 (명),3575,3022,2785,2438
"대구 북구","인구",평균연령,40,40,41,41
"대구 북구","인구",사망자수 (명),2236,2189,2222,-
"대구 북구","인구",전출인구 (명),55676,57893,55143,55990
"대구 북구","인구",전입인구 (명),51423,58053,52638,53974
"대구 북구","인구",순이동인구 (명),-4253,160,-2505,-2016
"대구 북구","인구",주민등록인구 (명),440383,441375,439489,437710
"대구 북구","인구",등록외국인 현황 (명),4847,4826,5127,5233
"대구 북구","인구",합계출산율,1.295,1.140,1.075,0.961
"대구 북구","인구",인구총조사 인구,446632,445293,444759,446050
"대구 북구","가족",혼인건수 (건),2126,2077,1984,1810
"대구 북구","가족",조이혼율,1.8,1.8,1.8,1.9
"대구 북구","가족",조혼인율,4.8,4.7,4.5,4.2
"대구 북구","건강",스트레스 인지율 (%),29.0,21.9,24.4,26.8
"대구 북구","건강",비만율 (%),24.9,25.0,28.4,-
"대구 북구","건강",고위험음주율 (%),16.8,16.4,14.5,13.7
"대구 북구","건강",EQ-5D (점),0.942,0.959,0.960,0.957
"대구 북구","건강",흡연율 (%),21.9,20.3,20.2,18.6
"대구 북구","건강",주관적 건강수준인지율 (%),37.7,36.8,33.4,39.1
"대구 북구","건강",음주율 (%),62.2,64.6,62.8,53.8
"대구 북구","교육",학급당 학생수 (명),24.28,23.87,23.14,22.58
"대구 북구","교육",초등학교수 (개),38,37,38,38
"대구 북구","교육",유치원 교원수 (명),647,609,610,594
"대구 북구","교육",유치원수 (개),76,74,76,73
"대구 북구","교육",유치원 원아수 (명),7967,7488,7729,7257
"대구 북구","교육",초등학교 학생수 (명),23860,23118,22867,22719
"대구 북구","교육",초등학교 교원수 (명),1686,1624,1646,1611
"대구 북구","주거와 교통",도시지역면적,94072524,94071813,93979569,93983908
"대구 북구","주거와 교통",토지거래면적 (천㎡),2486,3223,2880,2501
"대구 북구","주거와 교통",주택수 (호),135041,140387,141295,143485
"대구 북구","성장과 안정",친환경인증 축산물 출하량 (톤),11,26,4,14
"대구 북구","성장과 안정",친환경인증 농산물 출하량 (톤),135,128,178,152
"대구 북구","성장과 안정",종사자수 (명),-,167027,165692,-
"대구 북구","성장과 안정",서비스업사업체수 (개),-,25853,26076,-
"대구 북구","성장과 안정",제조업종사자수 (명),-,36794,35166,-
"대구 북구","성장과 안정",제조업사업체수 (개),-,8764,8635,-
"대구 북구","성장과 안정",운수업종사자수 (명),-,7713,7557,-
"대구 북구","성장과 안정",운수업사업체수 (개),-,4010,3967,-
"대구 북구","성장과 안정",도소매업종사자수 (명),-,33586,33476,-
"대구 북구","성장과 안정",도소매업사업체수 (개),-,11721,11614,-
"대구 북구","성장과 안정",사업체수 (개),-,40801,40891,-
"대구 북구","성장과 안정",가구수 (가구),168913,171098,173151,176876
"대구 북구","안전",화재발생건수 (건),369,299,278,212
"대구 북구","환경",폐수배출업소수 (개),958,973,954,-
"대구 북구","환경",하수도보급률 (%),99.7,99.8,99.8,-
"대구 북구","환경",상수도보급률 (%),99.9,100.0,-,-
"대구 북구","사회통합",건강보험 적용인구 현황,427677,429606,427997,-
"대구 북구","사회통합",인구십만명당 자살률 (십만명당),21.4,23.1,25.4,-
