"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 서구","인구",출생아수 (명),1113,864,667,541
"대구 서구","인구",평균연령,45,46,46,47
"대구 서구","인구",사망자수 (명),1390,1393,1452,-
"대구 서구","인구",전출인구 (명),27438,27213,28099,29032
"대구 서구","인구",전입인구 (명),21066,20226,21239,20700
"대구 서구","인구",순이동인구 (명),-6372,-6987,-6860,-8332
"대구 서구","인구",주민등록인구 (명),199507,191992,184372,175277
"대구 서구","인구",등록외국인 현황 (명),2474,2387,2424,2481
"대구 서구","인구",합계출산율,0.973,0.819,0.694,0.616
"대구 서구","인구",인구총조사 인구,197210,191414,183857,175243
"대구 서구","가족",혼인건수 (건),946,771,766,605
"대구 서구","가족",조이혼율,2.1,2.4,2.2,2.3
"대구 서구","가족",조혼인율,4.7,4.0,4.1,3.4
"대구 서구","건강",스트레스 인지율 (%),21.0,24.5,16.5,22.1
"대구 서구","건강",비만율 (%),28.2,27.2,32.4,-
"대구 서구","건강",고위험음주율 (%),21.8,21.0,20.1,19.2
"대구 서구","건강",EQ-5D (점),0.973,0.968,0.973,0.968
"대구 서구","건강",흡연율 (%),25.8,24.9,22.7,24.1
"대구 서구","건강",주관적 건강수준인지율 (%),33.4,33.8,32.4,31.3
"대구 서구","건강",음주율 (%),61.7,59.8,65.2,65.4
"대구 서구","교육",학급당 학생수 (명),23.14,22.58,21.89,21.24
"대구 서구","교육",초등학교수 (개),17,17,17,17
"대구 서구","교육",유치원 교원수 (명),118,110,100,99
"대구 서구","교육",유치원수 (개),24,24,24,23
"대구 서구","교육",유치원 원아수 (명),1427,1403,1313,1164
"대구 서구","교육",초등학교 학생수 (명),6628,6161,6003,5879
"대구 서구","교육",초등학교 교원수 (명),544,523,518,518
"대구 서구","주거와 교통",도시지역면적,17328554,17328303,17328460,17333124
"대구 서구","주거와 교통",토지거래면적 (천㎡),480,487,524,565
"대구 서구","주거와 교통",주택수 (호),54530,54424,54338,53200
"대구 서구","성장과 안정",친환경인증 농산물 출하량 (톤),1,2,2,1
"대구 서구","성장과 안정",종사자수 (명),-,78018,78650,-
"대구 서구","성장과 안정",서비스업사업체수 (개),-,13020,12848,-
"대구 서구","성장과 안정",제조업종사자수 (명),-,20513,19957,-
"대구 서구","성장과 안정",제조업사업체수 (개),-,3220,3176,-
"대구 서구","성장과 안정",운수업종사자수 (명),-,4905,4714,-
"대구 서구","성장과 안정",운수업사업체수 (개),-,1883,1799,-
"대구 서구","성장과 안정",도소매업종사자수 (명),-,15274,15191,-
"대구 서구","성장과 안정",도소매업사업체수 (개),-,5627,5488,-
"대구 서구","성장과 안정",사업체수 (개),-,19393,19091,-
"대구 서구","성장과 안정",가구수 (가구),80477,79183,77152,75067
"대구 서구","안전",화재발생건수 (건),182,165,142,159
"대구 서구","환경",폐수배출업소수 (개),433,457,427,-
"대구 서구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"대구 서구","환경",상수도보급률 (%),100.0,100.0,-,-
"대구 서구","사회통합",건강보험 적용인구 현황,188948,181765,174326,-
"대구 서구","사회통합",인구십만명당 자살률 (십만명당),36.9,32.1,37.1,-
