"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 중구","인구",출생아수 (명),700,577,546,483
"대구 중구","인구",평균연령,44,44,44,44
"대구 중구","인구",사망자수 (명),568,624,591,-
"대구 중구","인구",전출인구 (명),13814,14106,15072,14667
"대구 중구","인구",전입인구 (명),12402,13409,15523,12742
"대구 중구","인구",순이동인구 (명),-1412,-697,451,-1925
"대구 중구","인구",주민등록인구 (명),79712,78986,79401,77421
"대구 중구","인구",등록외국인 현황 (명),785,773,824,798
"대구 중구","인구",합계출산율,1.211,1.040,1.001,0.886
"대구 중구","인구",인구총조사 인구,77234,75324,76935,75561
"대구 중구","가족",혼인건수 (건),469,363,428,363
"대구 중구","가족",조이혼율,2.1,1.9,2.2,1.8
"대구 중구","가족",조혼인율,5.9,4.7,5.5,4.7
"대구 중구","건강",스트레스 인지율 (%),30.3,28.8,27.6,26.4
"대구 중구","건강",비만율 (%),26.3,28.0,23.0,-
"대구 중구","건강",고위험음주율 (%),19.7,13.9,16.1,15.1
"대구 중구","건강",EQ-5D (점),0.958,0.950,0.969,0.959
"대구 중구","건강",흡연율 (%),22.8,21.8,17.7,20.3
"대구 중구","건강",주관적 건강수준인지율 (%),48.0,41.6,66.3,36.3
"대구 중구","건강",음주율 (%),59.2,61.2,63.6,65.4
"대구 중구","교육",학급당 학생수 (명),25.50,24.64,23.93,23.31
"대구 중구","교육",초등학교수 (개),10,10,10,10
"대구 중구","교육",유치원 교원수 (명),62,57,58,63
"대구 중구","교육",유치원수 (개),12,12,12,12
"대구 중구","교육",유치원 원아수 (명),852,810,780,799
"대구 중구","교육",초등학교 학생수 (명),4172,4144,4306,4350
"대구 중구","교육",초등학교 교원수 (명),298,304,312,316
"대구 중구","주거와 교통",도시지역면적,7054680,7056370,7055439,7055185
"대구 중구","주거와 교통",토지거래면적 (천㎡),303,300,350,464
"대구 중구","주거와 교통",주택수 (호),25971,25788,26597,25874
"대구 중구","성장과 안정",친환경인증 농산물 출하량 (톤),-,-,20,-
"대구 중구","성장과 안정",종사자수 (명),-,95168,94823,-
"대구 중구","성장과 안정",서비스업사업체수 (개),-,17674,18048,-
"대구 중구","성장과 안정",제조업종사자수 (명),-,5037,5172,-
"대구 중구","성장과 안정",제조업사업체수 (개),-,2152,2047,-
"대구 중구","성장과 안정",운수업종사자수 (명),-,1411,1483,-
"대구 중구","성장과 안정",운수업사업체수 (개),-,572,579,-
"대구 중구","성장과 안정",도소매업종사자수 (명),-,23069,22640,-
"대구 중구","성장과 안정",도소매업사업체수 (개),-,9578,9735,-
"대구 중구","성장과 안정",사업체수 (개),-,21743,21958,-
"대구 중구","성장과 안정",가구수 (가구),33679,33318,34431,34523
"대구 중구","안전",화재발생건수 (건),94,85,88,75
"대구 중구","환경",폐수배출업소수 (개),30,35,35,-
"대구 중구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"대구 중구","환경",상수도보급률 (%),100.0,100.0,-,-
"대구 중구","사회통합",건강보험 적용인구 현황,75232,74805,75505,-
"대구 중구","사회통합",인구십만명당 자살률 (십만명당),24.1,37.2,21.9,-
