"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 달서구","인구",출생아수 (명),4504,3706,3041,2927
"대구 달서구","인구",평균연령,40,40,41,42
"대구 달서구","인구",사망자수 (명),2684,2692,2809,-
"대구 달서구","인구",전출인구 (명),79627,77277,73178,73429
"대구 달서구","인구",전입인구 (명),66788,62346,68100,68705
"대구 달서구","인구",순이동인구 (명),-12839,-14931,-5078,-4724
"대구 달서구","인구",주민등록인구 (명),591891,578068,573413,568887
"대구 달서구","인구",등록외국인 현황 (명),8619,8464,9009,10465
"대구 달서구","인구",합계출산율,1.185,1.040,0.895,0.889
"대구 달서구","인구",인구총조사 인구,596901,583043,576746,574390
"대구 달서구","가족",혼인건수 (건),2786,2521,2379,2249
"대구 달서구","가족",조이혼율,1.6,1.6,1.8,1.9
"대구 달서구","가족",조혼인율,4.7,4.3,4.2,4.0
"대구 달서구","건강",스트레스 인지율 (%),28.7,29.9,25.3,24.6
"대구 달서구","건강",비만율 (%),26.1,28.6,26.9,-
"대구 달서구","건강",고위험음주율 (%),13.5,13.9,12.6,13.1
"대구 달서구","건강",EQ-5D (점),0.953,0.955,0.964,0.958
"대구 달서구","건강",흡연율 (%),20.4,21.5,22.5,20.8
"대구 달서구","건강",주관적 건강수준인지율 (%),41.2,40.6,37.5,39.1
"대구 달서구","건강",음주율 (%),64.4,63.4,63.9,62.1
"대구 달서구","교육",학급당 학생수 (명),25.60,25.03,24.26,23.74
"대구 달서구","교육",초등학교수 (개),54,55,55,55
"대구 달서구","교육",유치원 교원수 (명),709,723,723,703
"대구 달서구","교육",유치원수 (개),85,83,81,78
"대구 달서구","교육",유치원 원아수 (명),9890,9887,9437,8828
"대구 달서구","교육",초등학교 학생수 (명),32870,32135,31660,31654
"대구 달서구","교육",초등학교 교원수 (명),2301,2266,2283,2222
"대구 달서구","주거와 교통",도시지역면적,62339776,62343286,62341432,62339757
"대구 달서구","주거와 교통",토지거래면적 (천㎡),1273,1853,1989,1703
"대구 달서구","주거와 교통",주택수 (호),179685,179539,181128,183594
"대구 달서구","성장과 안정",친환경인증 농산물 출하량 (톤),123,44,84,4
"대구 달서구","성장과 안정",종사자수 (명),-,207468,208084,-
"대구 달서구","성장과 안정",서비스업사업체수 (개),-,28686,28754,-
"대구 달서구","성장과 안정",제조업종사자수 (명),-,56458,56170,-
"대구 달서구","성장과 안정",제조업사업체수 (개),-,5982,5931,-
"대구 달서구","성장과 안정",운수업종사자수 (명),-,12781,12259,-
"대구 달서구","성장과 안정",운수업사업체수 (개),-,5546,5422,-
"대구 달서구","성장과 안정",도소매업종사자수 (명),-,26880,26520,-
"대구 달서구","성장과 안정",도소매업사업체수 (개),-,9201,9042,-
"대구 달서구","성장과 안정",사업체수 (개),-,42931,42849,-
"대구 달서구","성장과 안정",가구수 (가구),223654,222577,223693,228034
"대구 달서구","안전",화재발생건수 (건),361,299,277,235
"대구 달서구","환경",폐수배출업소수 (개),646,637,592,-
"대구 달서구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"대구 달서구","환경",상수도보급률 (%),100.0,100.0,-,-
"대구 달서구","사회통합",건강보험 적용인구 현황,574055,561133,556611,-
"대구 달서구","사회통합",인구십만명당 자살률 (십만명당),25.2,24.4,25.8,-
