"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 달성군","인구",출생아수 (명),2321,2652,2832,2706
"대구 달성군","인구",평균연령,39,39,39,40
"대구 달성군","인구",사망자수 (명),1110,1147,1262,-
"대구 달성군","인구",전출인구 (명),27231,25800,26696,29002
"대구 달성군","인구",전입인구 (명),51441,49408,32210,33419
"대구 달성군","인구",순이동인구 (명),24210,23608,5514,4417
"대구 달성군","인구",주민등록인구 (명),218268,243375,250543,256540
"대구 달성군","인구",농가인구 (명),14458,14020,13088,13255
"대구 달성군","인구",등록외국인 현황 (명),5317,5515,5802,6040
"대구 달성군","인구",합계출산율,1.667,1.634,1.615,1.517
"대구 달성군","인구",인구총조사 인구,212895,239240,250753,258474
"대구 달성군","가족",혼인건수 (건),1509,1772,1704,1505
"대구 달성군","가족",조이혼율,1.9,1.7,1.9,2.2
"대구 달성군","가족",조혼인율,7.4,7.7,6.9,6.0
"대구 달성군","건강",스트레스 인지율 (%),28.2,25.3,26.2,24.3
"대구 달성군","건강",비만율 (%),27.0,28.3,33.0,-
"대구 달성군","건강",고위험음주율 (%),15.8,18.5,15.2,18.0
"대구 달성군","건강",EQ-5D (점),0.964,0.969,0.970,0.955
"대구 달성군","건강",흡연율 (%),19.5,21.2,20.4,22.4
"대구 달성군","건강",주관적 건강수준인지율 (%),42.2,50.8,42.8,40.3
"대구 달성군","건강",음주율 (%),56.2,59.4,61.3,59.1
"대구 달성군","교육",학급당 학생수 (명),22.40,22.09,22.63,22.16
"대구 달성군","교육",초등학교수 (개),29,32,32,32
"대구 달성군","교육",유치원 교원수 (명),355,394,421,451
"대구 달성군","교육",유치원수 (개),44,45,45,47
"대구 달성군","교육",유치원 원아수 (명),4885,5758,6051,6062
"대구 달성군","교육",초등학교 학생수 (명),11367,13365,14974,16083
"대구 달성군","교육",초등학교 교원수 (명),882,1035,1110,1163
"대구 달성군","주거와 교통",도시지역면적,376376084,376371857,376384952,377799698
"대구 달성군","주거와 교통",토지거래면적 (천㎡),10007,13445,8001,5641
"대구 달성군","주거와 교통",주택수 (호),75593,90122,91215,95011
"대구 달성군","성장과 안정",친환경인증 축산물 출하량 (톤),1906,4831,3604,173
"대구 달성군","성장과 안정",친환경인증 농산물 출하량 (톤),1137,1066,979,881
"대구 달성군","성장과 안정",종사자수 (명),-,98008,101944,-
"대구 달성군","성장과 안정",농가수 (가구),5733,5763,5408,5497
"대구 달성군","성장과 안정",서비스업사업체수 (개),-,9749,10330,-
"대구 달성군","성장과 안정",제조업종사자수 (명),-,48030,47816,-
"대구 달성군","성장과 안정",제조업사업체수 (개),-,4250,4233,-
"대구 달성군","성장과 안정",운수업종사자수 (명),-,5216,5639,-
"대구 달성군","성장과 안정",운수업사업체수 (개),-,2124,2263,-
"대구 달성군","성장과 안정",도소매업종사자수 (명),-,8518,9156,-
"대구 달성군","성장과 안정",도소매업사업체수 (개),-,3383,3489,-
"대구 달성군","성장과 안정",사업체수 (개),-,17314,18071,-
"대구 달성군","성장과 안정",가구수 (가구),77446,89008,94215,98057
"대구 달성군","안전",화재발생건수 (건),214,222,200,219
"대구 달성군","환경",폐수배출업소수 (개),405,427,432,-
"대구 달성군","환경",논경지면적 (헥타르),3451,3429,2996,3000
"대구 달성군","환경",하수도보급률 (%),85.0,87.5,89.6,-
"대구 달성군","환경",상수도보급률 (%),100.0,100.0,-,-
"대구 달성군","사회통합",건강보험 적용인구 현황,214792,240123,247479,-
"대구 달성군","사회통합",인구십만명당 자살률 (십만명당),21.5,18.7,27.6,-
