"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 수성구","인구",출생아수 (명),2400,1977,1714,1568
"대구 수성구","인구",평균연령,41,41,42,42
"대구 수성구","인구",사망자수 (명),2108,2117,2195,-
"대구 수성구","인구",전출인구 (명),60463,62072,62664,60864
"대구 수성구","인구",전입인구 (명),55210,54386,56710,57260
"대구 수성구","인구",순이동인구 (명),-5253,-7686,-5954,-3604
"대구 수성구","인구",주민등록인구 (명),447011,439211,432759,428614
"대구 수성구","인구",등록외국인 현황 (명),1539,1532,1640,1720
"대구 수성구","인구",합계출산율,0.990,0.849,0.763,0.722
"대구 수성구","인구",인구총조사 인구,432714,425546,418834,415283
"대구 수성구","가족",혼인건수 (건),1572,1403,1314,1213
"대구 수성구","가족",조이혼율,1.5,1.5,1.5,1.5
"대구 수성구","가족",조혼인율,3.5,3.2,3.0,2.8
"대구 수성구","건강",스트레스 인지율 (%),25.9,24.1,21.4,21.2
"대구 수성구","건강",비만율 (%),20.2,23.4,23.9,-
"대구 수성구","건강",고위험음주율 (%),13.0,13.1,11.5,13.3
"대구 수성구","건강",EQ-5D (점),0.971,0.976,0.979,0.968
"대구 수성구","건강",흡연율 (%),16.7,16.8,20.0,16.4
"대구 수성구","건강",주관적 건강수준인지율 (%),49.6,46.0,46.1,59.1
"대구 수성구","건강",음주율 (%),56.4,54.3,58.1,56.9
"대구 수성구","교육",학급당 학생수 (명),27.16,26.37,25.45,24.53
"대구 수성구","교육",초등학교수 (개),34,34,34,34
"대구 수성구","교육",유치원 교원수 (명),552,534,520,477
"대구 수성구","교육",유치원수 (개),55,54,54,49
"대구 수성구","교육",유치원 원아수 (명),6469,6348,6105,5499
"대구 수성구","교육",초등학교 학생수 (명),24717,23967,23630,23583
"대구 수성구","교육",초등학교 교원수 (명),1563,1556,1553,1571
"대구 수성구","주거와 교통",도시지역면적,76466396,76536623,76534405,76535269
"대구 수성구","주거와 교통",토지거래면적 (천㎡),1625,2631,2039,1635
"대구 수성구","주거와 교통",주택수 (호),133183,133564,134191,136216
"대구 수성구","성장과 안정",친환경인증 축산물 출하량 (톤),37,9,-,-
"대구 수성구","성장과 안정",친환경인증 농산물 출하량 (톤),8,2,11,4
"대구 수성구","성장과 안정",종사자수 (명),-,131221,144999,-
"대구 수성구","성장과 안정",서비스업사업체수 (개),-,21817,22065,-
"대구 수성구","성장과 안정",제조업종사자수 (명),-,2748,2667,-
"대구 수성구","성장과 안정",제조업사업체수 (개),-,829,787,-
"대구 수성구","성장과 안정",운수업종사자수 (명),-,4370,4158,-
"대구 수성구","성장과 안정",운수업사업체수 (개),-,2454,2383,-
"대구 수성구","성장과 안정",도소매업종사자수 (명),-,17831,29379,-
"대구 수성구","성장과 안정",도소매업사업체수 (개),-,5770,5684,-
"대구 수성구","성장과 안정",사업체수 (개),-,27466,27557,-
"대구 수성구","성장과 안정",가구수 (가구),157836,157640,157323,158648
"대구 수성구","안전",화재발생건수 (건),228,210,179,167
"대구 수성구","환경",폐수배출업소수 (개),124,127,113,-
"대구 수성구","환경",하수도보급률 (%),99.4,99.6,99.6,-
"대구 수성구","환경",상수도보급률 (%),100.0,100.0,-,-
"대구 수성구","사회통합",건강보험 적용인구 현황,432030,425370,419443,-
"대구 수성구","사회통합",인구십만명당 자살률 (십만명당),16.6,20.7,22.6,-
