"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 강동구","인구",출생아수 (명),3293,2968,2659,2437
"서울 강동구","인구",평균연령,41,42,42,43
"서울 강동구","인구",사망자수 (명),1791,1877,1905,-
"서울 강동구","인구",전출인구 (명),84535,90819,68933,67292
"서울 강동구","인구",전입인구 (명),67962,81615,59334,75101
"서울 강동구","인구",순이동인구 (명),-16573,-9204,-9599,7809
"서울 강동구","인구",주민등록인구 (명),444168,436223,427573,436067
"서울 강동구","인구",등록외국인 현황 (명),4303,4136,4347,4323
"서울 강동구","인구",합계출산율,0.938,0.884,0.820,0.758
"서울 강동구","인구",인구총조사 인구,429416,423978,414231,415287
"서울 강동구","가족",혼인건수 (건),2399,2427,2371,2129
"서울 강동구","가족",조이혼율,1.8,1.8,1.7,1.8
"서울 강동구","가족",조혼인율,5.4,5.6,5.6,5.0
"서울 강동구","건강",스트레스 인지율 (%),31.3,28.8,24.1,23.1
"서울 강동구","건강",비만율 (%),31.3,24.6,29.6,-
"서울 강동구","건강",고위험음주율 (%),13.8,14.4,13.0,18.5
"서울 강동구","건강",EQ-5D (점),0.942,0.961,0.963,0.958
"서울 강동구","건강",흡연율 (%),19.5,18.4,15.8,19.3
"서울 강동구","건강",주관적 건강수준인지율 (%),44.8,52.0,55.6,51.8
"서울 강동구","건강",음주율 (%),65.1,62.9,62.5,60.7
"서울 강동구","교육",학급당 학생수 (명),25.21,24.01,23.79,22.61
"서울 강동구","교육",초등학교수 (개),26,27,27,27
"서울 강동구","교육",유치원 교원수 (명),295,298,298,273
"서울 강동구","교육",유치원수 (개),35,35,35,32
"서울 강동구","교육",유치원 원아수 (명),4476,4506,4309,3746
"서울 강동구","교육",초등학교 학생수 (명),20448,20161,19831,19622
"서울 강동구","교육",초등학교 교원수 (명),1394,1442,1334,1329
"서울 강동구","주거와 교통",도시지역면적,24556203,24556203,24556203,24556203
"서울 강동구","주거와 교통",토지거래면적 (천㎡),3050,1759,1013,1597
"서울 강동구","주거와 교통",주택수 (호),116063,120940,122718,123014
"서울 강동구","성장과 안정",친환경인증 농산물 출하량 (톤),523,107,69,182
"서울 강동구","성장과 안정",종사자수 (명),-,146512,145990,-
"서울 강동구","성장과 안정",서비스업사업체수 (개),-,20651,20622,-
"서울 강동구","성장과 안정",제조업종사자수 (명),-,6508,5191,-
"서울 강동구","성장과 안정",제조업사업체수 (개),-,1566,1400,-
"서울 강동구","성장과 안정",운수업종사자수 (명),-,9738,10140,-
"서울 강동구","성장과 안정",운수업사업체수 (개),-,5597,5629,-
"서울 강동구","성장과 안정",도소매업종사자수 (명),-,24610,23937,-
"서울 강동구","성장과 안정",도소매업사업체수 (개),-,6897,6764,-
"서울 강동구","성장과 안정",사업체수 (개),-,29952,29772,-
"서울 강동구","성장과 안정",가구수 (가구),162679,163351,161943,165671
"서울 강동구","안전",화재발생건수 (건),311,269,324,254
"서울 강동구","환경",폐수배출업소수 (개),131,127,116,-
"서울 강동구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 강동구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 강동구","사회통합",건강보험 적용인구 현황,434589,427698,418746,-
"서울 강동구","사회통합",인구십만명당 자살률 (십만명당),23.4,21.4,25.8,-
