"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 강서구","인구",출생아수 (명),5456,4800,4260,3841
"서울 강서구","인구",평균연령,41,41,42,42
"서울 강서구","인구",사망자수 (명),2594,2574,2759,-
"서울 강서구","인구",전출인구 (명),93011,86483,90281,85057
"서울 강서구","인구",전입인구 (명),95852,90217,83699,78518
"서울 강서구","인구",순이동인구 (명),2841,3734,-6582,-6539
"서울 강서구","인구",주민등록인구 (명),595485,601691,596949,591796
"서울 강서구","인구",등록외국인 현황 (명),6619,6564,6662,6477
"서울 강서구","인구",합계출산율,1.059,0.925,0.826,0.760
"서울 강서구","인구",인구총조사 인구,574287,581675,578539,574097
"서울 강서구","가족",혼인건수 (건),4111,4069,3835,3589
"서울 강서구","가족",조이혼율,1.9,1.9,1.8,1.9
"서울 강서구","가족",조혼인율,7.0,6.9,6.5,6.1
"서울 강서구","건강",스트레스 인지율 (%),28.4,29.9,33.2,29.9
"서울 강서구","건강",비만율 (%),25.7,25.3,30.7,-
"서울 강서구","건강",고위험음주율 (%),14.0,17.6,17.9,14.6
"서울 강서구","건강",EQ-5D (점),0.960,0.954,0.971,0.953
"서울 강서구","건강",흡연율 (%),19.6,22.3,19.8,18.1
"서울 강서구","건강",주관적 건강수준인지율 (%),46.5,40.8,34.1,43.9
"서울 강서구","건강",음주율 (%),66.9,60.2,60.7,61.5
"서울 강서구","교육",학급당 학생수 (명),24.87,24.18,23.56,22.82
"서울 강서구","교육",초등학교수 (개),36,36,36,36
"서울 강서구","교육",유치원 교원수 (명),468,483,481,466
"서울 강서구","교육",유치원수 (개),52,53,56,56
"서울 강서구","교육",유치원 원아수 (명),5858,6084,6023,5683
"서울 강서구","교육",초등학교 학생수 (명),27048,26594,26949,27134
"서울 강서구","교육",초등학교 교원수 (명),1774,1760,1768,1781
"서울 강서구","주거와 교통",도시지역면적,41400000,41462497,41462415,41463274
"서울 강서구","주거와 교통",토지거래면적 (천㎡),1252,1716,1123,949
"서울 강서구","주거와 교통",주택수 (호),184422,188176,190525,193551
"서울 강서구","성장과 안정",친환경인증 농산물 출하량 (톤),79,130,116,80
"서울 강서구","성장과 안정",종사자수 (명),-,234394,248204,-
"서울 강서구","성장과 안정",서비스업사업체수 (개),-,25590,27174,-
"서울 강서구","성장과 안정",제조업종사자수 (명),-,7027,7311,-
"서울 강서구","성장과 안정",제조업사업체수 (개),-,1258,1257,-
"서울 강서구","성장과 안정",운수업종사자수 (명),-,53820,52138,-
"서울 강서구","성장과 안정",운수업사업체수 (개),-,7095,7317,-
"서울 강서구","성장과 안정",도소매업종사자수 (명),-,34665,37641,-
"서울 강서구","성장과 안정",도소매업사업체수 (개),-,8713,9079,-
"서울 강서구","성장과 안정",사업체수 (개),-,36556,38524,-
"서울 강서구","성장과 안정",가구수 (가구),225672,234926,238901,243220
"서울 강서구","안전",화재발생건수 (건),372,364,383,331
"서울 강서구","환경",폐수배출업소수 (개),187,200,192,-
"서울 강서구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 강서구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 강서구","사회통합",건강보험 적용인구 현황,577446,585420,580269,-
"서울 강서구","사회통합",인구십만명당 자살률 (십만명당),22.5,20.3,23.6,-
