"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 관악구","인구",출생아수 (명),3561,2931,2582,2245
"서울 관악구","인구",평균연령,41,41,42,42
"서울 관악구","인구",사망자수 (명),2137,2068,2179,-
"서울 관악구","인구",전출인구 (명),96179,94943,96477,95788
"서울 관악구","인구",전입인구 (명),91198,90303,94403,93583
"서울 관악구","인구",순이동인구 (명),-4981,-4640,-2074,-2205
"서울 관악구","인구",주민등록인구 (명),506851,503297,501957,500094
"서울 관악구","인구",등록외국인 현황 (명),18756,17632,18083,17240
"서울 관악구","인구",합계출산율,0.777,0.662,0.597,0.536
"서울 관악구","인구",인구총조사 인구,515648,511222,510303,507828
"서울 관악구","가족",혼인건수 (건),3537,3205,3090,2802
"서울 관악구","가족",조이혼율,1.9,1.6,1.7,1.8
"서울 관악구","가족",조혼인율,7.1,6.4,6.2,5.7
"서울 관악구","건강",스트레스 인지율 (%),32.4,27.2,25.3,27.7
"서울 관악구","건강",비만율 (%),26.0,25.0,26.1,-
"서울 관악구","건강",고위험음주율 (%),14.2,15.7,17.9,13.8
"서울 관악구","건강",EQ-5D (점),0.950,0.960,0.963,0.953
"서울 관악구","건강",흡연율 (%),22.5,20.7,23.5,18.8
"서울 관악구","건강",주관적 건강수준인지율 (%),41.8,55.8,48.6,40.3
"서울 관악구","건강",음주율 (%),61.0,62.7,63.2,60.0
"서울 관악구","교육",학급당 학생수 (명),24.25,23.52,22.69,21.79
"서울 관악구","교육",초등학교수 (개),22,22,22,22
"서울 관악구","교육",유치원 교원수 (명),324,323,301,270
"서울 관악구","교육",유치원수 (개),36,35,36,33
"서울 관악구","교육",유치원 원아수 (명),4385,4147,3830,3252
"서울 관악구","교육",초등학교 학생수 (명),16883,16227,15768,15246
"서울 관악구","교육",초등학교 교원수 (명),1198,1170,1147,1105
"서울 관악구","주거와 교통",도시지역면적,29570000,29563482,29563482,29563482
"서울 관악구","주거와 교통",토지거래면적 (천㎡),747,1465,560,551
"서울 관악구","주거와 교통",주택수 (호),123911,124170,125148,126526
"서울 관악구","성장과 안정",친환경인증 축산물 출하량 (톤),-,-,159,50
"서울 관악구","성장과 안정",종사자수 (명),-,115390,113944,-
"서울 관악구","성장과 안정",서비스업사업체수 (개),-,19087,18805,-
"서울 관악구","성장과 안정",제조업종사자수 (명),-,5480,4975,-
"서울 관악구","성장과 안정",제조업사업체수 (개),-,1350,1255,-
"서울 관악구","성장과 안정",운수업종사자수 (명),-,6609,6515,-
"서울 관악구","성장과 안정",운수업사업체수 (개),-,4089,4218,-
"서울 관악구","성장과 안정",도소매업종사자수 (명),-,16347,15166,-
"서울 관악구","성장과 안정",도소매업사업체수 (개),-,5164,4991,-
"서울 관악구","성장과 안정",사업체수 (개),-,26374,26105,-
"서울 관악구","성장과 안정",가구수 (가구),241003,242972,247871,253139
"서울 관악구","안전",화재발생건수 (건),314,286,337,311
"서울 관악구","환경",폐수배출업소수 (개),57,57,62,-
"서울 관악구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 관악구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 관악구","사회통합",건강보험 적용인구 현황,499277,497033,495816,-
"서울 관악구","사회통합",인구십만명당 자살률 (십만명당),27.8,23.3,25.1,-
