"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 구로구","인구",출생아수 (명),3736,3139,2658,2460
"서울 구로구","인구",평균연령,42,42,43,43
"서울 구로구","인구",사망자수 (명),1794,1749,1922,-
"서울 구로구","인구",전출인구 (명),61558,58672,58543,53666
"서울 구로구","인구",전입인구 (명),54368,50077,51108,54791
"서울 구로구","인구",순이동인구 (명),-7190,-8595,-7435,1125
"서울 구로구","인구",주민등록인구 (명),417551,410742,404497,406664
"서울 구로구","인구",등록외국인 현황 (명),32049,30817,33989,32707
"서울 구로구","인구",합계출산율,1.070,0.943,0.838,0.794
"서울 구로구","인구",인구총조사 인구,442165,436869,433765,435560
"서울 구로구","가족",혼인건수 (건),2674,2460,2286,2063
"서울 구로구","가족",조이혼율,1.9,1.9,1.8,1.8
"서울 구로구","가족",조혼인율,6.4,6.0,5.7,5.1
"서울 구로구","건강",스트레스 인지율 (%),29.2,25.3,24.5,26.0
"서울 구로구","건강",비만율 (%),28.9,27.7,30.3,-
"서울 구로구","건강",고위험음주율 (%),14.9,17.3,14.6,14.7
"서울 구로구","건강",EQ-5D (점),0.952,0.956,0.971,0.960
"서울 구로구","건강",흡연율 (%),22.8,18.3,18.7,16.6
"서울 구로구","건강",주관적 건강수준인지율 (%),41.1,42.4,44.9,38.9
"서울 구로구","건강",음주율 (%),61.5,61.3,69.3,63.1
"서울 구로구","교육",학급당 학생수 (명),25.12,24.61,23.83,22.67
"서울 구로구","교육",초등학교수 (개),24,24,24,26
"서울 구로구","교육",유치원 교원수 (명),258,259,252,264
"서울 구로구","교육",유치원수 (개),36,36,34,34
"서울 구로구","교육",유치원 원아수 (명),3482,3271,3108,3135
"서울 구로구","교육",초등학교 학생수 (명),19143,18965,18820,18674
"서울 구로구","교육",초등학교 교원수 (명),1308,1313,1297,1330
"서울 구로구","주거와 교통",도시지역면적,20119485,20136328,20136328,20136328
"서울 구로구","주거와 교통",토지거래면적 (천㎡),791,816,1069,567
"서울 구로구","주거와 교통",주택수 (호),120431,121684,124569,129693
"서울 구로구","성장과 안정",친환경인증 농산물 출하량 (톤),-,-,-,9
"서울 구로구","성장과 안정",종사자수 (명),-,213468,218070,-
"서울 구로구","성장과 안정",서비스업사업체수 (개),-,27506,27569,-
"서울 구로구","성장과 안정",제조업종사자수 (명),-,19002,17612,-
"서울 구로구","성장과 안정",제조업사업체수 (개),-,3729,3677,-
"서울 구로구","성장과 안정",운수업종사자수 (명),-,9552,9160,-
"서울 구로구","성장과 안정",운수업사업체수 (개),-,4768,4891,-
"서울 구로구","성장과 안정",도소매업종사자수 (명),-,40111,40438,-
"서울 구로구","성장과 안정",도소매업사업체수 (개),-,12201,12100,-
"서울 구로구","성장과 안정",사업체수 (개),-,38405,38553,-
"서울 구로구","성장과 안정",가구수 (가구),171945,172346,174431,178837
"서울 구로구","안전",화재발생건수 (건),247,260,263,247
"서울 구로구","환경",폐수배출업소수 (개),135,132,122,-
"서울 구로구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 구로구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 구로구","사회통합",건강보험 적용인구 현황,426142,422241,418583,-
"서울 구로구","사회통합",인구십만명당 자살률 (십만명당),22.9,18.8,27.5,-
