"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 금천구","인구",출생아수 (명),1595,1498,1314,1154
"서울 금천구","인구",평균연령,43,43,44,44
"서울 금천구","인구",사망자수 (명),1163,1167,1133,-
"서울 금천구","인구",전출인구 (명),36528,34907,35508,33728
"서울 금천구","인구",전입인구 (명),34870,34230,33794,32416
"서울 금천구","인구",순이동인구 (명),-1658,-677,-1714,-1312
"서울 금천구","인구",주민등록인구 (명),235386,235154,233917,232810
"서울 금천구","인구",등록외국인 현황 (명),19268,18337,20104,19010
"서울 금천구","인구",합계출산율,0.944,0.901,0.796,0.709
"서울 금천구","인구",인구총조사 인구,247819,249930,249344,249747
"서울 금천구","가족",혼인건수 (건),1324,1439,1269,1243
"서울 금천구","가족",조이혼율,2.3,2.3,2.3,2.4
"서울 금천구","가족",조혼인율,5.7,6.2,5.5,5.4
"서울 금천구","건강",스트레스 인지율 (%),27.5,32.8,30.7,25.4
"서울 금천구","건강",비만율 (%),26.8,28.7,28.2,-
"서울 금천구","건강",고위험음주율 (%),20.5,23.9,19.6,20.0
"서울 금천구","건강",EQ-5D (점),0.964,0.958,0.964,0.953
"서울 금천구","건강",흡연율 (%),25.6,20.3,23.8,20.0
"서울 금천구","건강",주관적 건강수준인지율 (%),42.5,42.3,46.2,41.9
"서울 금천구","건강",음주율 (%),64.2,62.5,57.5,60.6
"서울 금천구","교육",학급당 학생수 (명),23.41,22.04,21.21,20.30
"서울 금천구","교육",초등학교수 (개),17,18,18,18
"서울 금천구","교육",유치원 교원수 (명),126,135,138,143
"서울 금천구","교육",유치원수 (개),17,18,18,19
"서울 금천구","교육",유치원 원아수 (명),1666,1767,1716,1610
"서울 금천구","교육",초등학교 학생수 (명),9189,9030,8883,8880
"서울 금천구","교육",초등학교 교원수 (명),702,731,712,698
"서울 금천구","주거와 교통",도시지역면적,13370000,13012685,13012685,13012685
"서울 금천구","주거와 교통",토지거래면적 (천㎡),942,711,885,595
"서울 금천구","주거와 교통",주택수 (호),58938,62314,65244,67012
"서울 금천구","성장과 안정",친환경인증 농산물 출하량 (톤),-,-,3,4
"서울 금천구","성장과 안정",종사자수 (명),-,228000,234012,-
"서울 금천구","성장과 안정",서비스업사업체수 (개),-,21203,21931,-
"서울 금천구","성장과 안정",제조업종사자수 (명),-,40151,40430,-
"서울 금천구","성장과 안정",제조업사업체수 (개),-,5412,5399,-
"서울 금천구","성장과 안정",운수업종사자수 (명),-,9589,9064,-
"서울 금천구","성장과 안정",운수업사업체수 (개),-,2824,2818,-
"서울 금천구","성장과 안정",도소매업종사자수 (명),-,41969,40952,-
"서울 금천구","성장과 안정",도소매업사업체수 (개),-,8948,9091,-
"서울 금천구","성장과 안정",사업체수 (개),-,31750,32472,-
"서울 금천구","성장과 안정",가구수 (가구),103691,106162,108167,111250
"서울 금천구","안전",화재발생건수 (건),173,174,168,141
"서울 금천구","환경",폐수배출업소수 (개),212,195,141,-
"서울 금천구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 금천구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 금천구","사회통합",건강보험 적용인구 현황,237810,239417,240030,-
"서울 금천구","사회통합",인구십만명당 자살률 (십만명당),27.6,27.7,20.4,-
