"지역별(1)","지표별(1)",지표별(2),2018,2019,2020
"서울 노원구","인구",출생아수 (명),2851,2604,-
"서울 노원구","인구",평균연령,42,42,-
"서울 노원구","인구",사망자수 (명),2896,-,-
"서울 노원구","인구",전출인구 (명),72748,68095,-
"서울 노원구","인구",전입인구 (명),61867,57183,-
"서울 노원구","인구",순이동인구 (명),-10881,-10912,-
"서울 노원구","인구",주민등록인구 (명),543752,532905,-
"서울 노원구","인구",등록외국인 현황 (명),4408,4398,-
"서울 노원구","인구",합계출산율,0.809,0.776,-
"서울 노원구","인구",인구총조사 인구,534096,522480,-
"서울 노원구","가족",혼인건수 (건),2240,2138,-
"서울 노원구","가족",조이혼율,1.6,1.7,-
"서울 노원구","가족",조혼인율,4.1,4.0,-
"서울 노원구","건강",스트레스 인지율 (%),26.1,21.1,-
"서울 노원구","건강",비만율 (%),30.4,-,-
"서울 노원구","건강",고위험음주율 (%),14.1,18.3,-
"서울 노원구","건강",EQ-5D (점),0.972,0.961,-
"서울 노원구","건강",흡연율 (%),19.5,20.6,-
"서울 노원구","건강",주관적 건강수준인지율 (%),41.0,41.7,-
"서울 노원구","건강",음주율 (%),58.0,57.3,-
"서울 노원구","교육",학급당 학생수 (명),23.79,22.82,-
"서울 노원구","교육",초등학교수 (개),42,42,-
"서울 노원구","교육",유치원 교원수 (명),541,505,-
"서울 노원구","교육",유치원수 (개),68,66,-
"서울 노원구","교육",유치원 원아수 (명),6639,6203,-
"서울 노원구","교육",초등학교 학생수 (명),27558,26994,-
"서울 노원구","교육",초등학교 교원수 (명),1851,1788,-
"서울 노원구","주거와 교통",도시지역면적,35595942,35545790,-
"서울 노원구","주거와 교통",토지거래면적 (천㎡),827,1835,193
"서울 노원구","주거와 교통",주택수 (호),186533,187376,-
"서울 노원구","성장과 안정",친환경인증 농산물 출하량 (톤),2,-,-
"서울 노원구","성장과 안정",종사자수 (명),118713,-,-
"서울 노원구","성장과 안정",서비스업사업체수 (개),17490,-,-
"서울 노원구","성장과 안정",제조업종사자수 (명),3720,-,-
"서울 노원구","성장과 안정",제조업사업체수 (개),858,-,-
"서울 노원구","성장과 안정",운수업종사자수 (명),12573,-,-
"서울 노원구","성장과 안정",운수업사업체수 (개),6598,-,-
"서울 노원구","성장과 안정",도소매업종사자수 (명),15757,-,-
"서울 노원구","성장과 안정",도소매업사업체수 (개),5030,-,-
"서울 노원구","성장과 안정",사업체수 (개),26616,-,-
"서울 노원구","성장과 안정",가구수 (가구),203647,202930,-
"서울 노원구","안전",화재발생건수 (건),229,203,-
"서울 노원구","환경",폐수배출업소수 (개),88,-,-
"서울 노원구","환경",하수도보급률 (%),100.0,-,-
"서울 노원구","사회통합",건강보험 적용인구 현황,519776,-,-
"서울 노원구","사회통합",인구십만명당 자살률 (십만명당),25.4,-,-
