"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 도봉구","인구",출생아수 (명),2249,1906,1707,1483
"서울 도봉구","인구",평균연령,42,43,44,45
"서울 도봉구","인구",사망자수 (명),1819,1739,1901,-
"서울 도봉구","인구",전출인구 (명),48607,45260,44213,41225
"서울 도봉구","인구",전입인구 (명),44836,40965,39518,35445
"서울 도봉구","인구",순이동인구 (명),-3771,-4295,-4695,-5780
"서울 도봉구","인구",주민등록인구 (명),348220,344166,339413,333362
"서울 도봉구","인구",등록외국인 현황 (명),2052,2068,2236,2269
"서울 도봉구","인구",합계출산율,0.947,0.833,0.774,0.697
"서울 도봉구","인구",인구총조사 인구,336745,332586,328243,323543
"서울 도봉구","가족",혼인건수 (건),1636,1543,1471,1316
"서울 도봉구","가족",조이혼율,1.9,1.9,2.1,2.1
"서울 도봉구","가족",조혼인율,4.7,4.5,4.4,4.0
"서울 도봉구","건강",스트레스 인지율 (%),30.9,30.7,28.9,29.0
"서울 도봉구","건강",비만율 (%),27.9,27.9,27.5,-
"서울 도봉구","건강",고위험음주율 (%),17.4,19.0,19.6,17.6
"서울 도봉구","건강",EQ-5D (점),0.959,0.944,0.952,0.937
"서울 도봉구","건강",흡연율 (%),22.7,23.0,21.1,17.2
"서울 도봉구","건강",주관적 건강수준인지율 (%),38.9,40.5,34.1,40.5
"서울 도봉구","건강",음주율 (%),62.5,64.7,67.3,61.8
"서울 도봉구","교육",학급당 학생수 (명),24.09,23.46,22.62,22.10
"서울 도봉구","교육",초등학교수 (개),23,23,23,23
"서울 도봉구","교육",유치원 교원수 (명),238,237,230,212
"서울 도봉구","교육",유치원수 (개),30,29,29,26
"서울 도봉구","교육",유치원 원아수 (명),3027,2929,2686,2419
"서울 도봉구","교육",초등학교 학생수 (명),16760,16242,15962,15561
"서울 도봉구","교육",초등학교 교원수 (명),1087,1061,1041,1023
"서울 도봉구","주거와 교통",도시지역면적,20850000,20679052,20679052,20679052
"서울 도봉구","주거와 교통",토지거래면적 (천㎡),558,516,1040,712
"서울 도봉구","주거와 교통",주택수 (호),104170,104752,105526,106641
"서울 도봉구","성장과 안정",친환경인증 농산물 출하량 (톤),-,1,1,2
"서울 도봉구","성장과 안정",종사자수 (명),-,70503,74314,-
"서울 도봉구","성장과 안정",서비스업사업체수 (개),-,11510,11522,-
"서울 도봉구","성장과 안정",제조업종사자수 (명),-,4556,4137,-
"서울 도봉구","성장과 안정",제조업사업체수 (개),-,1090,1020,-
"서울 도봉구","성장과 안정",운수업종사자수 (명),-,9543,10030,-
"서울 도봉구","성장과 안정",운수업사업체수 (개),-,4502,5099,-
"서울 도봉구","성장과 안정",도소매업종사자수 (명),-,10915,10983,-
"서울 도봉구","성장과 안정",도소매업사업체수 (개),-,3500,3455,-
"서울 도봉구","성장과 안정",사업체수 (개),-,18351,18894,-
"서울 도봉구","성장과 안정",가구수 (가구),126297,126940,127249,127843
"서울 도봉구","안전",화재발생건수 (건),222,192,237,179
"서울 도봉구","환경",폐수배출업소수 (개),82,80,80,-
"서울 도봉구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 도봉구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 도봉구","사회통합",건강보험 적용인구 현황,338107,333918,328899,-
"서울 도봉구","사회통합",인구십만명당 자살률 (십만명당),21.7,28.7,23.1,-
