"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 동작구","인구",출생아수 (명),3184,2814,2417,2227
"서울 동작구","인구",평균연령,41,41,42,42
"서울 동작구","인구",사망자수 (명),1667,1641,1720,-
"서울 동작구","인구",전출인구 (명),68243,66978,66105,62047
"서울 동작구","인구",전입인구 (명),66425,60949,65099,61168
"서울 동작구","인구",순이동인구 (명),-1818,-6029,-1006,-879
"서울 동작구","인구",주민등록인구 (명),400997,396217,396203,395963
"서울 동작구","인구",등록외국인 현황 (명),12250,12276,13182,12949
"서울 동작구","인구",합계출산율,0.912,0.831,0.737,0.697
"서울 동작구","인구",인구총조사 인구,404076,400236,397980,400368
"서울 동작구","가족",혼인건수 (건),2514,2282,2097,2057
"서울 동작구","가족",조이혼율,1.5,1.5,1.4,1.4
"서울 동작구","가족",조혼인율,6.4,5.8,5.4,5.3
"서울 동작구","건강",스트레스 인지율 (%),33.2,29.3,36.1,23.1
"서울 동작구","건강",비만율 (%),21.5,25.0,27.4,-
"서울 동작구","건강",고위험음주율 (%),13.7,15.4,16.2,16.1
"서울 동작구","건강",EQ-5D (점),0.958,0.954,0.946,0.955
"서울 동작구","건강",흡연율 (%),19.2,18.2,18.4,16.8
"서울 동작구","건강",주관적 건강수준인지율 (%),48.8,45.7,32.0,49.7
"서울 동작구","건강",음주율 (%),64.7,62.2,63.0,58.3
"서울 동작구","교육",학급당 학생수 (명),25.51,24.99,24.03,23.56
"서울 동작구","교육",초등학교수 (개),21,21,21,21
"서울 동작구","교육",유치원 교원수 (명),304,301,289,258
"서울 동작구","교육",유치원수 (개),34,34,37,34
"서울 동작구","교육",유치원 원아수 (명),3684,3620,3490,3113
"서울 동작구","교육",초등학교 학생수 (명),16887,16698,16366,16257
"서울 동작구","교육",초등학교 교원수 (명),1099,1075,1094,1060
"서울 동작구","주거와 교통",도시지역면적,16387882,16387882,16387882,16387882
"서울 동작구","주거와 교통",토지거래면적 (천㎡),1179,740,774,558
"서울 동작구","주거와 교통",주택수 (호),111438,111548,112032,115075
"서울 동작구","성장과 안정",친환경인증 농산물 출하량 (톤),102,49,69,65
"서울 동작구","성장과 안정",종사자수 (명),-,110422,112564,-
"서울 동작구","성장과 안정",서비스업사업체수 (개),-,15687,15646,-
"서울 동작구","성장과 안정",제조업종사자수 (명),-,2228,2059,-
"서울 동작구","성장과 안정",제조업사업체수 (개),-,651,614,-
"서울 동작구","성장과 안정",운수업종사자수 (명),-,3290,3124,-
"서울 동작구","성장과 안정",운수업사업체수 (개),-,2115,2136,-
"서울 동작구","성장과 안정",도소매업종사자수 (명),-,14990,14773,-
"서울 동작구","성장과 안정",도소매업사업체수 (개),-,4689,4564,-
"서울 동작구","성장과 안정",사업체수 (개),-,19966,19916,-
"서울 동작구","성장과 안정",가구수 (가구),165785,166520,168420,172323
"서울 동작구","안전",화재발생건수 (건),215,222,205,208
"서울 동작구","환경",폐수배출업소수 (개),35,39,27,-
"서울 동작구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 동작구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 동작구","사회통합",건강보험 적용인구 현황,396634,392843,392451,-
"서울 동작구","사회통합",인구십만명당 자살률 (십만명당),22.5,18.6,21.8,-
