"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 마포구","인구",출생아수 (명),3392,2812,2528,2334
"서울 마포구","인구",평균연령,40,40,41,41
"서울 마포구","인구",사망자수 (명),1621,1533,1612,-
"서울 마포구","인구",전출인구 (명),72793,63689,61071,59573
"서울 마포구","인구",전입인구 (명),62642,57490,60227,57766
"서울 마포구","인구",순이동인구 (명),-10151,-6199,-844,-1807
"서울 마포구","인구",주민등록인구 (명),379892,374915,375077,374035
"서울 마포구","인구",등록외국인 현황 (명),10995,10868,11282,11890
"서울 마포구","인구",합계출산율,0.945,0.806,0.733,0.681
"서울 마포구","인구",인구총조사 인구,375142,368841,368181,369327
"서울 마포구","가족",혼인건수 (건),2588,2294,2229,2029
"서울 마포구","가족",조이혼율,1.7,1.6,1.5,1.5
"서울 마포구","가족",조혼인율,6.9,6.2,6.1,5.5
"서울 마포구","건강",스트레스 인지율 (%),28.6,24.3,16.6,30.8
"서울 마포구","건강",비만율 (%),22.9,22.4,25.6,-
"서울 마포구","건강",고위험음주율 (%),12.4,15.9,18.1,15.4
"서울 마포구","건강",EQ-5D (점),0.963,0.967,0.974,0.951
"서울 마포구","건강",흡연율 (%),20.1,17.8,17.8,17.6
"서울 마포구","건강",주관적 건강수준인지율 (%),49.9,42.2,59.7,40.1
"서울 마포구","건강",음주율 (%),64.9,64.1,59.0,66.7
"서울 마포구","교육",학급당 학생수 (명),24.97,24.36,23.74,23.42
"서울 마포구","교육",초등학교수 (개),22,22,22,22
"서울 마포구","교육",유치원 교원수 (명),232,226,223,203
"서울 마포구","교육",유치원수 (개),28,27,26,24
"서울 마포구","교육",유치원 원아수 (명),3085,2975,2782,2609
"서울 마포구","교육",초등학교 학생수 (명),16361,15850,15432,15272
"서울 마포구","교육",초등학교 교원수 (명),1164,1150,1098,1086
"서울 마포구","주거와 교통",도시지역면적,23890251,23890251,23890251,23884089
"서울 마포구","주거와 교통",토지거래면적 (천㎡),791,681,1347,482
"서울 마포구","주거와 교통",주택수 (호),118456,118355,118619,119298
"서울 마포구","성장과 안정",종사자수 (명),-,247999,255152,-
"서울 마포구","성장과 안정",서비스업사업체수 (개),-,29371,30283,-
"서울 마포구","성장과 안정",제조업종사자수 (명),-,5121,5350,-
"서울 마포구","성장과 안정",제조업사업체수 (개),-,1336,1317,-
"서울 마포구","성장과 안정",운수업종사자수 (명),-,11967,12398,-
"서울 마포구","성장과 안정",운수업사업체수 (개),-,2947,2987,-
"서울 마포구","성장과 안정",도소매업종사자수 (명),-,33868,35083,-
"서울 마포구","성장과 안정",도소매업사업체수 (개),-,7664,7655,-
"서울 마포구","성장과 안정",사업체수 (개),-,36325,37232,-
"서울 마포구","성장과 안정",가구수 (가구),158474,157877,159850,162161
"서울 마포구","안전",화재발생건수 (건),283,235,254,246
"서울 마포구","환경",폐수배출업소수 (개),62,69,54,-
"서울 마포구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 마포구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 마포구","사회통합",건강보험 적용인구 현황,375811,370990,371013,-
"서울 마포구","사회통합",인구십만명당 자살률 (십만명당),22.6,19.2,20.4,-
