"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 서대문구","인구",출생아수 (명),2201,1911,1647,1521
"서울 서대문구","인구",평균연령,41,41,42,42
"서울 서대문구","인구",사망자수 (명),1514,1507,1669,-
"서울 서대문구","인구",전출인구 (명),54236,50286,48484,46677
"서울 서대문구","인구",전입인구 (명),55152,48534,45861,45729
"서울 서대문구","인구",순이동인구 (명),916,-1752,-2623,-948
"서울 서대문구","인구",주민등록인구 (명),314194,312800,310313,309397
"서울 서대문구","인구",등록외국인 현황 (명),11677,12228,12767,13774
"서울 서대문구","인구",합계출산율,0.934,0.823,0.727,0.685
"서울 서대문구","인구",인구총조사 인구,320258,321345,318874,319394
"서울 서대문구","가족",혼인건수 (건),1660,1546,1393,1440
"서울 서대문구","가족",조이혼율,1.7,1.6,1.7,1.6
"서울 서대문구","가족",조혼인율,5.4,5.0,4.6,4.8
"서울 서대문구","건강",스트레스 인지율 (%),26.3,26.5,25.8,28.5
"서울 서대문구","건강",비만율 (%),23.0,26.1,28.3,-
"서울 서대문구","건강",고위험음주율 (%),17.3,19.0,19.9,19.4
"서울 서대문구","건강",EQ-5D (점),0.959,0.969,0.972,0.955
"서울 서대문구","건강",흡연율 (%),19.5,22.9,21.1,18.3
"서울 서대문구","건강",주관적 건강수준인지율 (%),54.3,52.7,52.5,46.9
"서울 서대문구","건강",음주율 (%),60.4,62.9,58.4,60.5
"서울 서대문구","교육",학급당 학생수 (명),23.87,23.58,23.23,22.67
"서울 서대문구","교육",초등학교수 (개),19,19,19,19
"서울 서대문구","교육",유치원 교원수 (명),220,220,214,210
"서울 서대문구","교육",유치원수 (개),27,27,27,25
"서울 서대문구","교육",유치원 원아수 (명),2748,2649,2614,2439
"서울 서대문구","교육",초등학교 학생수 (명),13331,13193,13027,12993
"서울 서대문구","교육",초등학교 교원수 (명),941,904,910,890
"서울 서대문구","주거와 교통",도시지역면적,17600000,17685973,17685845,17685845
"서울 서대문구","주거와 교통",토지거래면적 (천㎡),643,626,601,524
"서울 서대문구","주거와 교통",주택수 (호),92788,94398,94884,97616
"서울 서대문구","성장과 안정",친환경인증 농산물 출하량 (톤),-,0,-,-
"서울 서대문구","성장과 안정",종사자수 (명),-,111117,109490,-
"서울 서대문구","성장과 안정",서비스업사업체수 (개),-,14641,14670,-
"서울 서대문구","성장과 안정",제조업종사자수 (명),-,2721,2494,-
"서울 서대문구","성장과 안정",제조업사업체수 (개),-,754,686,-
"서울 서대문구","성장과 안정",운수업종사자수 (명),-,6195,5835,-
"서울 서대문구","성장과 안정",운수업사업체수 (개),-,2881,2903,-
"서울 서대문구","성장과 안정",도소매업종사자수 (명),-,14505,14045,-
"서울 서대문구","성장과 안정",도소매업사업체수 (개),-,4071,4025,-
"서울 서대문구","성장과 안정",사업체수 (개),-,19852,19796,-
"서울 서대문구","성장과 안정",가구수 (가구),130954,131721,132305,134437
"서울 서대문구","안전",화재발생건수 (건),227,232,229,269
"서울 서대문구","환경",폐수배출업소수 (개),50,51,45,-
"서울 서대문구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 서대문구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 서대문구","사회통합",건강보험 적용인구 현황,306996,305790,303024,-
"서울 서대문구","사회통합",인구십만명당 자살률 (십만명당),24.1,18.6,24.6,-
