"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 성동구","인구",출생아수 (명),2531,2462,2346,2191
"서울 성동구","인구",평균연령,41,41,42,42
"서울 성동구","인구",사망자수 (명),1304,1399,1383,-
"서울 성동구","인구",전출인구 (명),46986,46031,49012,48102
"서울 성동구","인구",전입인구 (명),47629,50416,51358,39922
"서울 성동구","인구",순이동인구 (명),643,4385,2346,-8180
"서울 성동구","인구",주민등록인구 (명),299259,304808,308221,300889
"서울 성동구","인구",등록외국인 현황 (명),7902,7903,8242,8090
"서울 성동구","인구",합계출산율,1.013,0.972,0.909,0.855
"서울 성동구","인구",인구총조사 인구,294744,302367,306796,299688
"서울 성동구","가족",혼인건수 (건),1944,2096,2000,1758
"서울 성동구","가족",조이혼율,1.9,1.7,1.8,1.8
"서울 성동구","가족",조혼인율,6.6,7.1,6.6,5.9
"서울 성동구","건강",스트레스 인지율 (%),29.8,30.9,31.3,32.6
"서울 성동구","건강",비만율 (%),26.2,26.4,29.3,-
"서울 성동구","건강",고위험음주율 (%),15.8,17.7,18.3,17.9
"서울 성동구","건강",EQ-5D (점),0.940,0.948,0.953,0.945
"서울 성동구","건강",흡연율 (%),20.9,20.4,20.4,20.2
"서울 성동구","건강",주관적 건강수준인지율 (%),42.9,50.1,40.2,39.9
"서울 성동구","건강",음주율 (%),63.7,67.5,67.5,63.2
"서울 성동구","교육",학급당 학생수 (명),23.25,22.57,21.63,20.88
"서울 성동구","교육",초등학교수 (개),21,21,21,21
"서울 성동구","교육",유치원 교원수 (명),198,201,206,186
"서울 성동구","교육",유치원수 (개),31,31,31,30
"서울 성동구","교육",유치원 원아수 (명),2584,2638,2608,2264
"서울 성동구","교육",초등학교 학생수 (명),12352,12047,11922,11789
"서울 성동구","교육",초등학교 교원수 (명),963,954,972,936
"서울 성동구","주거와 교통",도시지역면적,16839500,16804426,16804426,16804270
"서울 성동구","주거와 교통",토지거래면적 (천㎡),637,611,578,500
"서울 성동구","주거와 교통",주택수 (호),80977,86650,87830,91037
"서울 성동구","성장과 안정",친환경인증 농산물 출하량 (톤),-,-,-,1
"서울 성동구","성장과 안정",종사자수 (명),-,167308,174819,-
"서울 성동구","성장과 안정",서비스업사업체수 (개),-,18352,19100,-
"서울 성동구","성장과 안정",제조업종사자수 (명),-,28130,27062,-
"서울 성동구","성장과 안정",제조업사업체수 (개),-,4612,4444,-
"서울 성동구","성장과 안정",운수업종사자수 (명),-,8295,8653,-
"서울 성동구","성장과 안정",운수업사업체수 (개),-,2683,2629,-
"서울 성동구","성장과 안정",도소매업종사자수 (명),-,32412,31602,-
"서울 성동구","성장과 안정",도소매업사업체수 (개),-,7250,7385,-
"서울 성동구","성장과 안정",사업체수 (개),-,27278,27868,-
"서울 성동구","성장과 안정",가구수 (가구),120625,125421,128602,127557
"서울 성동구","안전",화재발생건수 (건),182,197,212,194
"서울 성동구","환경",폐수배출업소수 (개),324,327,287,-
"서울 성동구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 성동구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 성동구","사회통합",건강보험 적용인구 현황,294915,301411,304980,-
"서울 성동구","사회통합",인구십만명당 자살률 (십만명당),23.9,22.6,20.3,-
