"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 송파구","인구",출생아수 (명),5500,4976,4567,4424
"서울 송파구","인구",평균연령,40,40,41,41
"서울 송파구","인구",사망자수 (명),2174,2239,2334,-
"서울 송파구","인구",전출인구 (명),112735,107154,101486,116301
"서울 송파구","인구",전입인구 (명),105735,110872,101060,123273
"서울 송파구","인구",순이동인구 (명),-7000,3718,-426,6972
"서울 송파구","인구",주민등록인구 (명),657831,664496,666635,675961
"서울 송파구","인구",등록외국인 현황 (명),7115,6677,6872,6780
"서울 송파구","인구",합계출산율,0.958,0.871,0.800,0.770
"서울 송파구","인구",인구총조사 인구,628212,633953,638167,648600
"서울 송파구","가족",혼인건수 (건),4102,3896,3705,3651
"서울 송파구","가족",조이혼율,1.6,1.6,1.5,1.6
"서울 송파구","가족",조혼인율,6.3,6.0,5.6,5.5
"서울 송파구","건강",스트레스 인지율 (%),29.0,25.0,16.1,23.5
"서울 송파구","건강",비만율 (%),21.2,21.6,25.1,-
"서울 송파구","건강",고위험음주율 (%),14.3,14.6,12.5,17.6
"서울 송파구","건강",EQ-5D (점),0.956,0.954,0.968,0.949
"서울 송파구","건강",흡연율 (%),18.2,18.3,16.1,15.4
"서울 송파구","건강",주관적 건강수준인지율 (%),53.4,59.6,63.2,47.3
"서울 송파구","건강",음주율 (%),66.8,68.6,66.4,69.5
"서울 송파구","교육",학급당 학생수 (명),25.93,25.34,24.43,23.13
"서울 송파구","교육",초등학교수 (개),39,39,39,40
"서울 송파구","교육",유치원 교원수 (명),473,498,501,452
"서울 송파구","교육",유치원수 (개),54,56,56,51
"서울 송파구","교육",유치원 원아수 (명),6073,6261,6074,5348
"서울 송파구","교육",초등학교 학생수 (명),31048,31191,31368,32208
"서울 송파구","교육",초등학교 교원수 (명),2106,2103,2133,2195
"서울 송파구","주거와 교통",도시지역면적,33858375,33858375,33858375,33857302
"서울 송파구","주거와 교통",토지거래면적 (천㎡),1162,1513,2641,4157
"서울 송파구","주거와 교통",주택수 (호),191349,196672,199739,208692
"서울 송파구","성장과 안정",친환경인증 농산물 출하량 (톤),44,0,7,22
"서울 송파구","성장과 안정",종사자수 (명),-,329447,342853,-
"서울 송파구","성장과 안정",서비스업사업체수 (개),-,35664,36487,-
"서울 송파구","성장과 안정",제조업종사자수 (명),-,8803,9200,-
"서울 송파구","성장과 안정",제조업사업체수 (개),-,1487,1520,-
"서울 송파구","성장과 안정",운수업종사자수 (명),-,15124,15955,-
"서울 송파구","성장과 안정",운수업사업체수 (개),-,5746,5915,-
"서울 송파구","성장과 안정",도소매업종사자수 (명),-,58913,60790,-
"서울 송파구","성장과 안정",도소매업사업체수 (개),-,13728,13666,-
"서울 송파구","성장과 안정",사업체수 (개),-,46676,47772,-
"서울 송파구","성장과 안정",가구수 (가구),234836,241411,247410,256160
"서울 송파구","안전",화재발생건수 (건),325,318,340,335
"서울 송파구","환경",폐수배출업소수 (개),187,194,138,-
"서울 송파구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 송파구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 송파구","사회통합",건강보험 적용인구 현황,647493,647859,662644,-
"서울 송파구","사회통합",인구십만명당 자살률 (십만명당),19.4,19.8,15.8,-
