"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 중구","인구",출생아수 (명),959,808,733,783
"서울 중구","인구",평균연령,42,43,43,43
"서울 중구","인구",사망자수 (명),669,684,710,-
"서울 중구","인구",전출인구 (명),21655,20574,20873,19384
"서울 중구","인구",전입인구 (명),20595,20904,20771,19623
"서울 중구","인구",순이동인구 (명),-1060,330,-102,239
"서울 중구","인구",주민등록인구 (명),125249,125709,125725,126171
"서울 중구","인구",등록외국인 현황 (명),9160,8884,9908,10317
"서울 중구","인구",합계출산율,0.974,0.824,0.737,0.780
"서울 중구","인구",인구총조사 인구,128160,127896,129797,130957
"서울 중구","가족",혼인건수 (건),799,792,778,722
"서울 중구","가족",조이혼율,2.1,2.1,2.1,1.9
"서울 중구","가족",조혼인율,6.6,6.5,6.4,5.9
"서울 중구","건강",스트레스 인지율 (%),29.8,26.2,28.3,22.8
"서울 중구","건강",비만율 (%),25.1,24.0,26.1,-
"서울 중구","건강",고위험음주율 (%),19.4,15.1,18.4,17.7
"서울 중구","건강",EQ-5D (점),0.948,0.958,0.956,0.960
"서울 중구","건강",흡연율 (%),23.3,20.8,25.0,18.0
"서울 중구","건강",주관적 건강수준인지율 (%),47.3,50.9,42.4,52.8
"서울 중구","건강",음주율 (%),62.9,58.7,64.5,58.0
"서울 중구","교육",학급당 학생수 (명),23.45,22.47,21.90,21.16
"서울 중구","교육",초등학교수 (개),12,12,12,12
"서울 중구","교육",유치원 교원수 (명),97,97,100,98
"서울 중구","교육",유치원수 (개),13,14,14,14
"서울 중구","교육",유치원 원아수 (명),1176,1172,1123,1122
"서울 중구","교육",초등학교 학생수 (명),5474,5283,5226,5181
"서울 중구","교육",초등학교 교원수 (명),405,398,398,401
"서울 중구","주거와 교통",도시지역면적,9970000,9974292,9974292,9974292
"서울 중구","주거와 교통",토지거래면적 (천㎡),369,269,278,288
"서울 중구","주거와 교통",주택수 (호),38311,39512,40177,41754
"서울 중구","성장과 안정",친환경인증 농산물 출하량 (톤),2,-,4,1
"서울 중구","성장과 안정",종사자수 (명),-,386648,390530,-
"서울 중구","성장과 안정",서비스업사업체수 (개),-,48701,47311,-
"서울 중구","성장과 안정",제조업종사자수 (명),-,30475,29402,-
"서울 중구","성장과 안정",제조업사업체수 (개),-,9947,9369,-
"서울 중구","성장과 안정",운수업종사자수 (명),-,14172,14316,-
"서울 중구","성장과 안정",운수업사업체수 (개),-,1484,1547,-
"서울 중구","성장과 안정",도소매업종사자수 (명),-,97809,98606,-
"서울 중구","성장과 안정",도소매업사업체수 (개),-,32867,31547,-
"서울 중구","성장과 안정",사업체수 (개),-,62936,60957,-
"서울 중구","성장과 안정",가구수 (가구),55554,56239,57318,59440
"서울 중구","안전",화재발생건수 (건),210,198,275,213
"서울 중구","환경",폐수배출업소수 (개),433,484,367,-
"서울 중구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 중구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 중구","사회통합",건강보험 적용인구 현황,129925,130605,131246,-
"서울 중구","사회통합",인구십만명당 자살률 (십만명당),28.1,22.3,19.8,-
