"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 중랑구","인구",출생아수 (명),3085,2744,2446,2244
"서울 중랑구","인구",평균연령,42,43,43,44
"서울 중랑구","인구",사망자수 (명),2013,2068,2178,-
"서울 중랑구","인구",전출인구 (명),64823,59947,59616,55932
"서울 중랑구","인구",전입인구 (명),60566,56385,54168,49446
"서울 중랑구","인구",순이동인구 (명),-4257,-3562,-5448,-6486
"서울 중랑구","인구",주민등록인구 (명),411005,408226,403209,397015
"서울 중랑구","인구",등록외국인 현황 (명),4672,4554,4938,5009
"서울 중랑구","인구",합계출산율,0.995,0.906,0.825,0.777
"서울 중랑구","인구",인구총조사 인구,399317,396892,391668,386331
"서울 중랑구","가족",혼인건수 (건),2591,2302,2253,2031
"서울 중랑구","가족",조이혼율,2.3,2.4,2.3,2.4
"서울 중랑구","가족",조혼인율,6.4,5.7,5.6,5.2
"서울 중랑구","건강",스트레스 인지율 (%),33.1,31.8,32.8,26.8
"서울 중랑구","건강",비만율 (%),27.9,30.7,34.1,-
"서울 중랑구","건강",고위험음주율 (%),20.1,22.4,21.6,18.1
"서울 중랑구","건강",EQ-5D (점),0.954,0.950,0.957,0.954
"서울 중랑구","건강",흡연율 (%),22.5,24.1,22.9,20.9
"서울 중랑구","건강",주관적 건강수준인지율 (%),41.0,42.5,45.7,40.2
"서울 중랑구","건강",음주율 (%),65.0,66.8,64.0,60.7
"서울 중랑구","교육",학급당 학생수 (명),24.14,23.43,22.60,21.86
"서울 중랑구","교육",초등학교수 (개),23,23,23,23
"서울 중랑구","교육",유치원 교원수 (명),270,272,273,255
"서울 중랑구","교육",유치원수 (개),34,34,33,31
"서울 중랑구","교육",유치원 원아수 (명),3366,3365,3192,2947
"서울 중랑구","교육",초등학교 학생수 (명),15779,15419,15336,15176
"서울 중랑구","교육",초등학교 교원수 (명),1103,1087,1070,1071
"서울 중랑구","주거와 교통",도시지역면적,18530000,18531520,18531520,18531520
"서울 중랑구","주거와 교통",토지거래면적 (천㎡),662,658,556,542
"서울 중랑구","주거와 교통",주택수 (호),102387,103740,105691,107997
"서울 중랑구","성장과 안정",친환경인증 축산물 출하량 (톤),-,-,125,103
"서울 중랑구","성장과 안정",친환경인증 농산물 출하량 (톤),-,10,3,8
"서울 중랑구","성장과 안정",종사자수 (명),-,102758,103016,-
"서울 중랑구","성장과 안정",서비스업사업체수 (개),-,16242,16271,-
"서울 중랑구","성장과 안정",제조업종사자수 (명),-,16259,15250,-
"서울 중랑구","성장과 안정",제조업사업체수 (개),-,3578,3384,-
"서울 중랑구","성장과 안정",운수업종사자수 (명),-,13473,13092,-
"서울 중랑구","성장과 안정",운수업사업체수 (개),-,6412,6550,-
"서울 중랑구","성장과 안정",도소매업종사자수 (명),-,16124,16071,-
"서울 중랑구","성장과 안정",도소매업사업체수 (개),-,5416,5296,-
"서울 중랑구","성장과 안정",사업체수 (개),-,28045,28024,-
"서울 중랑구","성장과 안정",가구수 (가구),159920,161432,162039,163422
"서울 중랑구","안전",화재발생건수 (건),195,196,254,210
"서울 중랑구","환경",폐수배출업소수 (개),83,81,71,-
"서울 중랑구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 중랑구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 중랑구","사회통합",건강보험 적용인구 현황,396954,394547,388971,-
"서울 중랑구","사회통합",인구십만명당 자살률 (십만명당),26.8,26.0,25.8,-
