"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 강남구","인구",출생아수 (명),4122,3456,2940,2749
"서울 강남구","인구",평균연령,40,40,41,41
"서울 강남구","인구",사망자수 (명),1780,1756,1796,-
"서울 강남구","인구",전출인구 (명),108949,103367,106802,93716
"서울 강남구","인구",전입인구 (명),95358,90474,91611,95557
"서울 강남구","인구",순이동인구 (명),-13591,-12893,-15191,1841
"서울 강남구","인구",주민등록인구 (명),567115,556164,542364,545169
"서울 강남구","인구",등록외국인 현황 (명),5025,4888,5089,5040
"서울 강남구","인구",합계출산율,0.802,0.706,0.631,0.612
"서울 강남구","인구",인구총조사 인구,532469,522514,507810,509199
"서울 강남구","가족",혼인건수 (건),3032,2677,2519,2338
"서울 강남구","가족",조이혼율,1.5,1.5,1.4,1.5
"서울 강남구","가족",조혼인율,5.4,4.9,4.7,4.4
"서울 강남구","건강",스트레스 인지율 (%),33.7,26.7,32.5,30.0
"서울 강남구","건강",비만율 (%),20.9,23.1,24.1,-
"서울 강남구","건강",고위험음주율 (%),13.9,11.2,15.7,13.6
"서울 강남구","건강",EQ-5D (점),0.961,0.965,0.964,0.963
"서울 강남구","건강",흡연율 (%),17.4,17.5,19.9,15.8
"서울 강남구","건강",주관적 건강수준인지율 (%),54.3,56.3,42.8,48.0
"서울 강남구","건강",음주율 (%),64.4,65.3,65.2,64.4
"서울 강남구","교육",학급당 학생수 (명),28.06,27.30,26.07,25.45
"서울 강남구","교육",초등학교수 (개),33,33,33,33
"서울 강남구","교육",유치원 교원수 (명),347,334,336,313
"서울 강남구","교육",유치원수 (개),41,38,40,38
"서울 강남구","교육",유치원 원아수 (명),4318,4156,4026,3641
"서울 강남구","교육",초등학교 학생수 (명),24190,24371,24858,25484
"서울 강남구","교육",초등학교 교원수 (명),1573,1595,1610,1593
"서울 강남구","주거와 교통",도시지역면적,39550000,39497268,39497268,39497268
"서울 강남구","주거와 교통",토지거래면적 (천㎡),1339,1312,2593,906
"서울 강남구","주거와 교통",주택수 (호),176135,173282,171431,170444
"서울 강남구","성장과 안정",친환경인증 축산물 출하량 (톤),2933,462,2819,2743
"서울 강남구","성장과 안정",친환경인증 농산물 출하량 (톤),120,65,92,100
"서울 강남구","성장과 안정",종사자수 (명),-,679047,694136,-
"서울 강남구","성장과 안정",서비스업사업체수 (개),-,61740,60783,-
"서울 강남구","성장과 안정",제조업종사자수 (명),-,14910,14296,-
"서울 강남구","성장과 안정",제조업사업체수 (개),-,1707,1626,-
"서울 강남구","성장과 안정",운수업종사자수 (명),-,11093,11236,-
"서울 강남구","성장과 안정",운수업사업체수 (개),-,3092,3105,-
"서울 강남구","성장과 안정",도소매업종사자수 (명),-,133772,136778,-
"서울 강남구","성장과 안정",도소매업사업체수 (개),-,17274,16697,-
"서울 강남구","성장과 안정",사업체수 (개),-,72511,71373,-
"서울 강남구","성장과 안정",가구수 (가구),212128,210728,206323,209768
"서울 강남구","안전",화재발생건수 (건),589,502,436,456
"서울 강남구","환경",폐수배출업소수 (개),199,210,193,-
"서울 강남구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 강남구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 강남구","사회통합",건강보험 적용인구 현황,575744,566636,554210,-
"서울 강남구","사회통합",인구십만명당 자살률 (십만명당),21.8,18.0,22.0,-
