"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 강북구","인구",출생아수 (명),1965,1772,1344,1227
"서울 강북구","인구",평균연령,43,44,45,45
"서울 강북구","인구",사망자수 (명),1845,1873,1960,-
"서울 강북구","인구",전출인구 (명),48947,44809,45800,42622
"서울 강북구","인구",전입인구 (명),44791,42231,40941,38046
"서울 강북구","인구",순이동인구 (명),-4156,-2578,-4859,-4576
"서울 강북구","인구",주민등록인구 (명),327195,324479,319164,313954
"서울 강북구","인구",등록외국인 현황 (명),3509,3523,3751,3741
"서울 강북구","인구",합계출산율,0.878,0.825,0.647,0.617
"서울 강북구","인구",인구총조사 인구,316212,313698,309138,303871
"서울 강북구","가족",혼인건수 (건),1500,1436,1344,1260
"서울 강북구","가족",조이혼율,2.2,2.3,2.2,2.2
"서울 강북구","가족",조혼인율,4.6,4.5,4.3,4.1
"서울 강북구","건강",스트레스 인지율 (%),30.8,31.7,31.0,27.0
"서울 강북구","건강",비만율 (%),28.9,29.1,29.3,-
"서울 강북구","건강",고위험음주율 (%),19.2,21.2,20.8,22.4
"서울 강북구","건강",EQ-5D (점),0.950,0.943,0.951,0.939
"서울 강북구","건강",흡연율 (%),21.5,24.5,25.7,21.7
"서울 강북구","건강",주관적 건강수준인지율 (%),43.0,38.6,40.4,42.1
"서울 강북구","건강",음주율 (%),63.5,64.4,60.7,62.1
"서울 강북구","교육",학급당 학생수 (명),25.38,24.84,23.86,23.12
"서울 강북구","교육",초등학교수 (개),14,14,14,14
"서울 강북구","교육",유치원 교원수 (명),171,166,147,125
"서울 강북구","교육",유치원수 (개),24,23,23,21
"서울 강북구","교육",유치원 원아수 (명),2105,1887,1692,1376
"서울 강북구","교육",초등학교 학생수 (명),11225,10878,10654,10392
"서울 강북구","교육",초등학교 교원수 (명),761,729,736,708
"서울 강북구","주거와 교통",도시지역면적,23635959,23636019,23636019,23636019
"서울 강북구","주거와 교통",토지거래면적 (천㎡),501,457,964,423
"서울 강북구","주거와 교통",주택수 (호),93623,94526,95097,97070
"서울 강북구","성장과 안정",종사자수 (명),-,71752,72418,-
"서울 강북구","성장과 안정",서비스업사업체수 (개),-,12854,12898,-
"서울 강북구","성장과 안정",제조업종사자수 (명),-,6621,5903,-
"서울 강북구","성장과 안정",제조업사업체수 (개),-,1541,1444,-
"서울 강북구","성장과 안정",운수업종사자수 (명),-,6822,6625,-
"서울 강북구","성장과 안정",운수업사업체수 (개),-,3192,3218,-
"서울 강북구","성장과 안정",도소매업종사자수 (명),-,10768,10625,-
"서울 강북구","성장과 안정",도소매업사업체수 (개),-,3857,3768,-
"서울 강북구","성장과 안정",사업체수 (개),-,18928,18918,-
"서울 강북구","성장과 안정",가구수 (가구),127371,129204,129610,130161
"서울 강북구","안전",화재발생건수 (건),170,186,203,167
"서울 강북구","환경",폐수배출업소수 (개),59,68,55,-
"서울 강북구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 강북구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 강북구","사회통합",건강보험 적용인구 현황,310855,308930,303261,-
"서울 강북구","사회통합",인구십만명당 자살률 (십만명당),30.6,26.3,27.2,-
