"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 광진구","인구",출생아수 (명),2767,2347,2197,1957
"서울 광진구","인구",평균연령,40,41,41,42
"서울 광진구","인구",사망자수 (명),1344,1346,1512,-
"서울 광진구","인구",전출인구 (명),60446,56647,58774,57088
"서울 광진구","인구",전입인구 (명),55362,56010,55728,52191
"서울 광진구","인구",순이동인구 (명),-5084,-637,-3046,-4897
"서울 광진구","인구",주민등록인구 (명),357215,357703,355559,351350
"서울 광진구","인구",등록외국인 현황 (명),14889,14595,15504,15622
"서울 광진구","인구",합계출산율,0.867,0.749,0.713,0.652
"서울 광진구","인구",인구총조사 인구,363979,363934,362304,359766
"서울 광진구","가족",혼인건수 (건),2285,2082,2164,1893
"서울 광진구","가족",조이혼율,1.8,1.7,1.7,1.7
"서울 광진구","가족",조혼인율,6.5,5.9,6.2,5.4
"서울 광진구","건강",스트레스 인지율 (%),31.0,29.5,29.4,27.3
"서울 광진구","건강",비만율 (%),26.6,25.2,30.4,-
"서울 광진구","건강",고위험음주율 (%),17.4,13.7,17.0,18.9
"서울 광진구","건강",EQ-5D (점),0.949,0.951,0.952,0.954
"서울 광진구","건강",흡연율 (%),20.5,19.1,22.8,22.1
"서울 광진구","건강",주관적 건강수준인지율 (%),42.6,49.5,46.0,45.3
"서울 광진구","건강",음주율 (%),64.1,63.4,64.0,61.6
"서울 광진구","교육",학급당 학생수 (명),26.27,25.38,24.50,23.92
"서울 광진구","교육",초등학교수 (개),22,22,22,22
"서울 광진구","교육",유치원 교원수 (명),247,251,254,237
"서울 광진구","교육",유치원수 (개),36,36,36,33
"서울 광진구","교육",유치원 원아수 (명),3174,3139,3050,2753
"서울 광진구","교육",초등학교 학생수 (명),15327,15029,15016,14977
"서울 광진구","교육",초등학교 교원수 (명),1041,1034,1020,1018
"서울 광진구","주거와 교통",도시지역면적,17050000,17075115,17075115,17075115
"서울 광진구","주거와 교통",토지거래면적 (천㎡),486,503,568,457
"서울 광진구","주거와 교통",주택수 (호),82691,84316,85638,89132
"서울 광진구","성장과 안정",친환경인증 농산물 출하량 (톤),10,-,1,1
"서울 광진구","성장과 안정",종사자수 (명),-,125170,127879,-
"서울 광진구","성장과 안정",서비스업사업체수 (개),-,18597,18580,-
"서울 광진구","성장과 안정",제조업종사자수 (명),-,7616,7198,-
"서울 광진구","성장과 안정",제조업사업체수 (개),-,1853,1707,-
"서울 광진구","성장과 안정",운수업종사자수 (명),-,6133,5828,-
"서울 광진구","성장과 안정",운수업사업체수 (개),-,2518,2519,-
"서울 광진구","성장과 안정",도소매업종사자수 (명),-,19488,19023,-
"서울 광진구","성장과 안정",도소매업사업체수 (개),-,6103,5889,-
"서울 광진구","성장과 안정",사업체수 (개),-,24688,24535,-
"서울 광진구","성장과 안정",가구수 (가구),153844,155878,156764,158673
"서울 광진구","안전",화재발생건수 (건),215,200,203,195
"서울 광진구","환경",폐수배출업소수 (개),54,55,48,-
"서울 광진구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 광진구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 광진구","사회통합",건강보험 적용인구 현황,354561,355894,353629,-
"서울 광진구","사회통합",인구십만명당 자살률 (십만명당),15.6,20.2,22.2,-
