"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 동대문구","인구",출생아수 (명),2383,2117,1886,1884
"서울 동대문구","인구",평균연령,41,42,42,43
"서울 동대문구","인구",사망자수 (명),1921,1780,1895,-
"서울 동대문구","인구",전출인구 (명),55622,52733,57605,53660
"서울 동대문구","인구",전입인구 (명),49591,47899,54899,51660
"서울 동대문구","인구",순이동인구 (명),-6031,-4834,-2706,-2000
"서울 동대문구","인구",주민등록인구 (명),355069,350647,348052,346194
"서울 동대문구","인구",등록외국인 현황 (명),15243,15364,16286,16829
"서울 동대문구","인구",합계출산율,0.889,0.822,0.753,0.765
"서울 동대문구","인구",인구총조사 인구,359935,357380,358141,355094
"서울 동대문구","가족",혼인건수 (건),1796,1657,1747,1613
"서울 동대문구","가족",조이혼율,1.9,1.8,1.9,2.0
"서울 동대문구","가족",조혼인율,5.1,4.8,5.1,4.7
"서울 동대문구","건강",스트레스 인지율 (%),27.6,31.5,28.0,32.5
"서울 동대문구","건강",비만율 (%),27.0,26.8,29.4,-
"서울 동대문구","건강",고위험음주율 (%),17.9,22.3,19.8,26.9
"서울 동대문구","건강",EQ-5D (점),0.963,0.954,0.979,0.960
"서울 동대문구","건강",흡연율 (%),21.6,24.2,18.8,19.1
"서울 동대문구","건강",주관적 건강수준인지율 (%),45.8,41.9,35.8,39.4
"서울 동대문구","건강",음주율 (%),66.7,66.3,61.4,63.7
"서울 동대문구","교육",학급당 학생수 (명),24.75,24.13,22.81,22.14
"서울 동대문구","교육",초등학교수 (개),21,21,21,21
"서울 동대문구","교육",유치원 교원수 (명),262,262,271,264
"서울 동대문구","교육",유치원수 (개),32,32,33,31
"서울 동대문구","교육",유치원 원아수 (명),3388,3249,3162,3065
"서울 동대문구","교육",초등학교 학생수 (명),14212,13930,13721,13684
"서울 동대문구","교육",초등학교 교원수 (명),951,938,968,937
"서울 동대문구","주거와 교통",도시지역면적,14626119,14245433,14245433,14245433
"서울 동대문구","주거와 교통",토지거래면적 (천㎡),687,929,827,607
"서울 동대문구","주거와 교통",주택수 (호),96464,97891,100802,104821
"서울 동대문구","성장과 안정",친환경인증 농산물 출하량 (톤),2,1,1,45
"서울 동대문구","성장과 안정",종사자수 (명),-,142842,140748,-
"서울 동대문구","성장과 안정",서비스업사업체수 (개),-,23412,23135,-
"서울 동대문구","성장과 안정",제조업종사자수 (명),-,14237,13543,-
"서울 동대문구","성장과 안정",제조업사업체수 (개),-,3539,3297,-
"서울 동대문구","성장과 안정",운수업종사자수 (명),-,6889,6562,-
"서울 동대문구","성장과 안정",운수업사업체수 (개),-,3602,3617,-
"서울 동대문구","성장과 안정",도소매업종사자수 (명),-,31474,31318,-
"서울 동대문구","성장과 안정",도소매업사업체수 (개),-,11272,10923,-
"서울 동대문구","성장과 안정",사업체수 (개),-,32411,31878,-
"서울 동대문구","성장과 안정",가구수 (가구),152538,153187,155542,157662
"서울 동대문구","안전",화재발생건수 (건),236,200,203,195
"서울 동대문구","환경",폐수배출업소수 (개),71,69,64,-
"서울 동대문구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 동대문구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 동대문구","사회통합",건강보험 적용인구 현황,343968,340376,337963,-
"서울 동대문구","사회통합",인구십만명당 자살률 (십만명당),25.9,18.5,25.4,-
