"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 서초구","인구",출생아수 (명),3629,3039,2919,2512
"서울 서초구","인구",평균연령,40,40,41,41
"서울 서초구","인구",사망자수 (명),1480,1446,1435,-
"서울 서초구","인구",전출인구 (명),74319,76574,83489,67634
"서울 서초구","인구",전입인구 (명),71136,68680,74658,63335
"서울 서초구","인구",순이동인구 (명),-3183,-7894,-8831,-4299
"서울 서초구","인구",주민등록인구 (명),447192,441102,433951,430826
"서울 서초구","인구",등록외국인 현황 (명),4285,4299,4212,4281
"서울 서초구","인구",합계출산율,0.928,0.799,0.800,0.715
"서울 서초구","인구",인구총조사 인구,419682,414550,409491,404960
"서울 서초구","가족",혼인건수 (건),2676,2288,2234,2084
"서울 서초구","가족",조이혼율,1.3,1.3,1.4,1.5
"서울 서초구","가족",조혼인율,6.1,5.2,5.2,4.9
"서울 서초구","건강",스트레스 인지율 (%),31.1,29.3,34.1,28.3
"서울 서초구","건강",비만율 (%),21.6,24.3,24.1,-
"서울 서초구","건강",고위험음주율 (%),14.9,11.6,13.2,12.7
"서울 서초구","건강",EQ-5D (점),0.954,0.951,0.961,0.958
"서울 서초구","건강",흡연율 (%),18.6,16.2,16.3,13.3
"서울 서초구","건강",주관적 건강수준인지율 (%),50.3,52.4,54.6,61.7
"서울 서초구","건강",음주율 (%),65.7,62.4,62.8,57.4
"서울 서초구","교육",학급당 학생수 (명),27.98,27.43,26.46,25.60
"서울 서초구","교육",초등학교수 (개),24,24,24,24
"서울 서초구","교육",유치원 교원수 (명),217,238,231,223
"서울 서초구","교육",유치원수 (개),27,28,28,27
"서울 서초구","교육",유치원 원아수 (명),3044,3122,2916,2655
"서울 서초구","교육",초등학교 학생수 (명),22595,22939,23182,23064
"서울 서초구","교육",초등학교 교원수 (명),1323,1343,1369,1367
"서울 서초구","주거와 교통",도시지역면적,46899887,46899887,46899887,46899887
"서울 서초구","주거와 교통",토지거래면적 (천㎡),2083,1981,1658,1343
"서울 서초구","주거와 교통",주택수 (호),129491,128977,132040,131777
"서울 서초구","성장과 안정",친환경인증 농산물 출하량 (톤),7,9,8,14
"서울 서초구","성장과 안정",종사자수 (명),-,436763,438733,-
"서울 서초구","성장과 안정",서비스업사업체수 (개),-,39489,39728,-
"서울 서초구","성장과 안정",제조업종사자수 (명),-,5666,5431,-
"서울 서초구","성장과 안정",제조업사업체수 (개),-,1064,1075,-
"서울 서초구","성장과 안정",운수업종사자수 (명),-,8717,9020,-
"서울 서초구","성장과 안정",운수업사업체수 (개),-,1390,1566,-
"서울 서초구","성장과 안정",도소매업종사자수 (명),-,68309,67696,-
"서울 서초구","성장과 안정",도소매업사업체수 (개),-,12253,12079,-
"서울 서초구","성장과 안정",사업체수 (개),-,46207,46540,-
"서울 서초구","성장과 안정",가구수 (가구),157437,157978,157716,157635
"서울 서초구","안전",화재발생건수 (건),286,242,242,242
"서울 서초구","환경",폐수배출업소수 (개),167,172,167,-
"서울 서초구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 서초구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 서초구","사회통합",건강보험 적용인구 현황,453624,447994,440520,-
"서울 서초구","사회통합",인구십만명당 자살률 (십만명당),17.3,14.9,17.0,-
