"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 성북구","인구",출생아수 (명),3060,2631,2264,2147
"서울 성북구","인구",평균연령,41,41,42,42
"서울 성북구","인구",사망자수 (명),2139,2097,2215,-
"서울 성북구","인구",전출인구 (명),70396,68221,65477,61169
"서울 성북구","인구",전입인구 (명),60000,61285,57147,67841
"서울 성북구","인구",순이동인구 (명),-10396,-6936,-8330,6672
"서울 성북구","인구",주민등록인구 (명),450355,444055,435868,442650
"서울 성북구","인구",등록외국인 현황 (명),11262,11352,11819,12094
"서울 성북구","인구",합계출산율,0.909,0.818,0.737,0.707
"서울 성북구","인구",인구총조사 인구,451800,445417,438734,445327
"서울 성북구","가족",혼인건수 (건),2131,1917,1919,1880
"서울 성북구","가족",조이혼율,1.9,1.7,1.8,1.5
"서울 성북구","가족",조혼인율,4.8,4.4,4.4,4.4
"서울 성북구","건강",스트레스 인지율 (%),31.7,30.5,29.5,30.0
"서울 성북구","건강",비만율 (%),27.7,22.9,32.2,-
"서울 성북구","건강",고위험음주율 (%),18.3,19.4,22.2,15.4
"서울 성북구","건강",EQ-5D (점),0.939,0.946,0.947,0.939
"서울 성북구","건강",흡연율 (%),23.1,19.8,20.6,18.6
"서울 성북구","건강",주관적 건강수준인지율 (%),45.0,44.0,41.1,38.3
"서울 성북구","건강",음주율 (%),64.2,66.1,66.8,63.3
"서울 성북구","교육",학급당 학생수 (명),25.39,24.79,23.91,23.20
"서울 성북구","교육",초등학교수 (개),29,29,29,29
"서울 성북구","교육",유치원 교원수 (명),407,425,424,396
"서울 성북구","교육",유치원수 (개),52,52,50,49
"서울 성북구","교육",유치원 원아수 (명),5243,5094,4849,4535
"서울 성북구","교육",초등학교 학생수 (명),22467,21897,21564,21051
"서울 성북구","교육",초등학교 교원수 (명),1459,1399,1405,1391
"서울 성북구","주거와 교통",도시지역면적,24550000,24621422,24621422,24621422
"서울 성북구","주거와 교통",토지거래면적 (천㎡),852,804,776,816
"서울 성북구","주거와 교통",주택수 (호),128502,130766,129994,136437
"서울 성북구","성장과 안정",친환경인증 농산물 출하량 (톤),4,3,2,2
"서울 성북구","성장과 안정",종사자수 (명),-,108991,108201,-
"서울 성북구","성장과 안정",서비스업사업체수 (개),-,16464,16369,-
"서울 성북구","성장과 안정",제조업종사자수 (명),-,9199,8140,-
"서울 성북구","성장과 안정",제조업사업체수 (개),-,2424,2214,-
"서울 성북구","성장과 안정",운수업종사자수 (명),-,6708,6058,-
"서울 성북구","성장과 안정",운수업사업체수 (개),-,3520,3080,-
"서울 성북구","성장과 안정",도소매업종사자수 (명),-,15313,15159,-
"서울 성북구","성장과 안정",도소매업사업체수 (개),-,4927,4805,-
"서울 성북구","성장과 안정",사업체수 (개),-,24039,23287,-
"서울 성북구","성장과 안정",가구수 (가구),179278,178276,177489,182594
"서울 성북구","안전",화재발생건수 (건),194,183,215,191
"서울 성북구","환경",폐수배출업소수 (개),72,76,68,-
"서울 성북구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 성북구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 성북구","사회통합",건강보험 적용인구 현황,437023,431748,423885,-
"서울 성북구","사회통합",인구십만명당 자살률 (십만명당),23.3,21.9,24.8,-
