"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 양천구","인구",출생아수 (명),3334,2876,2387,2222
"서울 양천구","인구",평균연령,40,41,41,42
"서울 양천구","인구",사망자수 (명),1891,1805,1842,-
"서울 양천구","인구",전출인구 (명),74404,62729,62414,56733
"서울 양천구","인구",전입인구 (명),65385,54797,54579,50256
"서울 양천구","인구",순이동인구 (명),-9019,-7932,-7835,-6477
"서울 양천구","인구",주민등록인구 (명),477739,471154,464185,458165
"서울 양천구","인구",등록외국인 현황 (명),4106,3864,3960,4120
"서울 양천구","인구",합계출산율,1.008,0.898,0.771,0.742
"서울 양천구","인구",인구총조사 인구,460267,452111,445591,440354
"서울 양천구","가족",혼인건수 (건),2258,2021,1957,1705
"서울 양천구","가족",조이혼율,1.7,1.5,1.6,1.6
"서울 양천구","가족",조혼인율,4.7,4.3,4.2,3.7
"서울 양천구","건강",스트레스 인지율 (%),31.0,31.2,29.3,28.5
"서울 양천구","건강",비만율 (%),25.7,25.3,29.1,-
"서울 양천구","건강",고위험음주율 (%),15.0,19.8,15.8,14.4
"서울 양천구","건강",EQ-5D (점),0.958,0.957,0.955,0.959
"서울 양천구","건강",흡연율 (%),18.8,20.5,16.7,16.2
"서울 양천구","건강",주관적 건강수준인지율 (%),48.6,47.9,47.2,47.2
"서울 양천구","건강",음주율 (%),63.9,63.2,65.3,64.4
"서울 양천구","교육",학급당 학생수 (명),26.73,25.74,24.78,24.25
"서울 양천구","교육",초등학교수 (개),30,30,30,30
"서울 양천구","교육",유치원 교원수 (명),416,422,400,380
"서울 양천구","교육",유치원수 (개),49,50,47,43
"서울 양천구","교육",유치원 원아수 (명),5177,4972,4805,4469
"서울 양천구","교육",초등학교 학생수 (명),24825,24526,24481,24414
"서울 양천구","교육",초등학교 교원수 (명),1536,1540,1526,1533
"서울 양천구","주거와 교통",도시지역면적,17410000,17469613,17469613,17469613
"서울 양천구","주거와 교통",토지거래면적 (천㎡),843,554,532,494
"서울 양천구","주거와 교통",주택수 (호),137651,137056,137850,139938
"서울 양천구","성장과 안정",친환경인증 농산물 출하량 (톤),103,99,71,66
"서울 양천구","성장과 안정",종사자수 (명),-,119943,123311,-
"서울 양천구","성장과 안정",서비스업사업체수 (개),-,18133,18056,-
"서울 양천구","성장과 안정",제조업종사자수 (명),-,5294,4926,-
"서울 양천구","성장과 안정",제조업사업체수 (개),-,1190,1150,-
"서울 양천구","성장과 안정",운수업종사자수 (명),-,12935,12806,-
"서울 양천구","성장과 안정",운수업사업체수 (개),-,4894,5053,-
"서울 양천구","성장과 안정",도소매업종사자수 (명),-,17338,17547,-
"서울 양천구","성장과 안정",도소매업사업체수 (개),-,5432,5259,-
"서울 양천구","성장과 안정",사업체수 (개),-,26077,26126,-
"서울 양천구","성장과 안정",가구수 (가구),165412,164193,164048,165106
"서울 양천구","안전",화재발생건수 (건),229,244,219,163
"서울 양천구","환경",폐수배출업소수 (개),91,83,80,-
"서울 양천구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 양천구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 양천구","사회통합",건강보험 적용인구 현황,469776,463917,456520,-
"서울 양천구","사회통합",인구십만명당 자살률 (십만명당),19.3,17.9,18.6,-
