"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 영등포구","인구",출생아수 (명),3282,2805,2698,2633
"서울 영등포구","인구",평균연령,42,43,43,43
"서울 영등포구","인구",사망자수 (명),1643,1560,1659,-
"서울 영등포구","인구",전출인구 (명),71785,66039,62108,58253
"서울 영등포구","인구",전입인구 (명),61308,62622,59862,56874
"서울 영등포구","인구",순이동인구 (명),-10477,-3417,-2246,-1379
"서울 영등포구","인구",주민등록인구 (명),370613,368550,367778,367678
"서울 영등포구","인구",등록외국인 현황 (명),36166,33474,35822,33308
"서울 영등포구","인구",합계출산율,1.011,0.884,0.851,0.829
"서울 영등포구","인구",인구총조사 인구,398120,393560,395286,394083
"서울 영등포구","가족",혼인건수 (건),2609,2539,2664,2449
"서울 영등포구","가족",조이혼율,1.9,1.7,1.8,1.9
"서울 영등포구","가족",조혼인율,7.1,7.0,7.4,6.8
"서울 영등포구","건강",스트레스 인지율 (%),31.8,29.7,27.8,28.5
"서울 영등포구","건강",비만율 (%),24.4,26.5,29.2,-
"서울 영등포구","건강",고위험음주율 (%),12.2,18.4,16.8,16.3
"서울 영등포구","건강",EQ-5D (점),0.967,0.967,0.976,0.951
"서울 영등포구","건강",흡연율 (%),17.5,16.9,17.2,17.1
"서울 영등포구","건강",주관적 건강수준인지율 (%),52.1,54.0,50.8,44.6
"서울 영등포구","건강",음주율 (%),64.5,69.0,54.4,64.5
"서울 영등포구","교육",학급당 학생수 (명),23.83,22.71,22.30,21.56
"서울 영등포구","교육",초등학교수 (개),23,23,23,23
"서울 영등포구","교육",유치원 교원수 (명),327,308,306,281
"서울 영등포구","교육",유치원수 (개),42,42,42,39
"서울 영등포구","교육",유치원 원아수 (명),4017,3883,3707,3377
"서울 영등포구","교육",초등학교 학생수 (명),14449,13905,13881,13891
"서울 영등포구","교육",초등학교 교원수 (명),1099,1092,1081,1057
"서울 영등포구","주거와 교통",도시지역면적,24354829,24354829,24354830,24354830
"서울 영등포구","주거와 교통",토지거래면적 (천㎡),835,759,836,570
"서울 영등포구","주거와 교통",주택수 (호),97089,99225,99971,101603
"서울 영등포구","성장과 안정",친환경인증 농산물 출하량 (톤),2,2,-,-
"서울 영등포구","성장과 안정",종사자수 (명),-,362800,367557,-
"서울 영등포구","성장과 안정",서비스업사업체수 (개),-,31120,30652,-
"서울 영등포구","성장과 안정",제조업종사자수 (명),-,14084,13577,-
"서울 영등포구","성장과 안정",제조업사업체수 (개),-,4186,3957,-
"서울 영등포구","성장과 안정",운수업종사자수 (명),-,12233,11414,-
"서울 영등포구","성장과 안정",운수업사업체수 (개),-,4094,4164,-
"서울 영등포구","성장과 안정",도소매업종사자수 (명),-,51856,52863,-
"서울 영등포구","성장과 안정",도소매업사업체수 (개),-,11581,11068,-
"서울 영등포구","성장과 안정",사업체수 (개),-,43163,42589,-
"서울 영등포구","성장과 안정",가구수 (가구),161970,162626,166047,169700
"서울 영등포구","안전",화재발생건수 (건),280,239,258,265
"서울 영등포구","환경",폐수배출업소수 (개),217,232,232,-
"서울 영등포구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 영등포구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 영등포구","사회통합",건강보험 적용인구 현황,385897,385543,387807,-
"서울 영등포구","사회통합",인구십만명당 자살률 (십만명당),25.9,20.2,22.5,-
