"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 용산구","인구",출생아수 (명),1708,1464,1377,1314
"서울 용산구","인구",평균연령,42,42,42,43
"서울 용산구","인구",사망자수 (명),1137,1150,1203,-
"서울 용산구","인구",전출인구 (명),38615,36622,37801,35673
"서울 용산구","인구",전입인구 (명),34124,35154,37339,35099
"서울 용산구","인구",순이동인구 (명),-4491,-1468,-462,-574
"서울 용산구","인구",주민등록인구 (명),230241,229161,228999,228670
"서울 용산구","인구",등록외국인 현황 (명),14861,15283,16091,16515
"서울 용산구","인구",합계출산율,0.907,0.793,0.747,0.713
"서울 용산구","인구",인구총조사 인구,224993,223898,226938,227181
"서울 용산구","가족",혼인건수 (건),1366,1357,1400,1303
"서울 용산구","가족",조이혼율,2.0,1.8,1.8,1.7
"서울 용산구","가족",조혼인율,6.2,6.2,6.4,6.0
"서울 용산구","건강",스트레스 인지율 (%),30.1,21.8,20.0,16.3
"서울 용산구","건강",비만율 (%),23.1,25.7,24.0,-
"서울 용산구","건강",고위험음주율 (%),19.1,15.8,15.4,15.7
"서울 용산구","건강",EQ-5D (점),0.962,0.959,0.969,0.974
"서울 용산구","건강",흡연율 (%),21.6,21.6,18.8,12.1
"서울 용산구","건강",주관적 건강수준인지율 (%),55.1,55.5,55.1,59.9
"서울 용산구","건강",음주율 (%),58.3,58.8,61.3,59.1
"서울 용산구","교육",학급당 학생수 (명),23.94,23.24,22.28,21.43
"서울 용산구","교육",초등학교수 (개),15,15,15,15
"서울 용산구","교육",유치원 교원수 (명),138,141,136,115
"서울 용산구","교육",유치원수 (개),17,17,17,13
"서울 용산구","교육",유치원 원아수 (명),1779,1672,1574,1407
"서울 용산구","교육",초등학교 학생수 (명),7923,7624,7460,7273
"서울 용산구","교육",초등학교 교원수 (명),604,581,578,580
"서울 용산구","주거와 교통",도시지역면적,21870000,21898766,21870000,21870000
"서울 용산구","주거와 교통",토지거래면적 (천㎡),601,957,487,410
"서울 용산구","주거와 교통",주택수 (호),70868,71356,71680,72463
"서울 용산구","성장과 안정",친환경인증 농산물 출하량 (톤),4,6,2,4
"서울 용산구","성장과 안정",종사자수 (명),-,133260,141216,-
"서울 용산구","성장과 안정",서비스업사업체수 (개),-,17042,17286,-
"서울 용산구","성장과 안정",제조업종사자수 (명),-,3446,3181,-
"서울 용산구","성장과 안정",제조업사업체수 (개),-,1054,964,-
"서울 용산구","성장과 안정",운수업종사자수 (명),-,3919,3918,-
"서울 용산구","성장과 안정",운수업사업체수 (개),-,1367,1251,-
"서울 용산구","성장과 안정",도소매업종사자수 (명),-,27506,31093,-
"서울 용산구","성장과 안정",도소매업사업체수 (개),-,7258,7248,-
"서울 용산구","성장과 안정",사업체수 (개),-,20806,20813,-
"서울 용산구","성장과 안정",가구수 (가구),96097,96975,98580,99777
"서울 용산구","안전",화재발생건수 (건),197,167,211,238
"서울 용산구","환경",폐수배출업소수 (개),55,57,43,-
"서울 용산구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 용산구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 용산구","사회통합",건강보험 적용인구 현황,224902,224494,224489,-
"서울 용산구","사회통합",인구십만명당 자살률 (십만명당),23.9,23.7,23.3,-
