"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"서울 은평구","인구",출생아수 (명),3522,2930,2703,2407
"서울 은평구","인구",평균연령,42,42,43,44
"서울 은평구","인구",사망자수 (명),2474,2403,2504,-
"서울 은평구","인구",전출인구 (명),82925,73637,71519,72721
"서울 은평구","인구",전입인구 (명),74864,68402,67489,69399
"서울 은평구","인구",순이동인구 (명),-8061,-5235,-4030,-3322
"서울 은평구","인구",주민등록인구 (명),491476,486794,483197,480032
"서울 은평구","인구",등록외국인 현황 (명),4461,4408,4469,4514
"서울 은평구","인구",합계출산율,0.943,0.814,0.772,0.697
"서울 은평구","인구",인구총조사 인구,472242,466243,462552,461530
"서울 은평구","가족",혼인건수 (건),2573,2331,2364,2178
"서울 은평구","가족",조이혼율,1.9,1.9,1.9,1.9
"서울 은평구","가족",조혼인율,5.3,4.8,5.0,4.6
"서울 은평구","건강",스트레스 인지율 (%),26.8,22.0,22.9,28.3
"서울 은평구","건강",비만율 (%),27.3,27.5,33.6,-
"서울 은평구","건강",고위험음주율 (%),16.7,18.4,17.8,18.7
"서울 은평구","건강",EQ-5D (점),0.954,0.958,0.950,0.941
"서울 은평구","건강",흡연율 (%),21.8,22.0,23.3,16.0
"서울 은평구","건강",주관적 건강수준인지율 (%),43.7,45.7,38.6,38.9
"서울 은평구","건강",음주율 (%),61.2,62.3,60.8,59.0
"서울 은평구","교육",학급당 학생수 (명),25.36,24.47,24.00,23.05
"서울 은평구","교육",초등학교수 (개),30,30,30,31
"서울 은평구","교육",유치원 교원수 (명),350,349,306,298
"서울 은평구","교육",유치원수 (개),48,48,43,44
"서울 은평구","교육",유치원 원아수 (명),4586,4242,3939,3624
"서울 은평구","교육",초등학교 학생수 (명),23037,22409,22028,21613
"서울 은평구","교육",초등학교 교원수 (명),1491,1452,1428,1411
"서울 은평구","주거와 교통",도시지역면적,29793436,29788522,29788522,29788522
"서울 은평구","주거와 교통",토지거래면적 (천㎡),1205,1135,1092,851
"서울 은평구","주거와 교통",주택수 (호),142135,143727,144611,148557
"서울 은평구","성장과 안정",친환경인증 농산물 출하량 (톤),2,0,0,-
"서울 은평구","성장과 안정",종사자수 (명),-,88818,90049,-
"서울 은평구","성장과 안정",서비스업사업체수 (개),-,16966,17123,-
"서울 은평구","성장과 안정",제조업종사자수 (명),-,3266,3041,-
"서울 은평구","성장과 안정",제조업사업체수 (개),-,957,899,-
"서울 은평구","성장과 안정",운수업종사자수 (명),-,8482,8898,-
"서울 은평구","성장과 안정",운수업사업체수 (개),-,4990,5214,-
"서울 은평구","성장과 안정",도소매업종사자수 (명),-,15605,15264,-
"서울 은평구","성장과 안정",도소매업사업체수 (개),-,5121,4984,-
"서울 은평구","성장과 안정",사업체수 (개),-,24561,24873,-
"서울 은평구","성장과 안정",가구수 (가구),180698,181588,183289,186841
"서울 은평구","안전",화재발생건수 (건),217,159,214,196
"서울 은평구","환경",폐수배출업소수 (개),67,67,62,-
"서울 은평구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"서울 은평구","환경",상수도보급률 (%),100.0,100.0,-,-
"서울 은평구","사회통합",건강보험 적용인구 현황,472872,469182,465229,-
"서울 은평구","사회통합",인구십만명당 자살률 (십만명당),25.9,22.5,21.0,-
