"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 고양시","인구",출생아수 (명),7507,6681,5816,5538
"경기 고양시","인구",평균연령,40,41,41,42
"경기 고양시","인구",사망자수 (명),4495,4572,4755,-
"경기 고양시","인구",전출인구 (명),150716,139122,143834,144065
"경기 고양시","인구",전입인구 (명),158904,139002,144703,165154
"경기 고양시","인구",순이동인구 (명),8188,-120,869,21089
"경기 고양시","인구",주민등록인구 (명),1039684,1041983,1044189,1066351
"경기 고양시","인구",농가인구 (명),16838,16417,15476,15442
"경기 고양시","인구",등록외국인 현황 (명),12286,12253,12664,12508
"경기 고양시","인구",합계출산율,1.071,0.960,0.846,0.802
"경기 고양시","인구",인구총조사 인구,999098,1005102,1006992,1024645
"경기 고양시","가족",혼인건수 (건),4932,4730,4317,4440
"경기 고양시","가족",조이혼율,2.0,1.9,2.0,1.8
"경기 고양시","가족",조혼인율,4.8,4.6,4.2,4.2
"경기 고양시","건강",스트레스 인지율 (%),29.1,30.3,30.5,31.1
"경기 고양시","건강",비만율 (%),27.0,27.0,29.0,-
"경기 고양시","건강",고위험음주율 (%),17.1,16.3,16.1,15.3
"경기 고양시","건강",EQ-5D (점),0.959,0.955,0.961,0.959
"경기 고양시","건강",흡연율 (%),21.3,20.5,19.5,19.7
"경기 고양시","건강",주관적 건강수준인지율 (%),44.8,44.7,40.8,42.2
"경기 고양시","건강",음주율 (%),63.3,64.7,63.1,61.2
"경기 고양시","교육",학급당 학생수 (명),27.23,26.38,25.23,24.10
"경기 고양시","교육",초등학교수 (개),83,83,83,84
"경기 고양시","교육",유치원 교원수 (명),1083,1095,1101,1054
"경기 고양시","교육",유치원수 (개),174,175,175,171
"경기 고양시","교육",유치원 원아수 (명),15030,15028,14242,13049
"경기 고양시","교육",초등학교 학생수 (명),55090,54467,54797,54934
"경기 고양시","교육",초등학교 교원수 (명),3119,3138,3160,3238
"경기 고양시","소득과 소비",소비자물가 등락률 (%),1.1,2.3,1.4,0.1
"경기 고양시","주거와 교통",도시지역면적,191850023,191850023,193400919,194127720
"경기 고양시","주거와 교통",토지거래면적 (천㎡),8874,9265,8315,8723
"경기 고양시","주거와 교통",주택수 (호),299167,305178,314605,327782
"경기 고양시","성장과 안정",친환경인증 축산물 출하량 (톤),1126,822,996,1091
"경기 고양시","성장과 안정",친환경인증 농산물 출하량 (톤),3731,3039,2799,2927
"경기 고양시","성장과 안정",종사자수 (명),-,319434,332904,-
"경기 고양시","성장과 안정",농가수 (가구),5692,5528,5166,5179
"경기 고양시","성장과 안정",서비스업사업체수 (개),-,49397,50901,-
"경기 고양시","성장과 안정",제조업종사자수 (명),-,32476,32669,-
"경기 고양시","성장과 안정",제조업사업체수 (개),-,5751,5858,-
"경기 고양시","성장과 안정",운수업종사자수 (명),-,17992,19324,-
"경기 고양시","성장과 안정",운수업사업체수 (개),-,6451,7244,-
"경기 고양시","성장과 안정",도소매업종사자수 (명),-,63659,65854,-
"경기 고양시","성장과 안정",도소매업사업체수 (개),-,18032,18468,-
"경기 고양시","성장과 안정",사업체수 (개),-,66621,69255,-
"경기 고양시","성장과 안정",가구수 (가구),363388,370113,375860,390836
"경기 고양시","안전",화재발생건수 (건),558,565,546,524
"경기 고양시","환경",논경지면적 (헥타르),1534,1424,1320,1281
"경기 고양시","환경",하수도보급률 (%),92.1,92.8,93.8,-
"경기 고양시","환경",상수도보급률 (%),99.7,99.7,99.7,-
"경기 고양시","사회통합",건강보험 적용인구 현황,1027907,1032205,1034355,-
"경기 고양시","사회통합",인구십만명당 자살률 (십만명당),20.5,19.1,21.8,-
