"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 광명시","인구",출생아수 (명),2905,2374,2123,1827
"경기 광명시","인구",평균연령,40,40,41,42
"경기 광명시","인구",사망자수 (명),1413,1407,1427,-
"경기 광명시","인구",전출인구 (명),48965,50901,51980,49361
"경기 광명시","인구",전입인구 (명),41712,43201,45172,38523
"경기 광명시","인구",순이동인구 (명),-7253,-7700,-6808,-10838
"경기 광명시","인구",주민등록인구 (명),339484,332790,326841,316552
"경기 광명시","인구",농가인구 (명),1889,1925,1730,1647
"경기 광명시","인구",등록외국인 현황 (명),5919,5843,6273,5942
"경기 광명시","인구",합계출산율,1.126,0.978,0.925,0.840
"경기 광명시","인구",인구총조사 인구,334361,328253,323460,313462
"경기 광명시","가족",혼인건수 (건),1897,1722,1674,1489
"경기 광명시","가족",조이혼율,1.9,1.9,1.9,1.7
"경기 광명시","가족",조혼인율,5.6,5.2,5.1,4.7
"경기 광명시","건강",스트레스 인지율 (%),30.9,34.8,30.5,26.2
"경기 광명시","건강",비만율 (%),26.0,26.1,28.7,-
"경기 광명시","건강",고위험음주율 (%),16.4,20.8,16.8,18.3
"경기 광명시","건강",EQ-5D (점),0.959,0.963,0.965,0.972
"경기 광명시","건강",흡연율 (%),19.0,20.7,18.9,15.4
"경기 광명시","건강",주관적 건강수준인지율 (%),43.1,45.7,38.5,50.0
"경기 광명시","건강",음주율 (%),64.1,64.0,58.3,60.2
"경기 광명시","교육",학급당 학생수 (명),27.02,26.16,25.25,24.24
"경기 광명시","교육",초등학교수 (개),24,24,25,25
"경기 광명시","교육",유치원 교원수 (명),298,305,293,302
"경기 광명시","교육",유치원수 (개),51,51,50,48
"경기 광명시","교육",유치원 원아수 (명),4637,4274,3795,3435
"경기 광명시","교육",초등학교 학생수 (명),20192,19436,19063,18420
"경기 광명시","교육",초등학교 교원수 (명),1158,1152,1178,1163
"경기 광명시","주거와 교통",도시지역면적,38506473,38506472,38506472,38506473
"경기 광명시","주거와 교통",토지거래면적 (천㎡),1146,1377,2238,1324
"경기 광명시","주거와 교통",주택수 (호),103508,103564,104641,103740
"경기 광명시","성장과 안정",친환경인증 축산물 출하량 (톤),2,8,-,-
"경기 광명시","성장과 안정",친환경인증 농산물 출하량 (톤),13,8,21,8
"경기 광명시","성장과 안정",종사자수 (명),-,92010,94647,-
"경기 광명시","성장과 안정",농가수 (가구),655,627,591,578
"경기 광명시","성장과 안정",서비스업사업체수 (개),-,13552,13491,-
"경기 광명시","성장과 안정",제조업종사자수 (명),-,14550,15337,-
"경기 광명시","성장과 안정",제조업사업체수 (개),-,1793,1756,-
"경기 광명시","성장과 안정",운수업종사자수 (명),-,5689,5579,-
"경기 광명시","성장과 안정",운수업사업체수 (개),-,2320,2325,-
"경기 광명시","성장과 안정",도소매업종사자수 (명),-,17675,17751,-
"경기 광명시","성장과 안정",도소매업사업체수 (개),-,5040,4918,-
"경기 광명시","성장과 안정",사업체수 (개),-,19114,18990,-
"경기 광명시","성장과 안정",가구수 (가구),119951,120086,120765,118926
"경기 광명시","안전",화재발생건수 (건),234,147,177,148
"경기 광명시","환경",폐수배출업소수 (개),73,74,70,-
"경기 광명시","환경",논경지면적 (헥타르),139,131,125,113
"경기 광명시","환경",하수도보급률 (%),98.7,98.8,98.9,-
"경기 광명시","환경",상수도보급률 (%),100.0,100.0,99.9,-
"경기 광명시","사회통합",건강보험 적용인구 현황,336121,330561,325028,-
"경기 광명시","사회통합",인구십만명당 자살률 (십만명당),18.6,16.2,16.5,-
