"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 광주시","인구",출생아수 (명),3044,2842,2827,2662
"경기 광주시","인구",평균연령,39,40,40,41
"경기 광주시","인구",사망자수 (명),1303,1403,1537,-
"경기 광주시","인구",전출인구 (명),40652,40232,42087,42534
"경기 광주시","인구",전입인구 (명),53804,56822,58486,50192
"경기 광주시","인구",순이동인구 (명),13152,16590,16399,7658
"경기 광주시","인구",주민등록인구 (명),327723,345947,363782,372654
"경기 광주시","인구",농가인구 (명),11479,11064,10508,9406
"경기 광주시","인구",등록외국인 현황 (명),12114,12424,13037,12986
"경기 광주시","인구",합계출산율,1.323,1.187,1.127,1.043
"경기 광주시","인구",인구총조사 인구,322302,341046,364178,375238
"경기 광주시","가족",혼인건수 (건),2162,2173,2210,1931
"경기 광주시","가족",조이혼율,2.5,2.6,2.7,2.9
"경기 광주시","가족",조혼인율,6.8,6.5,6.3,5.3
"경기 광주시","건강",스트레스 인지율 (%),36.0,28.8,19.5,22.0
"경기 광주시","건강",비만율 (%),31.8,26.6,27.9,-
"경기 광주시","건강",고위험음주율 (%),18.4,21.4,21.7,23.3
"경기 광주시","건강",EQ-5D (점),0.948,0.966,0.970,0.968
"경기 광주시","건강",흡연율 (%),23.4,21.4,25.2,25.1
"경기 광주시","건강",주관적 건강수준인지율 (%),42.2,49.3,49.1,51.5
"경기 광주시","건강",음주율 (%),62.8,62.4,67.6,66.5
"경기 광주시","교육",학급당 학생수 (명),28.59,27.95,26.46,25.91
"경기 광주시","교육",초등학교수 (개),25,26,27,27
"경기 광주시","교육",유치원 교원수 (명),206,195,232,212
"경기 광주시","교육",유치원수 (개),38,39,41,42
"경기 광주시","교육",유치원 원아수 (명),2848,2734,2959,2550
"경기 광주시","교육",초등학교 학생수 (명),17042,17608,18814,19866
"경기 광주시","교육",초등학교 교원수 (명),907,946,1037,1067
"경기 광주시","주거와 교통",도시지역면적,172260533,172260533,172260533,172259487
"경기 광주시","주거와 교통",토지거래면적 (천㎡),16925,16984,16739,15241
"경기 광주시","주거와 교통",주택수 (호),97373,107996,120155,125545
"경기 광주시","성장과 안정",친환경인증 축산물 출하량 (톤),1920,5845,625,4194
"경기 광주시","성장과 안정",친환경인증 농산물 출하량 (톤),8671,7774,7512,6459
"경기 광주시","성장과 안정",종사자수 (명),-,133492,138040,-
"경기 광주시","성장과 안정",농가수 (가구),4104,3850,3720,3520
"경기 광주시","성장과 안정",서비스업사업체수 (개),-,15071,15646,-
"경기 광주시","성장과 안정",제조업종사자수 (명),-,49127,48720,-
"경기 광주시","성장과 안정",제조업사업체수 (개),-,6587,6587,-
"경기 광주시","성장과 안정",운수업종사자수 (명),-,9848,10543,-
"경기 광주시","성장과 안정",운수업사업체수 (개),-,3177,3354,-
"경기 광주시","성장과 안정",도소매업종사자수 (명),-,22932,24040,-
"경기 광주시","성장과 안정",도소매업사업체수 (개),-,5934,6083,-
"경기 광주시","성장과 안정",사업체수 (개),-,26597,27420,-
"경기 광주시","성장과 안정",가구수 (가구),116834,125090,135384,141279
"경기 광주시","안전",화재발생건수 (건),350,352,365,352
"경기 광주시","환경",폐수배출업소수 (개),338,345,307,-
"경기 광주시","환경",논경지면적 (헥타르),926,831,757,712
"경기 광주시","환경",하수도보급률 (%),94.3,94.3,94.5,-
"경기 광주시","환경",상수도보급률 (%),89.1,94.8,91.1,-
"경기 광주시","사회통합",건강보험 적용인구 현황,332503,351816,370226,-
"경기 광주시","사회통합",인구십만명당 자살률 (십만명당),21.1,23.3,26.7,-
