"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 구리시","인구",출생아수 (명),1340,1306,1318,1176
"경기 구리시","인구",평균연령,40,40,41,42
"경기 구리시","인구",사망자수 (명),783,793,904,-
"경기 구리시","인구",전출인구 (명),28671,25783,29009,27748
"경기 구리시","인구",전입인구 (명),34966,31572,32065,23107
"경기 구리시","인구",순이동인구 (명),6295,5789,3056,-4641
"경기 구리시","인구",주민등록인구 (명),193763,200042,203553,199265
"경기 구리시","인구",농가인구 (명),1734,1615,1371,1274
"경기 구리시","인구",등록외국인 현황 (명),1390,1417,1424,1490
"경기 구리시","인구",합계출산율,1.034,0.979,0.955,0.872
"경기 구리시","인구",인구총조사 인구,183905,189741,195868,192270
"경기 구리시","가족",혼인건수 (건),874,948,923,793
"경기 구리시","가족",조이혼율,2.0,1.7,1.9,2.0
"경기 구리시","가족",조혼인율,4.6,4.9,4.6,4.0
"경기 구리시","건강",스트레스 인지율 (%),30.5,25.5,26.5,24.8
"경기 구리시","건강",비만율 (%),25.8,25.5,31.2,-
"경기 구리시","건강",고위험음주율 (%),17.0,19.2,18.8,23.0
"경기 구리시","건강",EQ-5D (점),0.961,0.956,0.964,0.963
"경기 구리시","건강",흡연율 (%),20.6,18.4,18.7,17.7
"경기 구리시","건강",주관적 건강수준인지율 (%),56.0,52.1,51.4,50.8
"경기 구리시","건강",음주율 (%),64.4,62.0,61.0,61.0
"경기 구리시","교육",학급당 학생수 (명),27.79,26.56,25.71,24.75
"경기 구리시","교육",초등학교수 (개),15,16,16,16
"경기 구리시","교육",유치원 교원수 (명),182,201,192,183
"경기 구리시","교육",유치원수 (개),33,34,32,30
"경기 구리시","교육",유치원 원아수 (명),2567,2694,2493,2171
"경기 구리시","교육",초등학교 학생수 (명),9699,9780,10151,10213
"경기 구리시","교육",초등학교 교원수 (명),568,573,605,629
"경기 구리시","주거와 교통",도시지역면적,33292067,33292067,33292067,33292067
"경기 구리시","주거와 교통",토지거래면적 (천㎡),1010,1111,872,680
"경기 구리시","주거와 교통",주택수 (호),52511,55252,58785,58998
"경기 구리시","성장과 안정",친환경인증 농산물 출하량 (톤),747,16,1,1
"경기 구리시","성장과 안정",종사자수 (명),-,64560,66759,-
"경기 구리시","성장과 안정",농가수 (가구),562,528,508,484
"경기 구리시","성장과 안정",서비스업사업체수 (개),-,10635,11029,-
"경기 구리시","성장과 안정",제조업종사자수 (명),-,4207,4063,-
"경기 구리시","성장과 안정",제조업사업체수 (개),-,838,818,-
"경기 구리시","성장과 안정",운수업종사자수 (명),-,3791,4041,-
"경기 구리시","성장과 안정",운수업사업체수 (개),-,1636,1661,-
"경기 구리시","성장과 안정",도소매업종사자수 (명),-,13927,14422,-
"경기 구리시","성장과 안정",도소매업사업체수 (개),-,4146,4250,-
"경기 구리시","성장과 안정",사업체수 (개),-,14201,14648,-
"경기 구리시","성장과 안정",가구수 (가구),66610,69553,72501,72624
"경기 구리시","안전",화재발생건수 (건),151,120,125,108
"경기 구리시","환경",폐수배출업소수 (개),72,79,69,-
"경기 구리시","환경",논경지면적 (헥타르),0,0,0,0
"경기 구리시","환경",하수도보급률 (%),100.0,99.6,99.7,-
"경기 구리시","환경",상수도보급률 (%),99.9,99.9,99.9,-
"경기 구리시","사회통합",건강보험 적용인구 현황,189310,195608,199318,-
"경기 구리시","사회통합",인구십만명당 자살률 (십만명당),19.7,18.5,20.5,-
