"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 부천시","인구",출생아수 (명),6426,6059,5447,4747
"경기 부천시","인구",평균연령,40,41,41,42
"경기 부천시","인구",사망자수 (명),3619,3730,3916,-
"경기 부천시","인구",전출인구 (명),126617,118129,122125,103907
"경기 부천시","인구",전입인구 (명),125460,114426,113508,88659
"경기 부천시","인구",순이동인구 (명),-1157,-3703,-8617,-15248
"경기 부천시","인구",주민등록인구 (명),851380,850329,843768,829996
"경기 부천시","인구",농가인구 (명),2783,2734,2479,2383
"경기 부천시","인구",등록외국인 현황 (명),20405,21345,24338,25689
"경기 부천시","인구",합계출산율,1.019,0.977,0.896,0.807
"경기 부천시","인구",인구총조사 인구,844043,845514,848756,836751
"경기 부천시","가족",혼인건수 (건),4769,4459,4434,3646
"경기 부천시","가족",조이혼율,2.1,2.1,2.1,2.2
"경기 부천시","가족",조혼인율,5.7,5.3,5.3,4.4
"경기 부천시","건강",스트레스 인지율 (%),31.5,27.9,30.3,33.0
"경기 부천시","건강",비만율 (%),29.1,26.8,30.9,-
"경기 부천시","건강",고위험음주율 (%),19.2,21.7,20.4,18.9
"경기 부천시","건강",EQ-5D (점),0.956,0.955,0.961,0.950
"경기 부천시","건강",흡연율 (%),19.7,21.6,21.5,19.9
"경기 부천시","건강",주관적 건강수준인지율 (%),44.9,46.2,48.1,37.2
"경기 부천시","건강",음주율 (%),60.7,61.9,57.9,62.4
"경기 부천시","교육",학급당 학생수 (명),25.49,24.82,24.24,23.70
"경기 부천시","교육",초등학교수 (개),62,64,64,64
"경기 부천시","교육",유치원 교원수 (명),800,821,846,823
"경기 부천시","교육",유치원수 (개),124,126,126,124
"경기 부천시","교육",유치원 원아수 (명),11662,11651,10934,10081
"경기 부천시","교육",초등학교 학생수 (명),41012,40820,41572,41053
"경기 부천시","교육",초등학교 교원수 (명),2448,2504,2503,2486
"경기 부천시","소득과 소비",소비자물가 등락률 (%),1.0,2.2,1.2,0.5
"경기 부천시","주거와 교통",도시지역면적,53450000,53450000,53450000,53450000
"경기 부천시","주거와 교통",토지거래면적 (천㎡),2541,2704,2265,2013
"경기 부천시","주거와 교통",주택수 (호),254438,257849,265529,267622
"경기 부천시","성장과 안정",친환경인증 농산물 출하량 (톤),887,595,401,28
"경기 부천시","성장과 안정",종사자수 (명),-,291822,301024,-
"경기 부천시","성장과 안정",농가수 (가구),935,928,886,889
"경기 부천시","성장과 안정",서비스업사업체수 (개),-,39218,39927,-
"경기 부천시","성장과 안정",제조업종사자수 (명),-,71475,70185,-
"경기 부천시","성장과 안정",제조업사업체수 (개),-,10657,10501,-
"경기 부천시","성장과 안정",운수업종사자수 (명),-,11039,11041,-
"경기 부천시","성장과 안정",운수업사업체수 (개),-,5967,5672,-
"경기 부천시","성장과 안정",도소매업종사자수 (명),-,42122,42966,-
"경기 부천시","성장과 안정",도소매업사업체수 (개),-,13196,13358,-
"경기 부천시","성장과 안정",사업체수 (개),-,60076,60413,-
"경기 부천시","성장과 안정",가구수 (가구),313624,318135,323631,324811
"경기 부천시","안전",화재발생건수 (건),376,336,441,377
"경기 부천시","환경",폐수배출업소수 (개),760,802,162,-
"경기 부천시","환경",논경지면적 (헥타르),286,276,266,246
"경기 부천시","환경",하수도보급률 (%),99.9,99.9,99.9,-
"경기 부천시","환경",상수도보급률 (%),100.0,100.0,100.0,-
"경기 부천시","사회통합",건강보험 적용인구 현황,846794,848285,844379,-
"경기 부천시","사회통합",인구십만명당 자살률 (십만명당),23.5,21.2,23.2,-
