"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 성남시","인구",출생아수 (명),8312,7368,6453,5808
"경기 성남시","인구",평균연령,40,41,41,42
"경기 성남시","인구",사망자수 (명),4184,4174,4324,-
"경기 성남시","인구",전출인구 (명),176472,168067,152445,139949
"경기 성남시","인구",전입인구 (명),174390,157557,136911,126568
"경기 성남시","인구",순이동인구 (명),-2082,-10510,-15534,-13381
"경기 성남시","인구",주민등록인구 (명),974580,967510,954347,942724
"경기 성남시","인구",농가인구 (명),2769,2924,2581,2293
"경기 성남시","인구",등록외국인 현황 (명),17579,16936,17933,17618
"경기 성남시","인구",합계출산율,1.110,1.005,0.910,0.852
"경기 성남시","인구",인구총조사 인구,951518,944297,931393,919895
"경기 성남시","가족",혼인건수 (건),6050,5162,5228,4453
"경기 성남시","가족",조이혼율,1.9,1.9,1.9,1.9
"경기 성남시","가족",조혼인율,6.3,5.4,5.5,4.8
"경기 성남시","건강",스트레스 인지율 (%),31.2,32.5,29.4,26.5
"경기 성남시","건강",비만율 (%),24.7,24.7,26.7,-
"경기 성남시","건강",고위험음주율 (%),17.0,18.9,14.8,18.2
"경기 성남시","건강",EQ-5D (점),0.951,0.952,0.958,0.957
"경기 성남시","건강",흡연율 (%),20.8,19.6,19.2,18.4
"경기 성남시","건강",주관적 건강수준인지율 (%),44.6,43.7,45.2,46.1
"경기 성남시","건강",음주율 (%),62.3,66.5,65.9,61.7
"경기 성남시","교육",학급당 학생수 (명),26.60,26.12,25.12,24.49
"경기 성남시","교육",초등학교수 (개),71,72,72,72
"경기 성남시","교육",유치원 교원수 (명),913,918,913,868
"경기 성남시","교육",유치원수 (개),131,131,133,127
"경기 성남시","교육",유치원 원아수 (명),11509,11118,10848,9843
"경기 성남시","교육",초등학교 학생수 (명),47233,47213,47386,46942
"경기 성남시","교육",초등학교 교원수 (명),2880,2912,2924,2876
"경기 성남시","소득과 소비",소비자물가 등락률 (%),0.9,1.9,1.6,0.6
"경기 성남시","주거와 교통",도시지역면적,141820897,141820897,141820897,141820898
"경기 성남시","주거와 교통",토지거래면적 (천㎡),6219,5769,7018,9835
"경기 성남시","주거와 교통",주택수 (호),252344,257047,255925,257377
"경기 성남시","성장과 안정",친환경인증 농산물 출하량 (톤),1919,823,740,503
"경기 성남시","성장과 안정",종사자수 (명),-,448808,462083,-
"경기 성남시","성장과 안정",농가수 (가구),962,1057,924,814
"경기 성남시","성장과 안정",서비스업사업체수 (개),-,49223,50306,-
"경기 성남시","성장과 안정",제조업종사자수 (명),-,39519,39467,-
"경기 성남시","성장과 안정",제조업사업체수 (개),-,4248,4164,-
"경기 성남시","성장과 안정",운수업종사자수 (명),-,15336,15141,-
"경기 성남시","성장과 안정",운수업사업체수 (개),-,5802,5950,-
"경기 성남시","성장과 안정",도소매업종사자수 (명),-,67742,73763,-
"경기 성남시","성장과 안정",도소매업사업체수 (개),-,16166,16348,-
"경기 성남시","성장과 안정",사업체수 (개),-,64188,65511,-
"경기 성남시","성장과 안정",가구수 (가구),368992,369366,369346,371437
"경기 성남시","안전",화재발생건수 (건),471,489,491,473
"경기 성남시","환경",논경지면적 (헥타르),54,47,36,34
"경기 성남시","환경",하수도보급률 (%),99.6,99.6,99.7,-
"경기 성남시","환경",상수도보급률 (%),99.9,99.9,100.0,-
"경기 성남시","사회통합",건강보험 적용인구 현황,966022,960704,947723,-
"경기 성남시","사회통합",인구십만명당 자살률 (십만명당),22.5,23.8,25.7,-
