"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 수원시","인구",출생아수 (명),10940,9497,8832,7791
"경기 수원시","인구",평균연령,38,39,39,40
"경기 수원시","인구",사망자수 (명),4495,4644,4993,-
"경기 수원시","인구",전출인구 (명),169975,173747,193564,184404
"경기 수원시","인구",전입인구 (명),172210,177059,187806,173336
"경기 수원시","인구",순이동인구 (명),2235,3312,-5758,-11068
"경기 수원시","인구",주민등록인구 (명),1194041,1202628,1201166,1194465
"경기 수원시","인구",농가인구 (명),9428,9036,8412,8213
"경기 수원시","인구",등록외국인 현황 (명),37183,37852,41046,40557
"경기 수원시","인구",합계출산율,1.190,1.044,0.985,0.890
"경기 수원시","인구",인구총조사 인구,1207032,1216996,1218843,1214986
"경기 수원시","가족",혼인건수 (건),7765,7112,6902,6026
"경기 수원시","가족",조이혼율,1.9,2.0,1.9,2.0
"경기 수원시","가족",조혼인율,6.6,6.0,5.8,5.1
"경기 수원시","건강",스트레스 인지율 (%),28.4,30.5,27.7,29.1
"경기 수원시","건강",비만율 (%),27.3,28.6,30.8,-
"경기 수원시","건강",고위험음주율 (%),17.9,16.8,17.7,15.1
"경기 수원시","건강",EQ-5D (점),0.955,0.957,0.966,0.960
"경기 수원시","건강",흡연율 (%),21.8,20.0,20.8,19.8
"경기 수원시","건강",주관적 건강수준인지율 (%),42.7,43.8,37.8,38.8
"경기 수원시","건강",음주율 (%),64.3,63.4,65.0,62.9
"경기 수원시","교육",학급당 학생수 (명),27.12,26.50,26.08,25.16
"경기 수원시","교육",초등학교수 (개),97,97,97,99
"경기 수원시","교육",유치원 교원수 (명),1486,1465,1496,1444
"경기 수원시","교육",유치원수 (개),196,197,195,192
"경기 수원시","교육",유치원 원아수 (명),21223,20801,20185,18404
"경기 수원시","교육",초등학교 학생수 (명),68571,68095,69067,69546
"경기 수원시","교육",초등학교 교원수 (명),3998,3985,3953,4065
"경기 수원시","소득과 소비",소비자물가 등락률 (%),0.7,1.9,1.5,0.3
"경기 수원시","주거와 교통",도시지역면적,121138690,121138690,121138690,121182030
"경기 수원시","주거와 교통",토지거래면적 (천㎡),4735,4611,4293,7856
"경기 수원시","주거와 교통",주택수 (호),339319,350148,365222,371665
"경기 수원시","성장과 안정",친환경인증 축산물 출하량 (톤),800,419,433,306
"경기 수원시","성장과 안정",친환경인증 농산물 출하량 (톤),461,253,231,204
"경기 수원시","성장과 안정",종사자수 (명),-,423649,449540,-
"경기 수원시","성장과 안정",농가수 (가구),2939,2825,2702,2688
"경기 수원시","성장과 안정",서비스업사업체수 (개),-,54752,55804,-
"경기 수원시","성장과 안정",제조업종사자수 (명),-,42643,47932,-
"경기 수원시","성장과 안정",제조업사업체수 (개),-,3900,3892,-
"경기 수원시","성장과 안정",운수업종사자수 (명),-,18536,18589,-
"경기 수원시","성장과 안정",운수업사업체수 (개),-,7306,7715,-
"경기 수원시","성장과 안정",도소매업종사자수 (명),-,57152,58530,-
"경기 수원시","성장과 안정",도소매업사업체수 (개),-,17131,17186,-
"경기 수원시","성장과 안정",사업체수 (개),-,71898,73441,-
"경기 수원시","성장과 안정",가구수 (가구),454982,465209,472239,479379
"경기 수원시","안전",화재발생건수 (건),428,402,370,454
"경기 수원시","환경",논경지면적 (헥타르),495,475,448,448
"경기 수원시","환경",하수도보급률 (%),99.0,99.3,99.4,-
"경기 수원시","환경",상수도보급률 (%),100.0,100.0,100.0,-
"경기 수원시","사회통합",건강보험 적용인구 현황,1196110,1208337,1209139,-
"경기 수원시","사회통합",인구십만명당 자살률 (십만명당),22.8,20.8,22.2,-
