"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 시흥시","인구",출생아수 (명),3069,2812,3185,3309
"경기 시흥시","인구",평균연령,38,38,39,39
"경기 시흥시","인구",사망자수 (명),1496,1534,1658,-
"경기 시흥시","인구",전출인구 (명),54250,54292,59962,62348
"경기 시흥시","인구",전입인구 (명),56984,69581,87150,85404
"경기 시흥시","인구",순이동인구 (명),2734,15289,27188,23056
"경기 시흥시","인구",주민등록인구 (명),402888,419664,448687,473682
"경기 시흥시","인구",농가인구 (명),4940,4868,4643,4524
"경기 시흥시","인구",등록외국인 현황 (명),31299,32031,34640,34697
"경기 시흥시","인구",합계출산율,1.202,1.083,1.140,1.081
"경기 시흥시","인구",인구총조사 인구,429321,446369,480201,508749
"경기 시흥시","가족",혼인건수 (건),2195,2303,2582,2596
"경기 시흥시","가족",조이혼율,2.8,2.6,2.7,2.7
"경기 시흥시","가족",조혼인율,5.5,5.7,6.0,5.7
"경기 시흥시","건강",스트레스 인지율 (%),33.2,31.6,23.6,31.7
"경기 시흥시","건강",비만율 (%),28.6,28.9,32.5,-
"경기 시흥시","건강",고위험음주율 (%),20.0,20.7,16.7,18.7
"경기 시흥시","건강",EQ-5D (점),0.943,0.941,0.960,0.949
"경기 시흥시","건강",흡연율 (%),24.3,24.0,20.8,23.5
"경기 시흥시","건강",주관적 건강수준인지율 (%),39.0,39.2,45.5,39.6
"경기 시흥시","건강",음주율 (%),62.7,63.2,58.6,61.3
"경기 시흥시","교육",학급당 학생수 (명),26.56,25.90,25.17,24.78
"경기 시흥시","교육",초등학교수 (개),38,40,44,46
"경기 시흥시","교육",유치원 교원수 (명),352,388,410,443
"경기 시흥시","교육",유치원수 (개),63,67,72,74
"경기 시흥시","교육",유치원 원아수 (명),5273,5461,5821,6022
"경기 시흥시","교육",초등학교 학생수 (명),24816,25140,27185,29619
"경기 시흥시","교육",초등학교 교원수 (명),1490,1524,1653,1768
"경기 시흥시","주거와 교통",도시지역면적,133974164,135056862,135059861,135056862
"경기 시흥시","주거와 교통",토지거래면적 (천㎡),8057,13895,6645,6907
"경기 시흥시","주거와 교통",주택수 (호),121689,130097,147295,164258
"경기 시흥시","성장과 안정",친환경인증 축산물 출하량 (톤),1,2,-,-
"경기 시흥시","성장과 안정",친환경인증 농산물 출하량 (톤),134,401,620,743
"경기 시흥시","성장과 안정",종사자수 (명),-,195655,202629,-
"경기 시흥시","성장과 안정",농가수 (가구),1691,1703,1646,1652
"경기 시흥시","성장과 안정",서비스업사업체수 (개),-,22076,23317,-
"경기 시흥시","성장과 안정",제조업종사자수 (명),-,92131,92375,-
"경기 시흥시","성장과 안정",제조업사업체수 (개),-,12128,12194,-
"경기 시흥시","성장과 안정",운수업종사자수 (명),-,7211,7623,-
"경기 시흥시","성장과 안정",운수업사업체수 (개),-,3529,3769,-
"경기 시흥시","성장과 안정",도소매업종사자수 (명),-,27228,28272,-
"경기 시흥시","성장과 안정",도소매업사업체수 (개),-,8873,9153,-
"경기 시흥시","성장과 안정",사업체수 (개),-,39810,41471,-
"경기 시흥시","성장과 안정",가구수 (가구),161330,169630,184106,198515
"경기 시흥시","안전",화재발생건수 (건),424,435,430,393
"경기 시흥시","환경",폐수배출업소수 (개),769,465,455,-
"경기 시흥시","환경",논경지면적 (헥타르),1001,953,870,851
"경기 시흥시","환경",하수도보급률 (%),93.9,94.1,94.6,-
"경기 시흥시","환경",상수도보급률 (%),99.9,99.9,99.9,-
"경기 시흥시","사회통합",건강보험 적용인구 현황,416987,436348,467797,-
"경기 시흥시","사회통합",인구십만명당 자살률 (십만명당),24.4,26.7,27.4,-
