"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 안산시","인구",출생아수 (명),5131,4381,3747,3621
"경기 안산시","인구",평균연령,39,39,40,41
"경기 안산시","인구",사망자수 (명),2703,2790,2960,-
"경기 안산시","인구",전출인구 (명),104617,92991,104222,97273
"경기 안산시","인구",전입인구 (명),93537,78735,85590,86724
"경기 안산시","인구",순이동인구 (명),-11080,-14256,-18632,-10549
"경기 안산시","인구",주민등록인구 (명),689859,677710,660343,650918
"경기 안산시","인구",농가인구 (명),5283,5097,4721,4449
"경기 안산시","인구",등록외국인 현황 (명),54497,53733,56787,56467
"경기 안산시","인구",합계출산율,1.106,0.983,0.879,0.887
"경기 안산시","인구",인구총조사 인구,743072,733661,720105,714650
"경기 안산시","가족",혼인건수 (건),3944,3517,3589,3332
"경기 안산시","가족",조이혼율,2.9,2.8,2.8,2.9
"경기 안산시","가족",조혼인율,5.7,5.2,5.4,5.1
"경기 안산시","건강",스트레스 인지율 (%),32.9,32.1,30.8,30.1
"경기 안산시","건강",비만율 (%),30.3,30.6,33.6,-
"경기 안산시","건강",고위험음주율 (%),19.6,23.1,22.0,21.8
"경기 안산시","건강",EQ-5D (점),0.941,0.944,0.947,0.947
"경기 안산시","건강",흡연율 (%),25.3,24.9,24.3,24.4
"경기 안산시","건강",주관적 건강수준인지율 (%),38.6,41.9,31.6,32.8
"경기 안산시","건강",음주율 (%),60.2,64.9,61.1,62.1
"경기 안산시","교육",학급당 학생수 (명),26.57,25.78,24.80,23.85
"경기 안산시","교육",초등학교수 (개),54,54,54,54
"경기 안산시","교육",유치원 교원수 (명),683,695,658,578
"경기 안산시","교육",유치원수 (개),100,98,98,94
"경기 안산시","교육",유치원 원아수 (명),9753,9045,8336,7360
"경기 안산시","교육",초등학교 학생수 (명),38137,36926,35622,34954
"경기 안산시","교육",초등학교 교원수 (명),2217,2160,2120,2079
"경기 안산시","소득과 소비",소비자물가 등락률 (%),1.1,1.8,1.4,0.6
"경기 안산시","주거와 교통",도시지역면적,149643348,149656734,151472341,151472339
"경기 안산시","주거와 교통",토지거래면적 (천㎡),8308,7611,6056,5303
"경기 안산시","주거와 교통",주택수 (호),195684,196205,200334,207974
"경기 안산시","성장과 안정",친환경인증 축산물 출하량 (톤),18,17,37,20
"경기 안산시","성장과 안정",친환경인증 농산물 출하량 (톤),30,39,58,59
"경기 안산시","성장과 안정",종사자수 (명),-,319232,321582,-
"경기 안산시","성장과 안정",농가수 (가구),1943,1886,1804,1759
"경기 안산시","성장과 안정",서비스업사업체수 (개),-,34105,34462,-
"경기 안산시","성장과 안정",제조업종사자수 (명),-,128838,125877,-
"경기 안산시","성장과 안정",제조업사업체수 (개),-,9265,9421,-
"경기 안산시","성장과 안정",운수업종사자수 (명),-,12728,13357,-
"경기 안산시","성장과 안정",운수업사업체수 (개),-,6130,6308,-
"경기 안산시","성장과 안정",도소매업종사자수 (명),-,36219,36732,-
"경기 안산시","성장과 안정",도소매업사업체수 (개),-,11598,11593,-
"경기 안산시","성장과 안정",사업체수 (개),-,53403,54193,-
"경기 안산시","성장과 안정",가구수 (가구),283154,282608,280700,283124
"경기 안산시","안전",화재발생건수 (건),433,446,477,484
"경기 안산시","환경",논경지면적 (헥타르),723,709,698,654
"경기 안산시","환경",하수도보급률 (%),98.9,99.1,99.1,-
"경기 안산시","환경",상수도보급률 (%),99.9,99.9,99.9,-
"경기 안산시","사회통합",건강보험 적용인구 현황,705589,693450,682102,-
"경기 안산시","사회통합",인구십만명당 자살률 (십만명당),29.2,26.7,25.7,-
