"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 안양시","인구",출생아수 (명),4776,4125,4066,3830
"경기 안양시","인구",평균연령,40,41,41,42
"경기 안양시","인구",사망자수 (명),2340,2380,2374,-
"경기 안양시","인구",전출인구 (명),99367,96305,86366,83715
"경기 안양시","인구",전입인구 (명),96112,84779,73467,72368
"경기 안양시","인구",순이동인구 (명),-3255,-11526,-12899,-11347
"경기 안양시","인구",주민등록인구 (명),597414,587764,576831,567044
"경기 안양시","인구",농가인구 (명),1780,1722,1642,1724
"경기 안양시","인구",등록외국인 현황 (명),7238,6933,7408,7420
"경기 안양시","인구",합계출산율,1.112,0.985,1.006,0.980
"경기 안양시","인구",인구총조사 인구,582049,576697,566574,557339
"경기 안양시","가족",혼인건수 (건),3308,3158,2935,2693
"경기 안양시","가족",조이혼율,1.7,1.7,1.7,1.7
"경기 안양시","가족",조혼인율,5.6,5.4,5.1,4.8
"경기 안양시","건강",스트레스 인지율 (%),29.1,29.1,27.2,27.7
"경기 안양시","건강",비만율 (%),27.8,27.0,32.8,-
"경기 안양시","건강",고위험음주율 (%),18.8,15.8,16.5,14.8
"경기 안양시","건강",EQ-5D (점),0.960,0.961,0.964,0.953
"경기 안양시","건강",흡연율 (%),21.3,17.4,19.5,17.3
"경기 안양시","건강",주관적 건강수준인지율 (%),42.6,43.6,40.2,37.8
"경기 안양시","건강",음주율 (%),63.5,65.4,63.6,62.8
"경기 안양시","교육",학급당 학생수 (명),26.97,26.19,25.41,24.62
"경기 안양시","교육",초등학교수 (개),41,41,41,41
"경기 안양시","교육",유치원 교원수 (명),558,535,528,510
"경기 안양시","교육",유치원수 (개),87,83,82,79
"경기 안양시","교육",유치원 원아수 (명),7316,7048,6474,5974
"경기 안양시","교육",초등학교 학생수 (명),30053,29890,29276,28467
"경기 안양시","교육",초등학교 교원수 (명),1712,1699,1667,1638
"경기 안양시","소득과 소비",소비자물가 등락률 (%),0.8,2.0,1.3,0.7
"경기 안양시","주거와 교통",도시지역면적,58457915,58480054,58480054,58480054
"경기 안양시","주거와 교통",토지거래면적 (천㎡),2812,1676,1734,2230
"경기 안양시","주거와 교통",주택수 (호),175355,178175,177651,178130
"경기 안양시","성장과 안정",친환경인증 축산물 출하량 (톤),39,47,1,125
"경기 안양시","성장과 안정",친환경인증 농산물 출하량 (톤),36,28,23,29
"경기 안양시","성장과 안정",종사자수 (명),-,251051,255402,-
"경기 안양시","성장과 안정",농가수 (가구),577,551,542,533
"경기 안양시","성장과 안정",서비스업사업체수 (개),-,32600,32887,-
"경기 안양시","성장과 안정",제조업종사자수 (명),-,35152,34588,-
"경기 안양시","성장과 안정",제조업사업체수 (개),-,4005,3887,-
"경기 안양시","성장과 안정",운수업종사자수 (명),-,11429,11174,-
"경기 안양시","성장과 안정",운수업사업체수 (개),-,4334,4082,-
"경기 안양시","성장과 안정",도소매업종사자수 (명),-,39521,39786,-
"경기 안양시","성장과 안정",도소매업사업체수 (개),-,11858,11817,-
"경기 안양시","성장과 안정",사업체수 (개),-,44814,44824,-
"경기 안양시","성장과 안정",가구수 (가구),209564,209878,209134,209927
"경기 안양시","안전",화재발생건수 (건),334,281,287,304
"경기 안양시","환경",논경지면적 (헥타르),0,0,0,0
"경기 안양시","환경",하수도보급률 (%),100.0,100.0,100.0,-
"경기 안양시","환경",상수도보급률 (%),100.0,100.0,100.0,-
"경기 안양시","사회통합",건강보험 적용인구 현황,592621,584483,574033,-
"경기 안양시","사회통합",인구십만명당 자살률 (십만명당),22.5,20.6,21.5,-
