"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 연천군","인구",출생아수 (명),403,338,329,275
"경기 연천군","인구",평균연령,46,46,47,48
"경기 연천군","인구",사망자수 (명),447,449,455,-
"경기 연천군","인구",전출인구 (명),5916,5735,5782,5477
"경기 연천군","인구",전입인구 (명),6135,5361,5093,4840
"경기 연천군","인구",순이동인구 (명),219,-374,-689,-637
"경기 연천군","인구",주민등록인구 (명),45907,45431,44633,43824
"경기 연천군","인구",농가인구 (명),7668,7731,7415,7125
"경기 연천군","인구",등록외국인 현황 (명),979,976,973,1015
"경기 연천군","인구",합계출산율,1.863,1.590,1.613,1.413
"경기 연천군","인구",인구총조사 인구,44437,43990,43383,42540
"경기 연천군","가족",혼인건수 (건),230,248,269,214
"경기 연천군","가족",조이혼율,2.5,2.4,2.0,1.9
"경기 연천군","가족",조혼인율,5.1,5.5,6.0,4.9
"경기 연천군","건강",스트레스 인지율 (%),27.1,19.7,17.2,17.6
"경기 연천군","건강",비만율 (%),28.7,29.2,33.2,-
"경기 연천군","건강",고위험음주율 (%),17.3,24.7,22.0,20.8
"경기 연천군","건강",EQ-5D (점),0.962,0.971,0.966,0.967
"경기 연천군","건강",흡연율 (%),22.5,21.6,27.5,26.1
"경기 연천군","건강",주관적 건강수준인지율 (%),57.1,52.0,51.5,37.8
"경기 연천군","건강",음주율 (%),50.3,57.8,59.0,56.2
"경기 연천군","교육",학급당 학생수 (명),17.94,17.71,17.45,15.96
"경기 연천군","교육",초등학교수 (개),13,13,13,13
"경기 연천군","교육",유치원 교원수 (명),35,37,39,36
"경기 연천군","교육",유치원수 (개),14,13,13,13
"경기 연천군","교육",유치원 원아수 (명),419,431,447,426
"경기 연천군","교육",초등학교 학생수 (명),1804,1802,1768,1739
"경기 연천군","교육",초등학교 교원수 (명),195,196,198,204
"경기 연천군","주거와 교통",도시지역면적,29845126,30445145,30445145,30445145
"경기 연천군","주거와 교통",토지거래면적 (천㎡),8383,9298,16085,14476
"경기 연천군","주거와 교통",주택수 (호),16410,15931,15967,16111
"경기 연천군","성장과 안정",친환경인증 축산물 출하량 (톤),23929,14425,13881,12718
"경기 연천군","성장과 안정",친환경인증 농산물 출하량 (톤),705,1090,1395,1428
"경기 연천군","성장과 안정",종사자수 (명),-,14312,14969,-
"경기 연천군","성장과 안정",농가수 (가구),3438,3377,3241,3142
"경기 연천군","성장과 안정",서비스업사업체수 (개),-,2551,2545,-
"경기 연천군","성장과 안정",제조업종사자수 (명),-,2887,2831,-
"경기 연천군","성장과 안정",제조업사업체수 (개),-,376,381,-
"경기 연천군","성장과 안정",운수업종사자수 (명),-,400,475,-
"경기 연천군","성장과 안정",운수업사업체수 (개),-,204,199,-
"경기 연천군","성장과 안정",도소매업종사자수 (명),-,1728,1641,-
"경기 연천군","성장과 안정",도소매업사업체수 (개),-,796,772,-
"경기 연천군","성장과 안정",사업체수 (개),-,3659,3661,-
"경기 연천군","성장과 안정",가구수 (가구),18437,18382,18455,18043
"경기 연천군","안전",화재발생건수 (건),130,105,115,119
"경기 연천군","환경",폐수배출업소수 (개),141,141,106,-
"경기 연천군","환경",논경지면적 (헥타르),4155,3770,3682,3554
"경기 연천군","환경",하수도보급률 (%),86.8,87.0,86.8,-
"경기 연천군","환경",상수도보급률 (%),94.0,94.0,97.6,-
"경기 연천군","사회통합",건강보험 적용인구 현황,43985,43436,42676,-
"경기 연천군","사회통합",인구십만명당 자살률 (십만명당),37.6,44.3,42.7,-
