"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 용인시","인구",출생아수 (명),8288,6997,6598,6463
"경기 용인시","인구",평균연령,38,39,39,40
"경기 용인시","인구",사망자수 (명),3665,3800,3960,-
"경기 용인시","인구",전출인구 (명),138274,133151,148795,140937
"경기 용인시","인구",전입인구 (명),148258,142704,177079,163901
"경기 용인시","인구",순이동인구 (명),9984,9553,28284,22964
"경기 용인시","인구",주민등록인구 (명),991126,1004081,1035126,1059609
"경기 용인시","인구",농가인구 (명),18624,18019,16631,15224
"경기 용인시","인구",등록외국인 현황 (명),16886,16926,18396,18982
"경기 용인시","인구",합계출산율,1.205,1.039,0.981,0.936
"경기 용인시","인구",인구총조사 인구,982590,996260,1026126,1052529
"경기 용인시","가족",혼인건수 (건),4680,4528,4581,4670
"경기 용인시","가족",조이혼율,1.6,1.7,1.7,1.7
"경기 용인시","가족",조혼인율,4.8,4.6,4.5,4.5
"경기 용인시","건강",스트레스 인지율 (%),28.9,29.7,26.5,25.6
"경기 용인시","건강",비만율 (%),24.6,24.8,29.4,-
"경기 용인시","건강",고위험음주율 (%),14.2,15.3,16.5,16.9
"경기 용인시","건강",EQ-5D (점),0.964,0.964,0.966,0.962
"경기 용인시","건강",흡연율 (%),19.3,19.9,18.3,15.5
"경기 용인시","건강",주관적 건강수준인지율 (%),44.3,44.2,41.1,42.0
"경기 용인시","건강",음주율 (%),63.3,67.0,64.3,62.3
"경기 용인시","교육",학급당 학생수 (명),27.12,26.68,26.06,25.29
"경기 용인시","교육",초등학교수 (개),100,100,102,103
"경기 용인시","교육",유치원 교원수 (명),1208,1183,1201,1133
"경기 용인시","교육",유치원수 (개),170,171,173,169
"경기 용인시","교육",유치원 원아수 (명),18571,18118,17554,15584
"경기 용인시","교육",초등학교 학생수 (명),67099,67328,68419,70018
"경기 용인시","교육",초등학교 교원수 (명),3791,3830,3967,4161
"경기 용인시","소득과 소비",소비자물가 등락률 (%),1.1,1.9,1.7,0.2
"경기 용인시","주거와 교통",도시지역면적,388275186,388296207,388296171,388296611
"경기 용인시","주거와 교통",토지거래면적 (천㎡),20939,29380,23515,28793
"경기 용인시","주거와 교통",주택수 (호),298470,307555,327895,344619
"경기 용인시","성장과 안정",친환경인증 축산물 출하량 (톤),8571,8161,13841,9084
"경기 용인시","성장과 안정",친환경인증 농산물 출하량 (톤),4900,4104,4080,3971
"경기 용인시","성장과 안정",종사자수 (명),-,314118,337516,-
"경기 용인시","성장과 안정",농가수 (가구),6712,6446,6191,5602
"경기 용인시","성장과 안정",서비스업사업체수 (개),-,36588,38759,-
"경기 용인시","성장과 안정",제조업종사자수 (명),-,56148,56238,-
"경기 용인시","성장과 안정",제조업사업체수 (개),-,4066,4322,-
"경기 용인시","성장과 안정",운수업종사자수 (명),-,18773,20525,-
"경기 용인시","성장과 안정",운수업사업체수 (개),-,5075,5582,-
"경기 용인시","성장과 안정",도소매업종사자수 (명),-,42552,48139,-
"경기 용인시","성장과 안정",도소매업사업체수 (개),-,11219,11945,-
"경기 용인시","성장과 안정",사업체수 (개),-,49635,52723,-
"경기 용인시","성장과 안정",가구수 (가구),337159,346336,362758,379061
"경기 용인시","안전",화재발생건수 (건),533,444,413,479
"경기 용인시","환경",논경지면적 (헥타르),4421,4220,4006,3849
"경기 용인시","환경",하수도보급률 (%),92.9,92.9,95.7,-
"경기 용인시","환경",상수도보급률 (%),98.8,98.9,99.1,-
"경기 용인시","사회통합",건강보험 적용인구 현황,994275,1008711,1040075,-
"경기 용인시","사회통합",인구십만명당 자살률 (십만명당),20.7,18.5,20.3,-
