"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 의왕시","인구",출생아수 (명),1218,941,869,923
"경기 의왕시","인구",평균연령,40,41,42,42
"경기 의왕시","인구",사망자수 (명),640,683,641,-
"경기 의왕시","인구",전출인구 (명),21604,20146,18640,22595
"경기 의왕시","인구",전입인구 (명),19970,18850,16536,29540
"경기 의왕시","인구",순이동인구 (명),-1634,-1296,-2104,6945
"경기 의왕시","인구",주민등록인구 (명),156763,155767,153932,161153
"경기 의왕시","인구",농가인구 (명),1981,1969,1717,1525
"경기 의왕시","인구",등록외국인 현황 (명),1234,1190,1152,1191
"경기 의왕시","인구",합계출산율,1.130,0.912,0.885,0.924
"경기 의왕시","인구",인구총조사 인구,153629,151852,149599,155826
"경기 의왕시","가족",혼인건수 (건),756,621,613,628
"경기 의왕시","가족",조이혼율,1.6,1.7,1.6,1.7
"경기 의왕시","가족",조혼인율,4.8,4.0,4.0,4.0
"경기 의왕시","건강",스트레스 인지율 (%),27.2,28.4,30.4,25.9
"경기 의왕시","건강",비만율 (%),28.9,26.0,33.2,-
"경기 의왕시","건강",고위험음주율 (%),15.8,17.8,19.2,12.8
"경기 의왕시","건강",EQ-5D (점),0.948,0.954,0.963,0.962
"경기 의왕시","건강",흡연율 (%),21.1,19.8,19.8,17.0
"경기 의왕시","건강",주관적 건강수준인지율 (%),46.4,42.0,37.3,38.2
"경기 의왕시","건강",음주율 (%),64.5,65.5,66.6,64.6
"경기 의왕시","교육",학급당 학생수 (명),25.75,24.75,23.85,22.86
"경기 의왕시","교육",초등학교수 (개),13,13,13,14
"경기 의왕시","교육",유치원 교원수 (명),147,140,127,128
"경기 의왕시","교육",유치원수 (개),24,24,24,24
"경기 의왕시","교육",유치원 원아수 (명),2004,1821,1614,1485
"경기 의왕시","교육",초등학교 학생수 (명),7707,7487,7397,7490
"경기 의왕시","교육",초등학교 교원수 (명),473,470,475,499
"경기 의왕시","주거와 교통",도시지역면적,53991234,53991234,53991234,53990394
"경기 의왕시","주거와 교통",토지거래면적 (천㎡),1770,1605,1748,1503
"경기 의왕시","주거와 교통",주택수 (호),47249,47110,47471,52452
"경기 의왕시","성장과 안정",친환경인증 축산물 출하량 (톤),24,14,1,4
"경기 의왕시","성장과 안정",친환경인증 농산물 출하량 (톤),66,169,229,95
"경기 의왕시","성장과 안정",종사자수 (명),-,50573,54870,-
"경기 의왕시","성장과 안정",농가수 (가구),685,657,610,535
"경기 의왕시","성장과 안정",서비스업사업체수 (개),-,5631,5757,-
"경기 의왕시","성장과 안정",제조업종사자수 (명),-,10323,10256,-
"경기 의왕시","성장과 안정",제조업사업체수 (개),-,1085,1114,-
"경기 의왕시","성장과 안정",운수업종사자수 (명),-,4476,4954,-
"경기 의왕시","성장과 안정",운수업사업체수 (개),-,1150,1316,-
"경기 의왕시","성장과 안정",도소매업종사자수 (명),-,6806,7246,-
"경기 의왕시","성장과 안정",도소매업사업체수 (개),-,1828,1875,-
"경기 의왕시","성장과 안정",사업체수 (개),-,8602,8959,-
"경기 의왕시","성장과 안정",가구수 (가구),54243,54406,54228,57588
"경기 의왕시","안전",화재발생건수 (건),129,118,102,105
"경기 의왕시","환경",폐수배출업소수 (개),97,98,73,-
"경기 의왕시","환경",논경지면적 (헥타르),106,94,84,70
"경기 의왕시","환경",하수도보급률 (%),99.3,99.0,99.0,-
"경기 의왕시","환경",상수도보급률 (%),99.9,99.9,99.9,-
"경기 의왕시","사회통합",건강보험 적용인구 현황,156486,155511,153474,-
"경기 의왕시","사회통합",인구십만명당 자살률 (십만명당),20.5,18.1,16.9,-
