"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 이천시","인구",출생아수 (명),1879,1725,1525,1359
"경기 이천시","인구",평균연령,39,39,40,41
"경기 이천시","인구",사망자수 (명),1110,1169,1199,-
"경기 이천시","인구",전출인구 (명),28556,28461,27972,30022
"경기 이천시","인구",전입인구 (명),33122,30655,28630,31401
"경기 이천시","인구",순이동인구 (명),4566,2194,658,1379
"경기 이천시","인구",주민등록인구 (명),210359,213142,214206,215834
"경기 이천시","인구",농가인구 (명),21188,20049,17437,16939
"경기 이천시","인구",등록외국인 현황 (명),6472,6879,7379,7515
"경기 이천시","인구",합계출산율,1.360,1.234,1.106,0.991
"경기 이천시","인구",인구총조사 인구,214766,218798,220599,222995
"경기 이천시","가족",혼인건수 (건),1108,1079,1059,1059
"경기 이천시","가족",조이혼율,2.4,2.0,2.4,2.5
"경기 이천시","가족",조혼인율,5.4,5.1,5.0,5.0
"경기 이천시","건강",스트레스 인지율 (%),29.3,30.3,28.5,33.2
"경기 이천시","건강",비만율 (%),26.5,31.4,31.8,-
"경기 이천시","건강",고위험음주율 (%),20.1,15.5,21.9,19.3
"경기 이천시","건강",EQ-5D (점),0.955,0.957,0.961,0.957
"경기 이천시","건강",흡연율 (%),27.1,23.2,22.9,24.8
"경기 이천시","건강",주관적 건강수준인지율 (%),50.4,47.0,48.3,45.7
"경기 이천시","건강",음주율 (%),57.2,56.3,55.7,59.9
"경기 이천시","교육",학급당 학생수 (명),24.23,23.65,23.20,22.69
"경기 이천시","교육",초등학교수 (개),31,31,31,31
"경기 이천시","교육",유치원 교원수 (명),211,224,217,202
"경기 이천시","교육",유치원수 (개),53,54,53,51
"경기 이천시","교육",유치원 원아수 (명),2944,2897,2754,2490
"경기 이천시","교육",초등학교 학생수 (명),12741,12988,13080,13184
"경기 이천시","교육",초등학교 교원수 (명),851,879,864,842
"경기 이천시","주거와 교통",도시지역면적,82297680,82297681,82297681,82195456
"경기 이천시","주거와 교통",토지거래면적 (천㎡),14728,13289,14493,15911
"경기 이천시","주거와 교통",주택수 (호),68790,71325,72721,75940
"경기 이천시","성장과 안정",친환경인증 축산물 출하량 (톤),14269,11932,15512,21149
"경기 이천시","성장과 안정",친환경인증 농산물 출하량 (톤),5874,4688,6245,5877
"경기 이천시","성장과 안정",종사자수 (명),-,114803,121581,-
"경기 이천시","성장과 안정",농가수 (가구),8031,7549,7074,6976
"경기 이천시","성장과 안정",서비스업사업체수 (개),-,11116,11407,-
"경기 이천시","성장과 안정",제조업종사자수 (명),-,38197,40778,-
"경기 이천시","성장과 안정",제조업사업체수 (개),-,1888,1948,-
"경기 이천시","성장과 안정",운수업종사자수 (명),-,10339,11510,-
"경기 이천시","성장과 안정",운수업사업체수 (개),-,1806,1934,-
"경기 이천시","성장과 안정",도소매업종사자수 (명),-,11997,12555,-
"경기 이천시","성장과 안정",도소매업사업체수 (개),-,3723,3752,-
"경기 이천시","성장과 안정",사업체수 (개),-,16241,16757,-
"경기 이천시","성장과 안정",가구수 (가구),76320,79317,81222,83144
"경기 이천시","안전",화재발생건수 (건),296,323,304,277
"경기 이천시","환경",폐수배출업소수 (개),330,360,355,-
"경기 이천시","환경",논경지면적 (헥타르),9141,8901,8697,8651
"경기 이천시","환경",하수도보급률 (%),91.0,91.1,91.5,-
"경기 이천시","환경",상수도보급률 (%),94.7,96.4,98.1,-
"경기 이천시","사회통합",건강보험 적용인구 현황,209956,213400,214890,-
"경기 이천시","사회통합",인구십만명당 자살률 (십만명당),23.3,25.7,25.9,-
