"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 화성시","인구",출생아수 (명),7262,7004,7178,7158
"경기 화성시","인구",평균연령,36,36,36,37
"경기 화성시","인구",사망자수 (명),2197,2182,2515,-
"경기 화성시","인구",전출인구 (명),81257,84522,107604,116607
"경기 화성시","인구",전입인구 (명),120293,129735,170212,168445
"경기 화성시","인구",순이동인구 (명),39036,45213,62608,51838
"경기 화성시","인구",주민등록인구 (명),640890,691086,758722,815396
"경기 화성시","인구",농가인구 (명),31589,32073,30404,29567
"경기 화성시","인구",등록외국인 현황 (명),34685,36516,39378,40553
"경기 화성시","인구",합계출산율,1.555,1.391,1.309,1.199
"경기 화성시","인구",인구총조사 인구,655350,708569,777295,838635
"경기 화성시","가족",혼인건수 (건),4247,4363,4933,4788
"경기 화성시","가족",조이혼율,2.0,2.1,2.1,2.1
"경기 화성시","가족",조혼인율,6.9,6.6,6.8,6.1
"경기 화성시","건강",스트레스 인지율 (%),30.7,31.9,26.4,24.6
"경기 화성시","건강",비만율 (%),27.9,30.8,29.9,-
"경기 화성시","건강",고위험음주율 (%),20.8,18.2,17.2,14.0
"경기 화성시","건강",EQ-5D (점),0.960,0.969,0.963,0.952
"경기 화성시","건강",흡연율 (%),22.7,20.8,19.6,20.7
"경기 화성시","건강",주관적 건강수준인지율 (%),46.0,45.1,47.3,41.0
"경기 화성시","건강",음주율 (%),63.9,59.1,62.9,60.5
"경기 화성시","교육",학급당 학생수 (명),26.26,25.80,25.17,25.01
"경기 화성시","교육",초등학교수 (개),80,83,89,92
"경기 화성시","교육",유치원 교원수 (명),901,1039,1235,1221
"경기 화성시","교육",유치원수 (개),139,148,165,167
"경기 화성시","교육",유치원 원아수 (명),15041,16066,17380,17442
"경기 화성시","교육",초등학교 학생수 (명),49157,52593,58143,63581
"경기 화성시","교육",초등학교 교원수 (명),2873,3071,3358,3679
"경기 화성시","주거와 교통",도시지역면적,317157379,317206638,317604045,317786985
"경기 화성시","주거와 교통",토지거래면적 (천㎡),28683,30739,31488,27247
"경기 화성시","주거와 교통",주택수 (호),197654,220614,253213,285879
"경기 화성시","성장과 안정",친환경인증 축산물 출하량 (톤),18170,16309,15174,18907
"경기 화성시","성장과 안정",친환경인증 농산물 출하량 (톤),4855,4247,4432,4050
"경기 화성시","성장과 안정",종사자수 (명),-,430007,460383,-
"경기 화성시","성장과 안정",농가수 (가구),12326,12484,12182,11726
"경기 화성시","성장과 안정",서비스업사업체수 (개),-,32048,34481,-
"경기 화성시","성장과 안정",제조업종사자수 (명),-,225269,232793,-
"경기 화성시","성장과 안정",제조업사업체수 (개),-,18222,19066,-
"경기 화성시","성장과 안정",운수업종사자수 (명),-,12625,14610,-
"경기 화성시","성장과 안정",운수업사업체수 (개),-,4481,5196,-
"경기 화성시","성장과 안정",도소매업종사자수 (명),-,36813,40630,-
"경기 화성시","성장과 안정",도소매업사업체수 (개),-,11032,11687,-
"경기 화성시","성장과 안정",사업체수 (개),-,58194,62500,-
"경기 화성시","성장과 안정",가구수 (가구),231731,254974,284445,312599
"경기 화성시","안전",화재발생건수 (건),694,629,573,637
"경기 화성시","환경",폐수배출업소수 (개),1929,2527,2590,-
"경기 화성시","환경",논경지면적 (헥타르),14326,13662,13488,12920
"경기 화성시","환경",하수도보급률 (%),83.2,83.5,84.0,-
"경기 화성시","환경",상수도보급률 (%),98.6,98.6,100.0,-
"경기 화성시","사회통합",건강보험 적용인구 현황,671580,725268,794322,-
"경기 화성시","사회통합",인구십만명당 자살률 (십만명당),23.7,19.8,20.8,-
