"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 과천시","인구",출생아수 (명),414,317,281,282
"경기 과천시","인구",평균연령,41,41,42,42
"경기 과천시","인구",사망자수 (명),259,254,254,-
"경기 과천시","인구",전출인구 (명),16526,14645,8919,7763
"경기 과천시","인구",전입인구 (명),10957,8304,9496,7869
"경기 과천시","인구",순이동인구 (명),-5569,-6341,577,106
"경기 과천시","인구",주민등록인구 (명),63778,57527,58142,58289
"경기 과천시","인구",농가인구 (명),1079,1136,1081,919
"경기 과천시","인구",등록외국인 현황 (명),235,211,183,173
"경기 과천시","인구",합계출산율,0.982,0.855,0.796,0.780
"경기 과천시","인구",인구총조사 인구,60923,53583,53740,53830
"경기 과천시","가족",혼인건수 (건),266,207,232,240
"경기 과천시","가족",조이혼율,1.3,1.2,1.3,1.4
"경기 과천시","가족",조혼인율,4.1,3.5,4.1,4.2
"경기 과천시","건강",스트레스 인지율 (%),27.9,28.0,29.0,27.9
"경기 과천시","건강",비만율 (%),23.0,19.7,25.0,-
"경기 과천시","건강",고위험음주율 (%),14.1,7.7,11.2,7.4
"경기 과천시","건강",EQ-5D (점),0.959,0.963,0.966,0.971
"경기 과천시","건강",흡연율 (%),15.7,14.4,16.1,11.8
"경기 과천시","건강",주관적 건강수준인지율 (%),51.2,50.7,48.9,54.5
"경기 과천시","건강",음주율 (%),61.9,58.0,57.1,57.8
"경기 과천시","교육",학급당 학생수 (명),26.40,24.77,24.23,23.50
"경기 과천시","교육",초등학교수 (개),4,4,4,4
"경기 과천시","교육",유치원 교원수 (명),49,42,33,32
"경기 과천시","교육",유치원수 (개),8,8,7,7
"경기 과천시","교육",유치원 원아수 (명),694,498,353,316
"경기 과천시","교육",초등학교 학생수 (명),3379,2973,2799,2826
"경기 과천시","교육",초등학교 교원수 (명),195,175,173,175
"경기 과천시","주거와 교통",도시지역면적,35853000,35853000,35853000,35853000
"경기 과천시","주거와 교통",토지거래면적 (천㎡),1304,890,1357,1098
"경기 과천시","주거와 교통",주택수 (호),15661,12114,12772,13008
"경기 과천시","성장과 안정",친환경인증 축산물 출하량 (톤),-,1,2,-
"경기 과천시","성장과 안정",친환경인증 농산물 출하량 (톤),622,501,653,742
"경기 과천시","성장과 안정",종사자수 (명),-,34844,34827,-
"경기 과천시","성장과 안정",농가수 (가구),369,378,352,333
"경기 과천시","성장과 안정",서비스업사업체수 (개),-,2906,2949,-
"경기 과천시","성장과 안정",제조업종사자수 (명),-,385,328,-
"경기 과천시","성장과 안정",제조업사업체수 (개),-,86,79,-
"경기 과천시","성장과 안정",운수업종사자수 (명),-,926,946,-
"경기 과천시","성장과 안정",운수업사업체수 (개),-,290,307,-
"경기 과천시","성장과 안정",도소매업종사자수 (명),-,5069,4309,-
"경기 과천시","성장과 안정",도소매업사업체수 (개),-,1314,1295,-
"경기 과천시","성장과 안정",사업체수 (개),-,3628,3675,-
"경기 과천시","성장과 안정",가구수 (가구),21368,18637,18813,19023
"경기 과천시","안전",화재발생건수 (건),55,62,47,38
"경기 과천시","환경",폐수배출업소수 (개),20,21,19,-
"경기 과천시","환경",논경지면적 (헥타르),15,14,10,8
"경기 과천시","환경",하수도보급률 (%),98.5,98.5,98.5,-
"경기 과천시","환경",상수도보급률 (%),98.5,98.4,98.4,-
"경기 과천시","사회통합",건강보험 적용인구 현황,63079,56849,57715,-
"경기 과천시","사회통합",인구십만명당 자살률 (십만명당),18.3,28.5,21.1,-
