"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 군포시","인구",출생아수 (명),2887,2266,2081,1985
"경기 군포시","인구",평균연령,39,40,41,42
"경기 군포시","인구",사망자수 (명),1043,1117,1195,-
"경기 군포시","인구",전출인구 (명),39955,36493,39776,37126
"경기 군포시","인구",전입인구 (명),35230,31552,34479,35183
"경기 군포시","인구",순이동인구 (명),-4725,-4941,-5297,-1943
"경기 군포시","인구",주민등록인구 (명),284890,281205,276916,275852
"경기 군포시","인구",농가인구 (명),1185,1077,873,828
"경기 군포시","인구",등록외국인 현황 (명),6772,6783,6960,7010
"경기 군포시","인구",합계출산율,1.339,1.105,1.058,1.046
"경기 군포시","인구",인구총조사 인구,284301,280913,276860,275154
"경기 군포시","가족",혼인건수 (건),1772,1639,1428,1294
"경기 군포시","가족",조이혼율,1.6,1.8,1.8,1.9
"경기 군포시","가족",조혼인율,6.2,5.8,5.2,4.7
"경기 군포시","건강",스트레스 인지율 (%),30.6,29.2,32.6,25.9
"경기 군포시","건강",비만율 (%),26.1,28.2,28.8,-
"경기 군포시","건강",고위험음주율 (%),13.4,15.7,17.3,15.2
"경기 군포시","건강",EQ-5D (점),0.949,0.958,0.955,0.951
"경기 군포시","건강",흡연율 (%),20.6,18.3,20.6,20.1
"경기 군포시","건강",주관적 건강수준인지율 (%),44.6,41.5,40.3,31.6
"경기 군포시","건강",음주율 (%),63.1,63.1,63.6,59.2
"경기 군포시","교육",학급당 학생수 (명),27.21,26.15,25.04,23.99
"경기 군포시","교육",초등학교수 (개),26,26,26,26
"경기 군포시","교육",유치원 교원수 (명),297,281,273,263
"경기 군포시","교육",유치원수 (개),49,49,49,49
"경기 군포시","교육",유치원 원아수 (명),4241,3979,3650,3245
"경기 군포시","교육",초등학교 학생수 (명),16234,15850,15530,15126
"경기 군포시","교육",초등학교 교원수 (명),965,978,982,956
"경기 군포시","주거와 교통",도시지역면적,36362000,36362000,36460228,36460228
"경기 군포시","주거와 교통",토지거래면적 (천㎡),1304,1126,1017,951
"경기 군포시","주거와 교통",주택수 (호),86160,86340,87516,90977
"경기 군포시","성장과 안정",친환경인증 축산물 출하량 (톤),391,26,8,5
"경기 군포시","성장과 안정",친환경인증 농산물 출하량 (톤),51,94,55,45
"경기 군포시","성장과 안정",종사자수 (명),-,103134,108524,-
"경기 군포시","성장과 안정",농가수 (가구),437,411,363,345
"경기 군포시","성장과 안정",서비스업사업체수 (개),-,11249,11423,-
"경기 군포시","성장과 안정",제조업종사자수 (명),-,28186,28265,-
"경기 군포시","성장과 안정",제조업사업체수 (개),-,3078,3125,-
"경기 군포시","성장과 안정",운수업종사자수 (명),-,9298,9972,-
"경기 군포시","성장과 안정",운수업사업체수 (개),-,1686,1876,-
"경기 군포시","성장과 안정",도소매업종사자수 (명),-,12545,12759,-
"경기 군포시","성장과 안정",도소매업사업체수 (개),-,3375,3389,-
"경기 군포시","성장과 안정",사업체수 (개),-,17286,17736,-
"경기 군포시","성장과 안정",가구수 (가구),101952,102190,102510,104573
"경기 군포시","안전",화재발생건수 (건),192,140,140,127
"경기 군포시","환경",폐수배출업소수 (개),142,161,146,-
"경기 군포시","환경",논경지면적 (헥타르),88,81,77,78
"경기 군포시","환경",하수도보급률 (%),99.7,99.7,99.8,-
"경기 군포시","환경",상수도보급률 (%),100.0,100.0,100.0,-
"경기 군포시","사회통합",건강보험 적용인구 현황,284685,281873,277497,-
"경기 군포시","사회통합",인구십만명당 자살률 (십만명당),16.2,22.4,21.7,-
