"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 김포시","인구",출생아수 (명),3346,3172,3238,3160
"경기 김포시","인구",평균연령,39,39,39,39
"경기 김포시","인구",사망자수 (명),1405,1566,1676,-
"경기 김포시","인구",전출인구 (명),47722,53239,55516,51113
"경기 김포시","인구",전입인구 (명),58788,80188,84845,63503
"경기 김포시","인구",순이동인구 (명),11066,26949,29329,12390
"경기 김포시","인구",주민등록인구 (명),363443,392092,423170,437221
"경기 김포시","인구",농가인구 (명),14724,13683,13915,13779
"경기 김포시","인구",등록외국인 현황 (명),17835,18340,19849,20335
"경기 김포시","인구",합계출산율,1.296,1.175,1.094,1.016
"경기 김포시","인구",인구총조사 인구,365770,392438,424865,442910
"경기 김포시","가족",혼인건수 (건),1720,1908,2076,1934
"경기 김포시","가족",조이혼율,2.1,2.1,2.2,2.1
"경기 김포시","가족",조혼인율,4.9,5.1,5.1,4.5
"경기 김포시","건강",스트레스 인지율 (%),29.9,28.1,29.5,26.6
"경기 김포시","건강",비만율 (%),28.4,30.3,29.1,-
"경기 김포시","건강",고위험음주율 (%),15.4,13.9,15.8,13.4
"경기 김포시","건강",EQ-5D (점),0.959,0.967,0.955,0.956
"경기 김포시","건강",흡연율 (%),21.5,20.6,19.7,16.8
"경기 김포시","건강",주관적 건강수준인지율 (%),51.1,49.3,37.2,34.8
"경기 김포시","건강",음주율 (%),60.5,55.0,57.1,62.4
"경기 김포시","교육",학급당 학생수 (명),24.76,24.44,24.64,25.00
"경기 김포시","교육",초등학교수 (개),41,42,42,43
"경기 김포시","교육",유치원 교원수 (명),571,660,657,731
"경기 김포시","교육",유치원수 (개),84,91,93,90
"경기 김포시","교육",유치원 원아수 (명),8568,9551,10257,10084
"경기 김포시","교육",초등학교 학생수 (명),23614,25578,28484,31544
"경기 김포시","교육",초등학교 교원수 (명),1396,1492,1614,1749
"경기 김포시","주거와 교통",도시지역면적,101933117,101933117,101933117,101933117
"경기 김포시","주거와 교통",토지거래면적 (천㎡),9434,11077,10779,11583
"경기 김포시","주거와 교통",주택수 (호),115633,126247,141596,146321
"경기 김포시","성장과 안정",친환경인증 축산물 출하량 (톤),7293,3664,4351,6221
"경기 김포시","성장과 안정",친환경인증 농산물 출하량 (톤),1923,1308,1715,1731
"경기 김포시","성장과 안정",종사자수 (명),-,153261,165298,-
"경기 김포시","성장과 안정",농가수 (가구),5346,4914,4993,5013
"경기 김포시","성장과 안정",서비스업사업체수 (개),-,16120,17963,-
"경기 김포시","성장과 안정",제조업종사자수 (명),-,71059,73772,-
"경기 김포시","성장과 안정",제조업사업체수 (개),-,8768,9291,-
"경기 김포시","성장과 안정",운수업종사자수 (명),-,6678,6810,-
"경기 김포시","성장과 안정",운수업사업체수 (개),-,2292,2397,-
"경기 김포시","성장과 안정",도소매업종사자수 (명),-,19962,22700,-
"경기 김포시","성장과 안정",도소매업사업체수 (개),-,5864,6467,-
"경기 김포시","성장과 안정",사업체수 (개),-,28792,31385,-
"경기 김포시","성장과 안정",가구수 (가구),129385,140347,153946,162871
"경기 김포시","안전",화재발생건수 (건),464,423,431,451
"경기 김포시","환경",폐수배출업소수 (개),899,1100,1088,-
"경기 김포시","환경",논경지면적 (헥타르),5336,5223,5165,5115
"경기 김포시","환경",하수도보급률 (%),84.4,87.2,88.2,-
"경기 김포시","환경",상수도보급률 (%),94.1,94.5,94.9,-
"경기 김포시","사회통합",건강보험 적용인구 현황,373279,398291,435870,-
"경기 김포시","사회통합",인구십만명당 자살률 (십만명당),19.2,16.8,24.7,-
