"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 남양주시","인구",출생아수 (명),5218,4422,4120,3855
"경기 남양주시","인구",평균연령,39,40,41,41
"경기 남양주시","인구",사망자수 (명),2819,2983,3234,-
"경기 남양주시","인구",전출인구 (명),75412,71846,80025,77180
"경기 남양주시","인구",전입인구 (명),81347,73470,95555,96451
"경기 남양주시","인구",순이동인구 (명),5935,1624,15530,19271
"경기 남양주시","인구",주민등록인구 (명),662154,665321,681828,701830
"경기 남양주시","인구",농가인구 (명),15850,15481,13191,11769
"경기 남양주시","인구",등록외국인 현황 (명),6542,6799,7137,7477
"경기 남양주시","인구",합계출산율,1.190,1.043,0.988,0.908
"경기 남양주시","인구",인구총조사 인구,641589,644936,661866,681077
"경기 남양주시","가족",혼인건수 (건),3037,2675,2759,2630
"경기 남양주시","가족",조이혼율,2.3,2.2,2.3,2.3
"경기 남양주시","가족",조혼인율,4.7,4.1,4.1,3.8
"경기 남양주시","건강",스트레스 인지율 (%),27.6,29.5,31.2,27.0
"경기 남양주시","건강",비만율 (%),27.6,26.7,29.7,-
"경기 남양주시","건강",고위험음주율 (%),18.4,18.2,16.0,16.3
"경기 남양주시","건강",EQ-5D (점),0.949,0.951,0.943,0.959
"경기 남양주시","건강",흡연율 (%),24.4,19.1,22.7,20.1
"경기 남양주시","건강",주관적 건강수준인지율 (%),43.4,40.2,34.3,42.3
"경기 남양주시","건강",음주율 (%),61.6,61.0,56.0,55.8
"경기 남양주시","교육",학급당 학생수 (명),26.71,26.14,25.67,24.79
"경기 남양주시","교육",초등학교수 (개),60,60,61,64
"경기 남양주시","교육",유치원 교원수 (명),759,759,763,763
"경기 남양주시","교육",유치원수 (개),109,110,110,110
"경기 남양주시","교육",유치원 원아수 (명),11143,10905,10540,9895
"경기 남양주시","교육",초등학교 학생수 (명),42143,41985,43187,44661
"경기 남양주시","교육",초등학교 교원수 (명),2330,2339,2393,2547
"경기 남양주시","주거와 교통",도시지역면적,241792390,241792389,241792390,242423014
"경기 남양주시","주거와 교통",토지거래면적 (천㎡),14659,15349,13317,16021
"경기 남양주시","주거와 교통",주택수 (호),204573,209195,220328,233886
"경기 남양주시","성장과 안정",친환경인증 축산물 출하량 (톤),1935,584,5241,1818
"경기 남양주시","성장과 안정",친환경인증 농산물 출하량 (톤),2517,1842,1376,1925
"경기 남양주시","성장과 안정",종사자수 (명),-,158434,165207,-
"경기 남양주시","성장과 안정",농가수 (가구),5099,4926,4741,4289
"경기 남양주시","성장과 안정",서비스업사업체수 (개),-,24636,25656,-
"경기 남양주시","성장과 안정",제조업종사자수 (명),-,32941,33453,-
"경기 남양주시","성장과 안정",제조업사업체수 (개),-,5662,5702,-
"경기 남양주시","성장과 안정",운수업종사자수 (명),-,8400,8792,-
"경기 남양주시","성장과 안정",운수업사업체수 (개),-,4140,4083,-
"경기 남양주시","성장과 안정",도소매업종사자수 (명),-,31834,32898,-
"경기 남양주시","성장과 안정",도소매업사업체수 (개),-,8798,9026,-
"경기 남양주시","성장과 안정",사업체수 (개),-,36939,38058,-
"경기 남양주시","성장과 안정",가구수 (가구),222742,227198,235291,246337
"경기 남양주시","안전",화재발생건수 (건),455,454,446,394
"경기 남양주시","환경",폐수배출업소수 (개),406,473,402,-
"경기 남양주시","환경",논경지면적 (헥타르),292,274,272,265
"경기 남양주시","환경",하수도보급률 (%),97.3,95.8,96.6,-
"경기 남양주시","환경",상수도보급률 (%),96.7,96.9,97.1,-
"경기 남양주시","사회통합",건강보험 적용인구 현황,653823,657911,674491,-
"경기 남양주시","사회통합",인구십만명당 자살률 (십만명당),19.4,20.2,23.3,-
