"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 동두천시","인구",출생아수 (명),714,583,464,426
"경기 동두천시","인구",평균연령,42,43,44,45
"경기 동두천시","인구",사망자수 (명),715,748,802,-
"경기 동두천시","인구",전출인구 (명),15868,14439,13687,13044
"경기 동두천시","인구",전입인구 (명),16074,13422,13118,11891
"경기 동두천시","인구",순이동인구 (명),206,-1017,-569,-1153
"경기 동두천시","인구",주민등록인구 (명),98277,97071,96226,94768
"경기 동두천시","인구",농가인구 (명),2087,2022,1866,1866
"경기 동두천시","인구",등록외국인 현황 (명),3126,3195,3340,3477
"경기 동두천시","인구",합계출산율,1.261,1.078,0.879,0.854
"경기 동두천시","인구",인구총조사 인구,98625,97373,97535,96541
"경기 동두천시","가족",혼인건수 (건),501,423,433,361
"경기 동두천시","가족",조이혼율,2.9,3.0,2.7,3.1
"경기 동두천시","가족",조혼인율,5.2,4.4,4.6,3.9
"경기 동두천시","건강",스트레스 인지율 (%),35.7,26.9,27.0,19.0
"경기 동두천시","건강",비만율 (%),32.7,32.0,34.3,-
"경기 동두천시","건강",고위험음주율 (%),22.4,28.0,22.0,19.6
"경기 동두천시","건강",EQ-5D (점),0.927,0.966,0.957,0.958
"경기 동두천시","건강",흡연율 (%),27.2,26.3,23.7,28.8
"경기 동두천시","건강",주관적 건강수준인지율 (%),39.6,53.5,54.2,61.2
"경기 동두천시","건강",음주율 (%),62.5,58.5,61.1,56.0
"경기 동두천시","교육",학급당 학생수 (명),24.62,24.10,23.12,21.98
"경기 동두천시","교육",초등학교수 (개),11,11,11,11
"경기 동두천시","교육",유치원 교원수 (명),75,73,67,64
"경기 동두천시","교육",유치원수 (개),19,19,19,19
"경기 동두천시","교육",유치원 원아수 (명),937,844,733,654
"경기 동두천시","교육",초등학교 학생수 (명),5247,5231,5179,5014
"경기 동두천시","교육",초등학교 교원수 (명),333,340,340,323
"경기 동두천시","주거와 교통",도시지역면적,33298502,33298502,33297990,33565811
"경기 동두천시","주거와 교통",토지거래면적 (천㎡),2052,1922,2022,1634
"경기 동두천시","주거와 교통",주택수 (호),35755,35987,36825,37452
"경기 동두천시","성장과 안정",친환경인증 축산물 출하량 (톤),613,1750,1283,-
"경기 동두천시","성장과 안정",친환경인증 농산물 출하량 (톤),-,-,61,49
"경기 동두천시","성장과 안정",종사자수 (명),-,28252,28264,-
"경기 동두천시","성장과 안정",농가수 (가구),736,719,673,673
"경기 동두천시","성장과 안정",서비스업사업체수 (개),-,4655,4760,-
"경기 동두천시","성장과 안정",제조업종사자수 (명),-,5915,5712,-
"경기 동두천시","성장과 안정",제조업사업체수 (개),-,508,506,-
"경기 동두천시","성장과 안정",운수업종사자수 (명),-,1302,1352,-
"경기 동두천시","성장과 안정",운수업사업체수 (개),-,658,709,-
"경기 동두천시","성장과 안정",도소매업종사자수 (명),-,3560,3580,-
"경기 동두천시","성장과 안정",도소매업사업체수 (개),-,1444,1427,-
"경기 동두천시","성장과 안정",사업체수 (개),-,6388,6568,-
"경기 동두천시","성장과 안정",가구수 (가구),37903,38008,38358,38390
"경기 동두천시","안전",화재발생건수 (건),129,130,119,105
"경기 동두천시","환경",폐수배출업소수 (개),129,134,80,-
"경기 동두천시","환경",논경지면적 (헥타르),86,78,77,66
"경기 동두천시","환경",하수도보급률 (%),99.0,98.9,98.9,-
"경기 동두천시","환경",상수도보급률 (%),99.4,98.5,98.5,-
"경기 동두천시","사회통합",건강보험 적용인구 현황,94041,93099,92256,-
"경기 동두천시","사회통합",인구십만명당 자살률 (십만명당),35.4,33.5,37.0,-
