"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 안성시","인구",출생아수 (명),1400,1236,1043,1001
"경기 안성시","인구",평균연령,41,41,42,42
"경기 안성시","인구",사망자수 (명),1188,1245,1217,-
"경기 안성시","인구",전출인구 (명),27087,22780,27670,25663
"경기 안성시","인구",전입인구 (명),29465,22616,28572,25597
"경기 안성시","인구",순이동인구 (명),2378,-164,902,-66
"경기 안성시","인구",주민등록인구 (명),182896,182786,183579,183405
"경기 안성시","인구",농가인구 (명),21252,21152,20147,19882
"경기 안성시","인구",등록외국인 현황 (명),9851,10656,11375,11802
"경기 안성시","인구",합계출산율,1.285,1.178,1.026,1.002
"경기 안성시","인구",인구총조사 인구,196362,198832,201135,202284
"경기 안성시","가족",혼인건수 (건),998,907,921,871
"경기 안성시","가족",조이혼율,2.5,2.5,2.8,2.6
"경기 안성시","가족",조혼인율,5.5,5.0,5.1,4.8
"경기 안성시","건강",스트레스 인지율 (%),32.0,30.2,27.9,30.6
"경기 안성시","건강",비만율 (%),28.6,31.1,31.2,-
"경기 안성시","건강",고위험음주율 (%),22.7,21.6,23.8,20.3
"경기 안성시","건강",EQ-5D (점),0.953,0.961,0.960,0.956
"경기 안성시","건강",흡연율 (%),21.9,23.5,23.9,20.4
"경기 안성시","건강",주관적 건강수준인지율 (%),43.7,39.7,38.6,38.3
"경기 안성시","건강",음주율 (%),62.2,64.6,64.4,62.1
"경기 안성시","교육",학급당 학생수 (명),22.69,22.41,21.75,21.34
"경기 안성시","교육",초등학교수 (개),34,34,35,35
"경기 안성시","교육",유치원 교원수 (명),206,209,212,195
"경기 안성시","교육",유치원수 (개),51,51,51,51
"경기 안성시","교육",유치원 원아수 (명),2844,2685,2481,2487
"경기 안성시","교육",초등학교 학생수 (명),10688,10734,10821,10917
"경기 안성시","교육",초등학교 교원수 (명),785,798,818,826
"경기 안성시","주거와 교통",도시지역면적,155905229,155905229,155948886,156213560
"경기 안성시","주거와 교통",토지거래면적 (천㎡),14033,16969,15322,16977
"경기 안성시","주거와 교통",주택수 (호),63912,64940,70478,74462
"경기 안성시","성장과 안정",친환경인증 축산물 출하량 (톤),37667,28485,29374,28397
"경기 안성시","성장과 안정",친환경인증 농산물 출하량 (톤),6335,6505,6705,6426
"경기 안성시","성장과 안정",종사자수 (명),-,92851,98252,-
"경기 안성시","성장과 안정",농가수 (가구),8634,8603,8559,8518
"경기 안성시","성장과 안정",서비스업사업체수 (개),-,9278,9624,-
"경기 안성시","성장과 안정",제조업종사자수 (명),-,39706,40904,-
"경기 안성시","성장과 안정",제조업사업체수 (개),-,2534,2677,-
"경기 안성시","성장과 안정",운수업종사자수 (명),-,4615,4587,-
"경기 안성시","성장과 안정",운수업사업체수 (개),-,1403,1365,-
"경기 안성시","성장과 안정",도소매업종사자수 (명),-,9175,10145,-
"경기 안성시","성장과 안정",도소매업사업체수 (개),-,3014,3112,-
"경기 안성시","성장과 안정",사업체수 (개),-,14442,14982,-
"경기 안성시","성장과 안정",가구수 (가구),74013,75632,77319,79302
"경기 안성시","안전",화재발생건수 (건),422,434,393,337
"경기 안성시","환경",폐수배출업소수 (개),633,707,665,-
"경기 안성시","환경",논경지면적 (헥타르),8764,8482,8337,8243
"경기 안성시","환경",하수도보급률 (%),77.5,77.8,78.1,-
"경기 안성시","환경",상수도보급률 (%),92.0,92.0,92.4,-
"경기 안성시","사회통합",건강보험 적용인구 현황,185230,186368,187956,-
"경기 안성시","사회통합",인구십만명당 자살률 (십만명당),26.1,28.7,30.8,-
