"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 양주시","인구",출생아수 (명),1525,1402,1304,1256
"경기 양주시","인구",평균연령,40,41,42,42
"경기 양주시","인구",사망자수 (명),1166,1151,1244,-
"경기 양주시","인구",전출인구 (명),26394,27255,27629,27974
"경기 양주시","인구",전입인구 (명),26149,33540,32293,33309
"경기 양주시","인구",순이동인구 (명),-245,6285,4664,5335
"경기 양주시","인구",주민등록인구 (명),205513,212146,216951,222314
"경기 양주시","인구",농가인구 (명),11098,10847,10121,9722
"경기 양주시","인구",등록외국인 현황 (명),7298,7121,7299,7464
"경기 양주시","인구",합계출산율,1.279,1.188,1.090,1.030
"경기 양주시","인구",인구총조사 인구,207009,212631,217776,224684
"경기 양주시","가족",혼인건수 (건),971,910,994,958
"경기 양주시","가족",조이혼율,2.6,2.6,2.8,2.7
"경기 양주시","가족",조혼인율,4.8,4.4,4.7,4.4
"경기 양주시","건강",스트레스 인지율 (%),29.5,25.7,18.4,28.9
"경기 양주시","건강",비만율 (%),28.3,35.4,34.4,-
"경기 양주시","건강",고위험음주율 (%),24.8,16.1,27.0,20.1
"경기 양주시","건강",EQ-5D (점),0.945,0.962,0.974,0.953
"경기 양주시","건강",흡연율 (%),23.2,21.0,23.5,22.3
"경기 양주시","건강",주관적 건강수준인지율 (%),49.8,43.3,44.7,38.8
"경기 양주시","건강",음주율 (%),57.2,58.9,52.3,52.4
"경기 양주시","교육",학급당 학생수 (명),24.37,24.12,23.36,22.92
"경기 양주시","교육",초등학교수 (개),32,32,33,33
"경기 양주시","교육",유치원 교원수 (명),235,244,248,235
"경기 양주시","교육",유치원수 (개),47,48,49,48
"경기 양주시","교육",유치원 원아수 (명),2895,2983,2880,2703
"경기 양주시","교육",초등학교 학생수 (명),13048,13026,13088,13531
"경기 양주시","교육",초등학교 교원수 (명),833,838,862,889
"경기 양주시","주거와 교통",도시지역면적,150364475,150458222,150455384,150455382
"경기 양주시","주거와 교통",토지거래면적 (천㎡),6817,9040,8537,9061
"경기 양주시","주거와 교통",주택수 (호),65975,72288,76037,79875
"경기 양주시","성장과 안정",친환경인증 축산물 출하량 (톤),4852,2849,2918,2410
"경기 양주시","성장과 안정",친환경인증 농산물 출하량 (톤),928,581,662,706
"경기 양주시","성장과 안정",종사자수 (명),-,84544,87633,-
"경기 양주시","성장과 안정",농가수 (가구),4017,3906,3798,3620
"경기 양주시","성장과 안정",서비스업사업체수 (개),-,9830,10255,-
"경기 양주시","성장과 안정",제조업종사자수 (명),-,35330,34784,-
"경기 양주시","성장과 안정",제조업사업체수 (개),-,4227,4276,-
"경기 양주시","성장과 안정",운수업종사자수 (명),-,3423,3701,-
"경기 양주시","성장과 안정",운수업사업체수 (개),-,1615,1665,-
"경기 양주시","성장과 안정",도소매업종사자수 (명),-,11285,11947,-
"경기 양주시","성장과 안정",도소매업사업체수 (개),-,3703,3782,-
"경기 양주시","성장과 안정",사업체수 (개),-,16952,17558,-
"경기 양주시","성장과 안정",가구수 (가구),73344,77036,80103,83851
"경기 양주시","안전",화재발생건수 (건),308,336,344,295
"경기 양주시","환경",폐수배출업소수 (개),492,678,629,-
"경기 양주시","환경",논경지면적 (헥타르),1797,1600,1495,1477
"경기 양주시","환경",하수도보급률 (%),91.1,92.3,92.7,-
"경기 양주시","환경",상수도보급률 (%),97.5,97.7,97.9,-
"경기 양주시","사회통합",건강보험 적용인구 현황,206181,212590,216637,-
"경기 양주시","사회통합",인구십만명당 자살률 (십만명당),30.0,26.6,29.6,-
