"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 양평군","인구",출생아수 (명),629,618,520,530
"경기 양평군","인구",평균연령,46,47,47,48
"경기 양평군","인구",사망자수 (명),981,1043,981,-
"경기 양평군","인구",전출인구 (명),14108,13602,14362,14316
"경기 양평군","인구",전입인구 (명),17398,17776,15759,15538
"경기 양평군","인구",순이동인구 (명),3290,4174,1397,1222
"경기 양평군","인구",주민등록인구 (명),111367,115105,116095,116874
"경기 양평군","인구",농가인구 (명),17595,17314,16488,15185
"경기 양평군","인구",등록외국인 현황 (명),1513,1593,1575,1500
"경기 양평군","인구",합계출산율,1.220,1.163,0.994,1.024
"경기 양평군","인구",인구총조사 인구,105709,109359,111094,111836
"경기 양평군","가족",혼인건수 (건),445,462,418,380
"경기 양평군","가족",조이혼율,2.2,2.1,2.1,2.3
"경기 양평군","가족",조혼인율,4.1,4.1,3.6,3.3
"경기 양평군","건강",스트레스 인지율 (%),26.7,27.9,29.6,23.2
"경기 양평군","건강",비만율 (%),27.6,25.7,30.4,-
"경기 양평군","건강",고위험음주율 (%),23.6,22.0,19.4,16.8
"경기 양평군","건강",EQ-5D (점),0.950,0.953,0.947,0.950
"경기 양평군","건강",흡연율 (%),27.1,21.5,19.1,19.2
"경기 양평군","건강",주관적 건강수준인지율 (%),46.7,48.3,41.7,45.2
"경기 양평군","건강",음주율 (%),61.3,61.1,55.8,61.9
"경기 양평군","교육",학급당 학생수 (명),22.06,21.45,20.98,20.36
"경기 양평군","교육",초등학교수 (개),22,22,22,22
"경기 양평군","교육",유치원 교원수 (명),64,64,62,64
"경기 양평군","교육",유치원수 (개),27,27,25,25
"경기 양평군","교육",유치원 원아수 (명),696,676,618,560
"경기 양평군","교육",초등학교 학생수 (명),5029,5118,5272,5251
"경기 양평군","교육",초등학교 교원수 (명),389,416,426,426
"경기 양평군","주거와 교통",도시지역면적,51198870,51198870,51198870,51198870
"경기 양평군","주거와 교통",토지거래면적 (천㎡),17125,19961,17154,15441
"경기 양평군","주거와 교통",주택수 (호),39449,41689,43550,45368
"경기 양평군","성장과 안정",친환경인증 축산물 출하량 (톤),6633,5824,6137,3542
"경기 양평군","성장과 안정",친환경인증 농산물 출하량 (톤),16203,14996,13412,17402
"경기 양평군","성장과 안정",종사자수 (명),-,28413,29631,-
"경기 양평군","성장과 안정",농가수 (가구),7226,7118,6841,6483
"경기 양평군","성장과 안정",서비스업사업체수 (개),-,6015,6157,-
"경기 양평군","성장과 안정",제조업종사자수 (명),-,1539,1578,-
"경기 양평군","성장과 안정",제조업사업체수 (개),-,405,398,-
"경기 양평군","성장과 안정",운수업종사자수 (명),-,1042,999,-
"경기 양평군","성장과 안정",운수업사업체수 (개),-,493,549,-
"경기 양평군","성장과 안정",도소매업종사자수 (명),-,4264,4399,-
"경기 양평군","성장과 안정",도소매업사업체수 (개),-,1630,1611,-
"경기 양평군","성장과 안정",사업체수 (개),-,7851,8080,-
"경기 양평군","성장과 안정",가구수 (가구),41976,44218,45604,46539
"경기 양평군","안전",화재발생건수 (건),276,254,220,237
"경기 양평군","환경",폐수배출업소수 (개),99,103,106,-
"경기 양평군","환경",논경지면적 (헥타르),4530,4092,3908,3933
"경기 양평군","환경",하수도보급률 (%),78.0,79.0,78.4,-
"경기 양평군","환경",상수도보급률 (%),71.0,73.6,77.0,-
"경기 양평군","사회통합",건강보험 적용인구 현황,108484,112410,113357,-
"경기 양평군","사회통합",인구십만명당 자살률 (십만명당),23.9,33.0,32.3,-
