"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 여주시","인구",출생아수 (명),781,628,627,591
"경기 여주시","인구",평균연령,43,44,45,45
"경기 여주시","인구",사망자수 (명),848,911,957,-
"경기 여주시","인구",전출인구 (명),14104,13464,13588,13318
"경기 여주시","인구",전입인구 (명),14642,14162,13429,13171
"경기 여주시","인구",순이동인구 (명),538,698,-159,-147
"경기 여주시","인구",주민등록인구 (명),111563,111984,111525,111083
"경기 여주시","인구",농가인구 (명),20003,19984,18690,16875
"경기 여주시","인구",등록외국인 현황 (명),3065,3512,3549,3576
"경기 여주시","인구",합계출산율,1.303,1.073,1.118,1.083
"경기 여주시","인구",인구총조사 인구,110273,111476,112096,111981
"경기 여주시","가족",혼인건수 (건),525,476,484,466
"경기 여주시","가족",조이혼율,2.4,2.4,2.6,2.2
"경기 여주시","가족",조혼인율,4.8,4.3,4.4,4.2
"경기 여주시","건강",스트레스 인지율 (%),29.5,31.8,32.4,24.0
"경기 여주시","건강",비만율 (%),30.1,29.9,33.1,-
"경기 여주시","건강",고위험음주율 (%),17.2,21.1,22.8,15.7
"경기 여주시","건강",EQ-5D (점),0.942,0.940,0.940,0.945
"경기 여주시","건강",흡연율 (%),19.1,25.7,22.5,19.8
"경기 여주시","건강",주관적 건강수준인지율 (%),47.8,47.4,38.8,59.7
"경기 여주시","건강",음주율 (%),55.0,59.7,63.2,54.0
"경기 여주시","교육",학급당 학생수 (명),21.41,20.87,20.43,19.75
"경기 여주시","교육",초등학교수 (개),23,23,23,23
"경기 여주시","교육",유치원 교원수 (명),107,109,107,101
"경기 여주시","교육",유치원수 (개),35,34,34,34
"경기 여주시","교육",유치원 원아수 (명),1388,1324,1191,1066
"경기 여주시","교육",초등학교 학생수 (명),5600,5548,5526,5428
"경기 여주시","교육",초등학교 교원수 (명),449,448,453,463
"경기 여주시","주거와 교통",도시지역면적,25929042,26093192,26093192,26093192
"경기 여주시","주거와 교통",토지거래면적 (천㎡),13339,16727,14607,14792
"경기 여주시","주거와 교통",주택수 (호),37795,39352,40237,41059
"경기 여주시","성장과 안정",친환경인증 축산물 출하량 (톤),17218,18507,26441,23887
"경기 여주시","성장과 안정",친환경인증 농산물 출하량 (톤),14861,15390,15328,11938
"경기 여주시","성장과 안정",종사자수 (명),-,42130,43904,-
"경기 여주시","성장과 안정",농가수 (가구),7481,7325,7114,6676
"경기 여주시","성장과 안정",서비스업사업체수 (개),-,6012,6230,-
"경기 여주시","성장과 안정",제조업종사자수 (명),-,8530,8598,-
"경기 여주시","성장과 안정",제조업사업체수 (개),-,1107,1135,-
"경기 여주시","성장과 안정",운수업종사자수 (명),-,1975,2081,-
"경기 여주시","성장과 안정",운수업사업체수 (개),-,716,806,-
"경기 여주시","성장과 안정",도소매업종사자수 (명),-,6188,6304,-
"경기 여주시","성장과 안정",도소매업사업체수 (개),-,2081,2101,-
"경기 여주시","성장과 안정",사업체수 (개),-,8683,9077,-
"경기 여주시","성장과 안정",가구수 (가구),41653,42809,43398,44009
"경기 여주시","안전",화재발생건수 (건),264,274,224,213
"경기 여주시","환경",폐수배출업소수 (개),213,-,205,-
"경기 여주시","환경",논경지면적 (헥타르),8608,8275,7964,7659
"경기 여주시","환경",하수도보급률 (%),81.2,81.2,82.2,-
"경기 여주시","환경",상수도보급률 (%),86.2,86.8,88.4,-
"경기 여주시","사회통합",건강보험 적용인구 현황,109189,109856,109503,-
"경기 여주시","사회통합",인구십만명당 자살률 (십만명당),29.9,34.2,30.6,-
