"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 오산시","인구",출생아수 (명),2261,1959,1847,1709
"경기 오산시","인구",평균연령,36,37,37,38
"경기 오산시","인구",사망자수 (명),689,716,771,-
"경기 오산시","인구",전출인구 (명),27507,28682,33151,31725
"경기 오산시","인구",전입인구 (명),27623,32136,38577,37051
"경기 오산시","인구",순이동인구 (명),116,3454,5426,5326
"경기 오산시","인구",주민등록인구 (명),208656,213437,220070,226379
"경기 오산시","인구",농가인구 (명),3828,3686,3469,3379
"경기 오산시","인구",등록외국인 현황 (명),8043,8428,9450,9696
"경기 오산시","인구",합계출산율,1.375,1.210,1.130,1.040
"경기 오산시","인구",인구총조사 인구,215478,219877,228059,233998
"경기 오산시","가족",혼인건수 (건),1373,1294,1332,1223
"경기 오산시","가족",조이혼율,2.5,2.5,2.5,2.6
"경기 오산시","가족",조혼인율,6.6,6.2,6.2,5.5
"경기 오산시","건강",스트레스 인지율 (%),28.4,32.4,31.0,25.2
"경기 오산시","건강",비만율 (%),27.4,30.5,32.6,-
"경기 오산시","건강",고위험음주율 (%),17.0,20.7,19.0,19.7
"경기 오산시","건강",EQ-5D (점),0.948,0.951,0.954,0.957
"경기 오산시","건강",흡연율 (%),23.6,22.4,23.0,21.1
"경기 오산시","건강",주관적 건강수준인지율 (%),41.7,42.2,33.2,32.2
"경기 오산시","건강",음주율 (%),61.2,65.7,62.8,60.7
"경기 오산시","교육",학급당 학생수 (명),26.77,26.27,25.11,24.52
"경기 오산시","교육",초등학교수 (개),22,22,23,23
"경기 오산시","교육",유치원 교원수 (명),413,411,430,415
"경기 오산시","교육",유치원수 (개),50,50,50,50
"경기 오산시","교육",유치원 원아수 (명),6673,6500,6222,5623
"경기 오산시","교육",초등학교 학생수 (명),15381,15696,16320,16571
"경기 오산시","교육",초등학교 교원수 (명),905,915,965,969
"경기 오산시","주거와 교통",도시지역면적,42757000,42757001,42757000,42757000
"경기 오산시","주거와 교통",토지거래면적 (천㎡),1723,2536,2225,3017
"경기 오산시","주거와 교통",주택수 (호),65693,67592,74898,81342
"경기 오산시","성장과 안정",친환경인증 축산물 출하량 (톤),176,233,30,23
"경기 오산시","성장과 안정",친환경인증 농산물 출하량 (톤),-,2,42,47
"경기 오산시","성장과 안정",종사자수 (명),-,64382,68453,-
"경기 오산시","성장과 안정",농가수 (가구),1173,1160,1154,1164
"경기 오산시","성장과 안정",서비스업사업체수 (개),-,8870,9237,-
"경기 오산시","성장과 안정",제조업종사자수 (명),-,11390,11748,-
"경기 오산시","성장과 안정",제조업사업체수 (개),-,862,928,-
"경기 오산시","성장과 안정",운수업종사자수 (명),-,3277,3894,-
"경기 오산시","성장과 안정",운수업사업체수 (개),-,1762,1966,-
"경기 오산시","성장과 안정",도소매업종사자수 (명),-,9295,9460,-
"경기 오산시","성장과 안정",도소매업사업체수 (개),-,2696,2744,-
"경기 오산시","성장과 안정",사업체수 (개),-,12356,13050,-
"경기 오산시","성장과 안정",가구수 (가구),81926,84314,89029,93117
"경기 오산시","안전",화재발생건수 (건),133,136,147,119
"경기 오산시","환경",폐수배출업소수 (개),112,122,92,-
"경기 오산시","환경",논경지면적 (헥타르),280,245,236,230
"경기 오산시","환경",하수도보급률 (%),98.9,98.8,98.1,-
"경기 오산시","환경",상수도보급률 (%),100.0,100.0,100.0,-
"경기 오산시","사회통합",건강보험 적용인구 현황,210235,216103,224022,-
"경기 오산시","사회통합",인구십만명당 자살률 (십만명당),18.4,28.6,23.2,-
