"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 의정부시","인구",출생아수 (명),2967,2669,2559,2418
"경기 의정부시","인구",평균연령,41,41,42,42
"경기 의정부시","인구",사망자수 (명),2134,2283,2430,-
"경기 의정부시","인구",전출인구 (명),62476,64319,61214,59680
"경기 의정부시","인구",전입인구 (명),65844,66965,66382,64399
"경기 의정부시","인구",순이동인구 (명),3368,2646,5168,4719
"경기 의정부시","인구",주민등록인구 (명),438457,441584,447026,451868
"경기 의정부시","인구",농가인구 (명),3405,3341,3052,2936
"경기 의정부시","인구",등록외국인 현황 (명),3846,4116,4516,4908
"경기 의정부시","인구",합계출산율,1.049,0.947,0.905,0.847
"경기 의정부시","인구",인구총조사 인구,424722,426530,432286,440357
"경기 의정부시","가족",혼인건수 (건),2149,2019,2025,1876
"경기 의정부시","가족",조이혼율,2.5,2.4,2.5,2.5
"경기 의정부시","가족",조혼인율,5.0,4.7,4.6,4.2
"경기 의정부시","건강",스트레스 인지율 (%),30.6,30.1,27.8,28.9
"경기 의정부시","건강",비만율 (%),27.8,31.7,33.6,-
"경기 의정부시","건강",고위험음주율 (%),20.4,20.1,19.0,22.6
"경기 의정부시","건강",EQ-5D (점),0.954,0.958,0.969,0.950
"경기 의정부시","건강",흡연율 (%),26.5,21.6,20.2,22.9
"경기 의정부시","건강",주관적 건강수준인지율 (%),48.3,41.6,48.7,40.0
"경기 의정부시","건강",음주율 (%),65.6,66.1,61.2,65.6
"경기 의정부시","교육",학급당 학생수 (명),25.85,25.19,24.88,24.28
"경기 의정부시","교육",초등학교수 (개),33,33,33,33
"경기 의정부시","교육",유치원 교원수 (명),422,420,410,408
"경기 의정부시","교육",유치원수 (개),67,66,64,62
"경기 의정부시","교육",유치원 원아수 (명),5647,5332,5120,4929
"경기 의정부시","교육",초등학교 학생수 (명),21968,21918,22370,22730
"경기 의정부시","교육",초등학교 교원수 (명),1299,1306,1304,1344
"경기 의정부시","소득과 소비",소비자물가 등락률 (%),1.1,1.9,1.6,0.5
"경기 의정부시","주거와 교통",도시지역면적,81598379,81598379,81616520,81598380
"경기 의정부시","주거와 교통",토지거래면적 (천㎡),3261,2492,1771,5303
"경기 의정부시","주거와 교통",주택수 (호),133295,138767,143102,150397
"경기 의정부시","성장과 안정",친환경인증 축산물 출하량 (톤),1,-,3,-
"경기 의정부시","성장과 안정",친환경인증 농산물 출하량 (톤),11,16,22,9
"경기 의정부시","성장과 안정",종사자수 (명),-,117355,120725,-
"경기 의정부시","성장과 안정",농가수 (가구),1138,1106,1035,1002
"경기 의정부시","성장과 안정",서비스업사업체수 (개),-,20226,20511,-
"경기 의정부시","성장과 안정",제조업종사자수 (명),-,7625,7110,-
"경기 의정부시","성장과 안정",제조업사업체수 (개),-,1350,1341,-
"경기 의정부시","성장과 안정",운수업종사자수 (명),-,5720,6150,-
"경기 의정부시","성장과 안정",운수업사업체수 (개),-,2679,3100,-
"경기 의정부시","성장과 안정",도소매업종사자수 (명),-,20004,19686,-
"경기 의정부시","성장과 안정",도소매업사업체수 (개),-,6395,6317,-
"경기 의정부시","성장과 안정",사업체수 (개),-,26316,27028,-
"경기 의정부시","성장과 안정",가구수 (가구),158836,161772,166468,172232
"경기 의정부시","안전",화재발생건수 (건),189,217,223,212
"경기 의정부시","환경",폐수배출업소수 (개),156,166,130,-
"경기 의정부시","환경",논경지면적 (헥타르),150,128,93,90
"경기 의정부시","환경",하수도보급률 (%),98.8,98.8,98.8,-
"경기 의정부시","환경",상수도보급률 (%),99.3,99.5,99.3,-
"경기 의정부시","사회통합",건강보험 적용인구 현황,424653,427604,433969,-
"경기 의정부시","사회통합",인구십만명당 자살률 (십만명당),28.8,29.3,31.0,-
