"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 파주시","인구",출생아수 (명),3876,3409,3227,3077
"경기 파주시","인구",평균연령,39,39,40,40
"경기 파주시","인구",사망자수 (명),2188,2159,2318,-
"경기 파주시","인구",전출인구 (명),54888,53354,59695,54574
"경기 파주시","인구",전입인구 (명),60355,59087,72642,55949
"경기 파주시","인구",순이동인구 (명),5467,5733,12947,1375
"경기 파주시","인구",주민등록인구 (명),430781,437848,451848,454040
"경기 파주시","인구",농가인구 (명),20398,19584,18911,18519
"경기 파주시","인구",등록외국인 현황 (명),10238,10676,11274,11572
"경기 파주시","인구",합계출산율,1.375,1.199,1.112,1.050
"경기 파주시","인구",인구총조사 인구,423957,430650,447906,454328
"경기 파주시","가족",혼인건수 (건),2329,2310,2324,2127
"경기 파주시","가족",조이혼율,2.3,2.4,2.3,2.4
"경기 파주시","가족",조혼인율,5.5,5.4,5.3,4.7
"경기 파주시","건강",스트레스 인지율 (%),35.5,28.4,31.6,25.8
"경기 파주시","건강",비만율 (%),27.8,32.1,33.6,-
"경기 파주시","건강",고위험음주율 (%),15.3,17.4,15.2,17.1
"경기 파주시","건강",EQ-5D (점),0.961,0.972,0.954,0.952
"경기 파주시","건강",흡연율 (%),22.8,22.1,24.9,20.6
"경기 파주시","건강",주관적 건강수준인지율 (%),48.1,43.4,43.9,40.5
"경기 파주시","건강",음주율 (%),59.5,60.8,60.9,54.7
"경기 파주시","교육",학급당 학생수 (명),25.03,24.64,24.16,23.66
"경기 파주시","교육",초등학교수 (개),57,57,57,57
"경기 파주시","교육",유치원 교원수 (명),523,518,550,532
"경기 파주시","교육",유치원수 (개),99,99,99,98
"경기 파주시","교육",유치원 원아수 (명),8016,7715,7593,7309
"경기 파주시","교육",초등학교 학생수 (명),27390,27888,28569,29748
"경기 파주시","교육",초등학교 교원수 (명),1652,1689,1748,1829
"경기 파주시","주거와 교통",도시지역면적,80201620,80221974,80918908,81322573
"경기 파주시","주거와 교통",토지거래면적 (천㎡),15458,14764,24775,14759
"경기 파주시","주거와 교통",주택수 (호),134444,137097,150361,152606
"경기 파주시","성장과 안정",친환경인증 축산물 출하량 (톤),5325,4288,4209,1857
"경기 파주시","성장과 안정",친환경인증 농산물 출하량 (톤),24682,2967,3065,3155
"경기 파주시","성장과 안정",종사자수 (명),-,181857,187258,-
"경기 파주시","성장과 안정",농가수 (가구),7223,6897,6774,6790
"경기 파주시","성장과 안정",서비스업사업체수 (개),-,18477,19542,-
"경기 파주시","성장과 안정",제조업종사자수 (명),-,78434,76911,-
"경기 파주시","성장과 안정",제조업사업체수 (개),-,5555,5810,-
"경기 파주시","성장과 안정",운수업종사자수 (명),-,9703,10450,-
"경기 파주시","성장과 안정",운수업사업체수 (개),-,2567,2933,-
"경기 파주시","성장과 안정",도소매업종사자수 (명),-,21386,22724,-
"경기 파주시","성장과 안정",도소매업사업체수 (개),-,6196,6438,-
"경기 파주시","성장과 안정",사업체수 (개),-,28532,30369,-
"경기 파주시","성장과 안정",가구수 (가구),149665,153581,162680,167957
"경기 파주시","안전",화재발생건수 (건),429,448,411,392
"경기 파주시","환경",폐수배출업소수 (개),868,960,807,-
"경기 파주시","환경",논경지면적 (헥타르),7102,6797,6625,6505
"경기 파주시","환경",하수도보급률 (%),93.5,93.6,93.8,-
"경기 파주시","환경",상수도보급률 (%),98.6,98.7,99.0,-
"경기 파주시","사회통합",건강보험 적용인구 현황,428854,436727,451325,-
"경기 파주시","사회통합",인구십만명당 자살률 (십만명당),25.3,23.5,22.7,-
