"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 평택시","인구",출생아수 (명),4179,3870,3586,3562
"경기 평택시","인구",평균연령,39,39,40,40
"경기 평택시","인구",사망자수 (명),2313,2279,2484,-
"경기 평택시","인구",전출인구 (명),67162,67836,75069,77676
"경기 평택시","인구",전입인구 (명),75179,76783,87850,93713
"경기 평택시","인구",순이동인구 (명),8017,8947,12781,16037
"경기 평택시","인구",주민등록인구 (명),470832,481530,495642,513027
"경기 평택시","인구",농가인구 (명),23392,22192,21037,20153
"경기 평택시","인구",등록외국인 현황 (명),19935,21340,23030,24108
"경기 평택시","인구",합계출산율,1.366,1.254,1.144,1.102
"경기 평택시","인구",인구총조사 인구,472254,486077,504485,521172
"경기 평택시","가족",혼인건수 (건),2901,2887,2886,3016
"경기 평택시","가족",조이혼율,2.6,2.6,2.7,2.8
"경기 평택시","가족",조혼인율,6.3,6.1,6.0,6.1
"경기 평택시","건강",스트레스 인지율 (%),30.4,30.8,28.9,27.5
"경기 평택시","건강",비만율 (%),29.4,30.3,34.3,-
"경기 평택시","건강",고위험음주율 (%),19.6,18.5,16.3,17.7
"경기 평택시","건강",EQ-5D (점),0.948,0.938,0.953,0.946
"경기 평택시","건강",흡연율 (%),24.5,25.2,22.9,20.5
"경기 평택시","건강",주관적 건강수준인지율 (%),41.3,38.0,34.3,33.5
"경기 평택시","건강",음주율 (%),62.4,59.3,61.3,58.7
"경기 평택시","교육",학급당 학생수 (명),25.06,24.61,23.99,23.56
"경기 평택시","교육",초등학교수 (개),54,54,56,58
"경기 평택시","교육",유치원 교원수 (명),585,594,583,563
"경기 평택시","교육",유치원수 (개),107,108,110,108
"경기 평택시","교육",유치원 원아수 (명),7953,7866,7768,7281
"경기 평택시","교육",초등학교 학생수 (명),28000,28674,29706,30978
"경기 평택시","교육",초등학교 교원수 (명),1762,1788,1814,1931
"경기 평택시","주거와 교통",도시지역면적,150783352,151906909,152224409,151090527
"경기 평택시","주거와 교통",토지거래면적 (천㎡),22750,24863,18821,13906
"경기 평택시","주거와 교통",주택수 (호),162960,173594,191831,210018
"경기 평택시","성장과 안정",친환경인증 축산물 출하량 (톤),24069,12504,12797,8756
"경기 평택시","성장과 안정",친환경인증 농산물 출하량 (톤),3806,2101,1753,2482
"경기 평택시","성장과 안정",종사자수 (명),-,214956,225077,-
"경기 평택시","성장과 안정",농가수 (가구),9119,8891,8719,8437
"경기 평택시","성장과 안정",서비스업사업체수 (개),-,24997,26123,-
"경기 평택시","성장과 안정",제조업종사자수 (명),-,82769,86014,-
"경기 평택시","성장과 안정",제조업사업체수 (개),-,3672,3817,-
"경기 평택시","성장과 안정",운수업종사자수 (명),-,12660,13490,-
"경기 평택시","성장과 안정",운수업사업체수 (개),-,3375,3421,-
"경기 평택시","성장과 안정",도소매업종사자수 (명),-,23795,25122,-
"경기 평택시","성장과 안정",도소매업사업체수 (개),-,8004,8289,-
"경기 평택시","성장과 안정",사업체수 (개),-,34730,36133,-
"경기 평택시","성장과 안정",가구수 (가구),179176,187516,197855,208466
"경기 평택시","안전",화재발생건수 (건),523,534,584,516
"경기 평택시","환경",폐수배출업소수 (개),591,627,793,-
"경기 평택시","환경",논경지면적 (헥타르),13653,13074,12679,12512
"경기 평택시","환경",하수도보급률 (%),83.6,82.9,77.4,-
"경기 평택시","환경",상수도보급률 (%),99.3,99.4,99.8,-
"경기 평택시","사회통합",건강보험 적용인구 현황,469981,481568,499044,-
"경기 평택시","사회통합",인구십만명당 자살률 (십만명당),24.2,30.9,31.7,-
