"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 포천시","인구",출생아수 (명),983,875,772,617
"경기 포천시","인구",평균연령,42,43,44,44
"경기 포천시","인구",사망자수 (명),1145,1212,1229,-
"경기 포천시","인구",전출인구 (명),18538,20065,20543,18199
"경기 포천시","인구",전입인구 (명),18181,18547,18647,16391
"경기 포천시","인구",순이동인구 (명),-357,-1518,-1896,-1808
"경기 포천시","인구",주민등록인구 (명),154763,152925,150676,148379
"경기 포천시","인구",농가인구 (명),14788,14310,14352,13836
"경기 포천시","인구",등록외국인 현황 (명),12549,12414,12798,13264
"경기 포천시","인구",합계출산율,1.258,1.152,1.056,0.889
"경기 포천시","인구",인구총조사 인구,162698,161239,161564,159871
"경기 포천시","가족",혼인건수 (건),755,727,715,641
"경기 포천시","가족",조이혼율,3.0,3.0,3.3,3.5
"경기 포천시","가족",조혼인율,4.9,4.8,4.8,4.3
"경기 포천시","건강",스트레스 인지율 (%),28.4,28.2,31.1,24.0
"경기 포천시","건강",비만율 (%),29.7,31.9,33.3,-
"경기 포천시","건강",고위험음주율 (%),20.1,28.0,21.4,18.9
"경기 포천시","건강",EQ-5D (점),0.952,0.934,0.956,0.957
"경기 포천시","건강",흡연율 (%),24.0,25.4,26.5,21.8
"경기 포천시","건강",주관적 건강수준인지율 (%),49.0,44.8,47.6,51.4
"경기 포천시","건강",음주율 (%),63.8,59.1,55.8,55.5
"경기 포천시","교육",학급당 학생수 (명),21.48,20.66,19.73,18.93
"경기 포천시","교육",초등학교수 (개),31,31,31,31
"경기 포천시","교육",유치원 교원수 (명),114,111,111,103
"경기 포천시","교육",유치원수 (개),41,39,35,33
"경기 포천시","교육",유치원 원아수 (명),1399,1260,1164,986
"경기 포천시","교육",초등학교 학생수 (명),7384,7217,7046,6727
"경기 포천시","교육",초등학교 교원수 (명),569,568,571,568
"경기 포천시","주거와 교통",도시지역면적,38614315,39013035,39013035,39013035
"경기 포천시","주거와 교통",토지거래면적 (천㎡),21202,17195,16121,17080
"경기 포천시","주거와 교통",주택수 (호),51349,51464,53552,54168
"경기 포천시","성장과 안정",친환경인증 축산물 출하량 (톤),52372,36078,39868,32533
"경기 포천시","성장과 안정",친환경인증 농산물 출하량 (톤),1028,1287,1197,1191
"경기 포천시","성장과 안정",종사자수 (명),-,91285,93435,-
"경기 포천시","성장과 안정",농가수 (가구),6103,6049,5951,5916
"경기 포천시","성장과 안정",서비스업사업체수 (개),-,9658,9921,-
"경기 포천시","성장과 안정",제조업종사자수 (명),-,43271,43667,-
"경기 포천시","성장과 안정",제조업사업체수 (개),-,5897,5981,-
"경기 포천시","성장과 안정",운수업종사자수 (명),-,3132,3116,-
"경기 포천시","성장과 안정",운수업사업체수 (개),-,1314,1353,-
"경기 포천시","성장과 안정",도소매업종사자수 (명),-,10846,11344,-
"경기 포천시","성장과 안정",도소매업사업체수 (개),-,3525,3610,-
"경기 포천시","성장과 안정",사업체수 (개),-,17997,18421,-
"경기 포천시","성장과 안정",가구수 (가구),60848,61218,62389,62275
"경기 포천시","안전",화재발생건수 (건),377,408,386,391
"경기 포천시","환경",폐수배출업소수 (개),1024,1036,1112,-
"경기 포천시","환경",논경지면적 (헥타르),3930,3738,3696,3415
"경기 포천시","환경",하수도보급률 (%),65.6,84.4,84.9,-
"경기 포천시","환경",상수도보급률 (%),79.2,79.6,84.8,-
"경기 포천시","사회통합",건강보험 적용인구 현황,158670,156913,154976,-
"경기 포천시","사회통합",인구십만명당 자살률 (십만명당),32.0,45.3,46.6,-
