"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"경기 가평군","인구",출생아수 (명),363,362,301,261
"경기 가평군","인구",평균연령,47,47,48,48
"경기 가평군","인구",사망자수 (명),608,605,662,-
"경기 가평군","인구",전출인구 (명),6919,6671,7138,7090
"경기 가평군","인구",전입인구 (명),7570,7449,7438,6886
"경기 가평군","인구",순이동인구 (명),651,778,300,-204
"경기 가평군","인구",주민등록인구 (명),62448,62973,62918,62415
"경기 가평군","인구",농가인구 (명),9701,9655,8936,8261
"경기 가평군","인구",등록외국인 현황 (명),1069,1043,1018,1047
"경기 가평군","인구",합계출산율,1.283,1.307,1.093,0.971
"경기 가평군","인구",인구총조사 인구,59391,59548,59957,59823
"경기 가평군","가족",혼인건수 (건),269,269,244,272
"경기 가평군","가족",조이혼율,2.3,2.4,2.8,2.2
"경기 가평군","가족",조혼인율,4.4,4.3,3.9,4.4
"경기 가평군","건강",스트레스 인지율 (%),28.1,20.5,25.5,24.4
"경기 가평군","건강",비만율 (%),29.8,29.3,31.9,-
"경기 가평군","건강",고위험음주율 (%),28.0,23.1,21.7,27.1
"경기 가평군","건강",EQ-5D (점),0.964,0.971,0.970,0.972
"경기 가평군","건강",흡연율 (%),23.4,23.4,20.0,20.7
"경기 가평군","건강",주관적 건강수준인지율 (%),55.7,58.7,59.9,53.9
"경기 가평군","건강",음주율 (%),63.4,58.1,62.0,57.9
"경기 가평군","교육",학급당 학생수 (명),19.86,19.46,18.90,18.33
"경기 가평군","교육",초등학교수 (개),13,13,13,13
"경기 가평군","교육",유치원 교원수 (명),35,37,35,33
"경기 가평군","교육",유치원수 (개),16,16,15,14
"경기 가평군","교육",유치원 원아수 (명),425,374,322,280
"경기 가평군","교육",초등학교 학생수 (명),2668,2651,2587,2583
"경기 가평군","교육",초등학교 교원수 (명),238,249,248,244
"경기 가평군","주거와 교통",도시지역면적,81889445,81889445,81889445,81889445
"경기 가평군","주거와 교통",토지거래면적 (천㎡),12406,22183,14715,11483
"경기 가평군","주거와 교통",주택수 (호),23823,24390,25083,25995
"경기 가평군","성장과 안정",친환경인증 축산물 출하량 (톤),4429,2112,1528,5730
"경기 가평군","성장과 안정",친환경인증 농산물 출하량 (톤),3277,2859,2068,2884
"경기 가평군","성장과 안정",종사자수 (명),-,25992,27728,-
"경기 가평군","성장과 안정",농가수 (가구),3659,3605,3362,3192
"경기 가평군","성장과 안정",서비스업사업체수 (개),-,5272,5557,-
"경기 가평군","성장과 안정",제조업종사자수 (명),-,1745,1881,-
"경기 가평군","성장과 안정",제조업사업체수 (개),-,326,340,-
"경기 가평군","성장과 안정",운수업종사자수 (명),-,696,746,-
"경기 가평군","성장과 안정",운수업사업체수 (개),-,222,239,-
"경기 가평군","성장과 안정",도소매업종사자수 (명),-,2806,3014,-
"경기 가평군","성장과 안정",도소매업사업체수 (개),-,1123,1177,-
"경기 가평군","성장과 안정",사업체수 (개),-,6482,6818,-
"경기 가평군","성장과 안정",가구수 (가구),24017,24606,25133,25361
"경기 가평군","안전",화재발생건수 (건),163,158,128,154
"경기 가평군","환경",폐수배출업소수 (개),82,106,90,-
"경기 가평군","환경",논경지면적 (헥타르),1265,1134,1127,1141
"경기 가평군","환경",하수도보급률 (%),78.2,78.9,80.3,-
"경기 가평군","환경",상수도보급률 (%),78.8,80.2,81.6,-
"경기 가평군","사회통합",건강보험 적용인구 현황,59330,60094,60257,-
"경기 가평군","사회통합",인구십만명당 자살률 (십만명당),27.6,33.9,33.8,-
