"지역별(1)","지표별(1)",지표별(2),2016,2017,2018,2019
"대구 남구","인구",출생아수 (명),879,707,613,569
"대구 남구","인구",평균연령,45,46,46,47
"대구 남구","인구",사망자수 (명),1119,1237,1214,-
"대구 남구","인구",전출인구 (명),26739,24714,25017,25476
"대구 남구","인구",전입인구 (명),22458,21538,23234,23676
"대구 남구","인구",순이동인구 (명),-4281,-3176,-1783,-1800
"대구 남구","인구",주민등록인구 (명),156433,152845,150501,148113
"대구 남구","인구",등록외국인 현황 (명),1124,1118,1320,1547
"대구 남구","인구",합계출산율,0.875,0.753,0.683,0.663
"대구 남구","인구",인구총조사 인구,155833,152785,150132,147500
"대구 남구","가족",혼인건수 (건),830,732,667,625
"대구 남구","가족",조이혼율,2.3,2.4,2.2,2.3
"대구 남구","가족",조혼인율,5.3,4.8,4.5,4.3
"대구 남구","건강",스트레스 인지율 (%),22.7,17.8,22.9,21.6
"대구 남구","건강",비만율 (%),25.9,23.6,27.2,-
"대구 남구","건강",고위험음주율 (%),17.3,15.6,18.4,13.7
"대구 남구","건강",EQ-5D (점),0.967,0.968,0.961,0.950
"대구 남구","건강",흡연율 (%),25.5,20.7,23.9,20.4
"대구 남구","건강",주관적 건강수준인지율 (%),48.6,53.4,46.9,45.6
"대구 남구","건강",음주율 (%),60.5,57.7,58.0,52.7
"대구 남구","교육",학급당 학생수 (명),24.65,23.83,23.01,22.51
"대구 남구","교육",초등학교수 (개),11,11,11,11
"대구 남구","교육",유치원 교원수 (명),147,141,145,123
"대구 남구","교육",유치원수 (개),16,16,16,15
"대구 남구","교육",유치원 원아수 (명),1744,1675,1625,1433
"대구 남구","교육",초등학교 학생수 (명),5036,4758,4570,4417
"대구 남구","교육",초등학교 교원수 (명),404,385,386,389
"대구 남구","주거와 교통",도시지역면적,17435147,17428915,17430110,17431532
"대구 남구","주거와 교통",토지거래면적 (천㎡),370,602,461,473
"대구 남구","주거와 교통",주택수 (호),42045,41877,42387,41984
"대구 남구","성장과 안정",친환경인증 축산물 출하량 (톤),17,13,-,-
"대구 남구","성장과 안정",종사자수 (명),-,54200,58215,-
"대구 남구","성장과 안정",서비스업사업체수 (개),-,10701,10830,-
"대구 남구","성장과 안정",제조업종사자수 (명),-,1961,2085,-
"대구 남구","성장과 안정",제조업사업체수 (개),-,827,811,-
"대구 남구","성장과 안정",운수업종사자수 (명),-,2039,2165,-
"대구 남구","성장과 안정",운수업사업체수 (개),-,1165,1233,-
"대구 남구","성장과 안정",도소매업종사자수 (명),-,8051,8181,-
"대구 남구","성장과 안정",도소매업사업체수 (개),-,3734,3713,-
"대구 남구","성장과 안정",사업체수 (개),-,14032,14194,-
"대구 남구","성장과 안정",가구수 (가구),69009,68748,68808,68768
"대구 남구","안전",화재발생건수 (건),84,86,80,72
"대구 남구","환경",폐수배출업소수 (개),49,52,36,-
"대구 남구","환경",하수도보급률 (%),100.0,100.0,100.0,-
"대구 남구","환경",상수도보급률 (%),100.0,100.0,-,-
"대구 남구","사회통합",건강보험 적용인구 현황,144625,141431,139061,-
"대구 남구","사회통합",인구십만명당 자살률 (십만명당),28.8,28.3,36.2,-
