,지역별,경제활동별,항목,2016,2015,2014,2013,2012,2011,2010
153,수원시,총부가가치(기초가격),산출액(당해년가격),55277252,54230904,53241760,50793308,50509256,51822392,48069391
162,수원시,농림어업,산출액(당해년가격),2087,677,697,1292,1123,1115,2976
171,수원시,광업,산출액(당해년가격),0,0,0,0,0,0,0
180,수원시,제조업,산출액(당해년가격),10471010,11644912,11626481,13617300,14044671,14941474,13080241
189,수원시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),1034822,992476,1124437,1452877,1370480,1536184,1064118
198,수원시,건설업,산출액(당해년가격),5541101,4890427,4698316,3755033,3533860,3686942,4753578
207,수원시,도매 및 소매업,산출액(당해년가격),3842277,3684878,3508624,3473118,3537890,3257849,2898104
216,수원시,운수업,산출액(당해년가격),2071240,2013887,2083779,1878942,1849239,1884580,1709794
225,수원시,숙박 및 음식점업,산출액(당해년가격),2083761,2049156,1921760,1818569,1749151,1672451,1489841
234,수원시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),3192076,3094637,2816500,2569144,2347926,2451028,2342898
243,수원시,금융 및 보험업,산출액(당해년가격),3292522,3180907,3153144,2966596,2976748,2961248,2684260
252,수원시,부동산 및 임대업,산출액(당해년가격),3567203,3380547,3227621,3039927,3073794,2880817,2417643
261,수원시,사업서비스업,산출액(당해년가격),9211003,8808431,8918098,6311015,5543119,5999718,5460691
270,수원시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),4014774,3910515,3719093,3673155,3628722,3481222,3382624
279,수원시,교육서비스업,산출액(당해년가격),2337997,2280032,2302773,2226858,3012402,3588227,3520229
288,수원시,보건 및 사회복지사업,산출액(당해년가격),2472296,2265376,2127076,2095777,1979597,1781992,1690524
297,수원시,문화 및 기타서비스업,산출액(당해년가격),2143082,2034046,2013360,1913704,1860534,1697544,1571871
306,성남시,총부가가치(기초가격),산출액(당해년가격),53556068,51635683,49369047,47558039,46668506,44637841,41476194
315,성남시,농림어업,산출액(당해년가격),8863,10016,9762,9821,8953,57102,5555
324,성남시,광업,산출액(당해년가격),0,49,51,854,0,0,0
333,성남시,제조업,산출액(당해년가격),9838594,10517236,10253275,9532110,9187973,10577026,9777546
342,성남시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),1627936,1655758,1822533,3574539,3276745,2524463,3148690
351,성남시,건설업,산출액(당해년가격),7592779,5888730,5326006,4891307,4649254,4757698,4492487
360,성남시,도매 및 소매업,산출액(당해년가격),4471530,4227470,3892856,3792141,3696052,3374363,3053584
369,성남시,운수업,산출액(당해년가격),1726699,1668312,1546019,1625247,1561323,1459003,1458936
378,성남시,숙박 및 음식점업,산출액(당해년가격),1916907,1870262,1776088,1662571,1617782,1537726,1345507
387,성남시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),4681057,4327634,4083926,3633604,2986064,2764741,2690924
396,성남시,금융 및 보험업,산출액(당해년가격),2533063,2703146,2436894,2018781,2018376,2022633,1951229
405,성남시,부동산 및 임대업,산출액(당해년가격),4326431,4205398,4606173,4078728,4284341,3837090,2946831
414,성남시,사업서비스업,산출액(당해년가격),7093922,7176734,6558354,5876193,5640618,4653170,4133409
423,성남시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1574473,1447101,1363629,1450545,1365706,1264424,961867
432,성남시,교육서비스업,산출액(당해년가격),2102107,2040022,1977513,1885675,3065388,2782903,2664599
441,성남시,보건 및 사회복지사업,산출액(당해년가격),2261297,2143699,1935579,1882987,1727382,1543522,1487434
450,성남시,문화 및 기타서비스업,산출액(당해년가격),1800410,1754117,1780391,1642935,1582549,1481976,1357595
459,의정부시,총부가가치(기초가격),산출액(당해년가격),12997175,12531000,12504701,13122933,12141829,10960204,10736398
468,의정부시,농림어업,산출액(당해년가격),4982,4186,5718,4975,4516,4746,4964
477,의정부시,광업,산출액(당해년가격),17340,10511,13488,10672,8622,1688,0
486,의정부시,제조업,산출액(당해년가격),518811,511761,547248,720916,576110,473467,430596
495,의정부시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),565490,902816,1077240,1616614,1559879,1036071,983488
504,의정부시,건설업,산출액(당해년가격),1462422,1330527,1260924,1179912,1064075,1134743,1432762
513,의정부시,도매 및 소매업,산출액(당해년가격),1359296,1264813,1244498,1321056,1289749,1189223,1084790
522,의정부시,운수업,산출액(당해년가격),688973,598827,624342,556697,579917,563367,505443
531,의정부시,숙박 및 음식점업,산출액(당해년가격),726146,659873,634590,630813,602502,603527,551822
540,의정부시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),724987,712966,711806,722062,664447,646320,639991
549,의정부시,금융 및 보험업,산출액(당해년가격),1240121,1118720,1110143,1015988,1035786,950768,963664
558,의정부시,부동산 및 임대업,산출액(당해년가격),1038058,1038215,1019018,978257,905092,893605,881964
567,의정부시,사업서비스업,산출액(당해년가격),816409,865297,835254,894027,828245,655774,641517
576,의정부시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1317730,1177549,1142185,1193190,1122504,1065902,925216
585,의정부시,교육서비스업,산출액(당해년가격),757370,760882,774441,762708,450109,392196,413553
594,의정부시,보건 및 사회복지사업,산출액(당해년가격),1051587,892562,830548,828961,791256,734441,694814
603,의정부시,문화 및 기타서비스업,산출액(당해년가격),707452,681493,673257,686083,659021,614364,581814
612,안양시,총부가가치(기초가격),산출액(당해년가격),33812701,31816557,31520261,30923802,30492399,30550534,29616547
621,안양시,농림어업,산출액(당해년가격),763,1153,697,1938,1760,1429,194
630,안양시,광업,산출액(당해년가격),18065,16297,14506,11526,8622,127,0
639,안양시,제조업,산출액(당해년가격),7404155,7341547,7364455,7209159,7127292,8212727,8315981
648,안양시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),310714,291930,305303,507354,473463,382339,512629
657,안양시,건설업,산출액(당해년가격),4679401,4067923,3572772,3290205,3438658,3797156,3316020
666,안양시,도매 및 소매업,산출액(당해년가격),2783229,2583054,2614247,2629010,2585036,2441345,2324648
675,안양시,운수업,산출액(당해년가격),1227661,1173828,1190293,1292973,1315631,1110907,962519
684,안양시,숙박 및 음식점업,산출액(당해년가격),1110041,1045102,1005225,1034406,992232,985348,867136
693,안양시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),3201536,3227633,3034139,2748495,2509872,2434341,2114618
702,안양시,금융 및 보험업,산출액(당해년가격),1960540,1862599,1928366,1961604,1992860,1861821,1644465
711,안양시,부동산 및 임대업,산출액(당해년가격),2416529,2066506,2227879,2182757,1899264,1983745,1904817
720,안양시,사업서비스업,산출액(당해년가격),4165780,3792440,3662726,3588298,3252884,2707593,3000742
729,안양시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1018734,962929,1247079,1190851,1125976,1121743,973130
738,안양시,교육서비스업,산출액(당해년가격),1171738,1232806,1230017,1187841,1767777,1619319,1934425
747,안양시,보건 및 사회복지사업,산출액(당해년가격),1193317,1096386,1021835,1028741,960944,876709,849001
756,안양시,문화 및 기타서비스업,산출액(당해년가격),1150496,1054423,1100722,1058645,1040128,1013885,896223
765,부천시,총부가가치(기초가격),산출액(당해년가격),34328473,33166558,32245435,32687495,31638019,31286186,30126592
774,부천시,농림어업,산출액(당해년가격),1367,1490,1395,1938,1875,1924,1524
783,부천시,광업,산출액(당해년가격),0,147,153,0,0,1139,1181
792,부천시,제조업,산출액(당해년가격),10256516,10243919,10375338,10533382,10008042,10965572,10315164
801,부천시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),179572,287820,313425,500435,476489,387460,465112
810,부천시,건설업,산출액(당해년가격),3520581,2969229,2061419,2017712,2189386,2226179,2427736
819,부천시,도매 및 소매업,산출액(당해년가격),2850331,2710446,2745260,2727558,2858852,2662365,2408119
828,부천시,운수업,산출액(당해년가격),1199895,1209566,1118916,1054848,1050347,1072011,1000977
837,부천시,숙박 및 음식점업,산출액(당해년가격),1343142,1272599,1256677,1254670,1270828,1227982,1106953
846,부천시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),2013433,2011704,1830725,1677048,1528257,1479999,1343220
855,부천시,금융 및 보험업,산출액(당해년가격),2356460,2201720,2361137,2388231,2438745,2203194,2345497
864,부천시,부동산 및 임대업,산출액(당해년가격),2401704,2361304,2321925,2437677,2231387,2242680,1959953
873,부천시,사업서비스업,산출액(당해년가격),2455508,2225082,2151325,2454509,2289985,1890490,1798646
882,부천시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1053385,1152257,1200459,1193190,1140945,1084584,1216815
891,부천시,교육서비스업,산출액(당해년가격),1333204,1329645,1378771,1343880,1244490,1130638,1159496
900,부천시,보건 및 사회복지사업,산출액(당해년가격),1803830,1666748,1557577,1534806,1416412,1322148,1261986
909,부천시,문화 및 기타서비스업,산출액(당해년가격),1559547,1522881,1570933,1567609,1491979,1387820,1314214
918,광명시,총부가가치(기초가격),산출액(당해년가격),14444601,14083477,13684527,13481410,12917158,10206449,9387431
927,광명시,농림어업,산출액(당해년가격),1923,2523,2092,2714,2588,2499,3229
936,광명시,광업,산출액(당해년가격),0,0,0,0,0,0,0
945,광명시,제조업,산출액(당해년가격),6156188,6442606,6143827,5967582,5723080,3800501,3317304
954,광명시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),206534,265738,291378,475068,430565,281634,199804
963,광명시,건설업,산출액(당해년가격),1322336,1017448,897525,950873,1073992,1047886,1105500
972,광명시,도매 및 소매업,산출액(당해년가격),1196197,1135241,1109179,1075203,1092460,949144,847348
981,광명시,운수업,산출액(당해년가격),583417,505333,500909,501889,475040,476576,512703
990,광명시,숙박 및 음식점업,산출액(당해년가격),443886,421682,425504,408260,403189,369126,341743
999,광명시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),566245,512962,537696,489139,427959,347512,293759
1008,광명시,금융 및 보험업,산출액(당해년가격),570685,528440,464318,448618,456481,490684,411097
1017,광명시,부동산 및 임대업,산출액(당해년가격),812542,846742,821290,678726,672770,659204,627244
1026,광명시,사업서비스업,산출액(당해년가격),560089,496599,539383,548607,527394,363456,341863
1035,광명시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),381082,345765,384613,421126,386607,326217,360789
1044,광명시,교육서비스업,산출액(당해년가격),532568,506985,517908,506699,286612,217371,220381
1053,광명시,보건 및 사회복지사업,산출액(당해년가격),574754,548767,514574,508123,481182,426326,392945
1062,광명시,문화 및 기타서비스업,산출액(당해년가격),536155,506647,534331,498785,477239,448314,411721
1071,평택시,총부가가치(기초가격),산출액(당해년가격),59009129,61320040,61526013,62864392,59303355,59901871,61016643
1080,평택시,농림어업,산출액(당해년가격),511810,567690,570254,575058,533855,533356,540460
1089,평택시,광업,산출액(당해년가격),11304,13405,12063,10245,8622,18147,18957
1098,평택시,제조업,산출액(당해년가격),43714406,46606082,47665522,49218530,46224179,47802803,49694735
1107,평택시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),1199103,1139705,986135,1275303,1171879,896108,1321906
1116,평택시,건설업,산출액(당해년가격),2261307,2134586,2025379,1871851,1850231,1878506,1778006
1125,평택시,도매 및 소매업,산출액(당해년가격),1620446,1535647,1460359,1477258,1461432,1383157,1205467
1134,평택시,운수업,산출액(당해년가격),1318415,1224457,1206131,1036164,1017238,931531,896886
1143,평택시,숙박 및 음식점업,산출액(당해년가격),928014,866209,811295,782727,740141,724039,649568
1152,평택시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),464879,510524,460882,419262,374756,344441,389736
1161,평택시,금융 및 보험업,산출액(당해년가격),950300,979187,957740,952214,963994,964223,886634
1170,평택시,부동산 및 임대업,산출액(당해년가격),1238200,1204586,1000910,968698,887771,837338,903758
1179,평택시,사업서비스업,산출액(당해년가격),1602814,1503686,1407699,1332912,1260633,1058268,599549
1188,평택시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),955674,894522,953374,1010703,899913,794499,704415
1197,평택시,교육서비스업,산출액(당해년가격),691803,708073,701119,685667,685090,632914,386499
1206,평택시,보건 및 사회복지사업,산출액(당해년가격),775526,715140,646717,616686,578435,525524,501968
1215,평택시,문화 및 기타서비스업,산출액(당해년가격),765127,716541,660433,631115,645186,577016,538099
1224,동두천시,총부가가치(기초가격),산출액(당해년가격),3271505,3244720,3138368,3096591,3158209,2772014,2635994
1233,동두천시,농림어업,산출액(당해년가격),26784,26815,30681,34891,33156,30780,30238
1242,동두천시,광업,산출액(당해년가격),0,0,0,0,0,0,0
1251,동두천시,제조업,산출액(당해년가격),773499,779521,707964,680865,813978,592907,696216
